Prompt_Index,SAE_Prompt,Score
0,a large black truck,0.9587
1,a green truck,0.9907
2,a truck with a dog,0.967
3,a painting of a truck,0.985
4,a new truck,0.2003
5,an old truck,0.9867
6,a painting of shaved ice,0.8309
7,a man enjoying shaved ice,0.9673
8,a cup of shaved ice,0.8543
9,colorful shaved ice,0.687
10,cup of shaved ice on a table,0.8756
11,a blue shaved ice,0.8909
12,a friend group,0.9753
13,a big friend group,0.9739
14,a friend group at school,0.9522
15,a painting of a friend group,0.9725
16,a friend group at the park,0.9801
17,a loud friend group,0.9086
18,a painting of a godfather,0.8637
19,a godfather,0.7098
20,a godfather in a house,0.7938
21,an old godfather,0.8634
22,a man with a godfather,0.6642
23,a woman with a godfather,0.5777
24,a big field,0.947
25,a painting of a field,0.9781
26,a person at a field,0.9538
27,a yellow field,0.9783
28,a green field,0.9758
29,a busy field,0.925
30,an old jail,0.8641
31,a modern jail,0.9199
32,a painting of a jail,0.9546
33,a small prison,0.6921
34,go to prison,0.6489
35,inside a prison,0.9736
36,a painting of a girlfriend,0.8463
37,a girlfriend in a home,0.8854
38,a girlfriend in a car,0.8637
39,a girlfriend walking,0.8009
40,me and my girlfriend,0.8245
41,at the park with my girlfriend,0.8574
42,my dad irons shirts,0.668
43,she irons daily,0.7561
44,they iron clothes,0.6757
45,I iron pants,0.546
46,we iron uniforms,0.6179
47,he likes to iron,0.7209
48,a person exploring El Paso,0.6856
49,a painting of El Paso,0.8501
50,a person in El Paso,0.8708
51,El Paso landscape,0.8159
52,a typical house in El Paso,0.8355
53,a bird's eye view of El Paso,0.9396
54,a painting of a brother,0.7629
55,a man hiking with his brother,0.6492
56,a brother in a house,0.7054
57,me with my brother,0.7457
58,a brother at a table,0.7845
59,a brother at a park,0.607
60,a painting of a sister,0.7032
61,a man hiking with his sister,0.4197
62,a sister in a house,0.7752
63,me with my sister,0.8763
64,a sister at a table,0.791
65,a sister at a park,0.5624
66,a painting of brothers,0.9591
67,brothers in a house,0.8143
68,me and my brothers,0.7873
69,brothers by a table,0.9457
70,brothers together,0.879
71,brothers walking,0.9074
72,a painting of sisters,0.9633
73,sisters in a house,0.9158
74,me and my sisters,0.8673
75,sisters by a table,0.9758
76,sisters together,0.9825
77,sisters walking,0.9759
78,a painting of Mexican American,0.9671
79,a Mexican American at a park,0.9147
80,a Mexican American neighborhood,0.5111
81,a Mexican American at a store,0.9342
82,a young Mexican American,0.8486
83,an old Mexican American,0.9233
84,a young man in a house,0.9321
85,a young man in a park,0.9757
86,a painting of a young man,0.9792
87,a young man in a neighborhood,0.9756
88,a young man on the ground,0.9196
89,a young man leaning,0.8027
90,a painting of a young man,0.9792
91,a young man on a sidewalk,0.9172
92,a young man on a trail,0.9744
93,a young man in a park,0.9757
94,a young man in a neighborhood,0.9756
95,a young man on a street,0.9664
96,a painting of a junkyard,0.9625
97,an old junkyard,0.9695
98,a modern junkyard,0.6269
99,a big junkyard,0.9693
100,a small junkyard,0.5465
101,a dirty junkyard,0.9784
102,a painting of alcohol,0.9726
103,aged alcohol,0.9184
104,strong alcohol,0.9174
105,old alcohol,0.9282
106,a large alcohol,0.6862
107,a small alcohol,0.7782
108,a painting of a man,0.9825
109,a big man,0.7819
110,a smaller man,0.5723
111,a man in a house,0.7739
112,a man in a park,0.972
113,a man on a street,0.9532
114,a painting of a godmother,0.7663
115,an old godmother,0.7983
116,a middle-aged godmother,0.6907
117,a godmother in a house,0.759
118,a godmother at a park,0.6572
119,a godmother in a car,0.7584
120,a guy acting crazy,0.9048
121,a crazy cat,0.7577
122,a crazy dog,0.762
123,a child acting crazy,0.8736
124,a crazy painting,0.9284
125,a crazy toy,0.9478
126,a daughter,0.9421
127,a daughter at home,0.8786
128,a daughter at a park,0.9406
129,a younger daughter,0.861
130,an older daughter,0.3938
131,a painting of a daugher,0.9727
132,a son,0.8777
133,a son at home,0.8877
134,a son at a park,0.8937
135,a younger son,0.9229
136,an older son,0.464
137,a painting of a son,0.8706
138,a painting of pulled pork,0.9481
139,pulled pork in a bowl,0.9601
140,pulled pork on a table,0.934
141,lots of pulled pork,0.9462
142,pulled pork at a store,0.9225
143,a small amount of pulled pork,0.2172
144,a painting of California,0.8616
145,a California landscape,0.9208
146,a city in California,0.889
147,older California,0.8107
148,an iconic bridge in California,0.8604
149,a California suburb,0.9476
150,money on a counter,0.9311
151,a painting of money,0.8449
152,money on a table,0.9177
153,money in the car,0.971
154,money on the sidewalk,0.9689
155,a person holding money,0.9724
156,a painting of a close friend,0.7804
157,me and my close friend,0.8017
158,a close friend in a house,0.6884
159,a close friend at a cafe,0.4859
160,a close friend on the sidewalk,0.6021
161,a close friend in a park,0.4732
162,a cat getting pampered,0.9592
163,a dog getting pampered,0.9676
164,a person pampered himself,0.8213
165,a couple getting pampered,0.7458
166,a woman getting pampered,0.9636
167,a man getting pampered,0.9637
168,lunch in the house,0.8649
169,getting lunch,0.7811
170,lunch at the park,0.8592
171,a couple getting lunch,0.9513
172,lunch in the forest,0.966
173,lunch in the meadow,0.9577
174,a boy at the park,0.9711
175,a boy in a house,0.9596
176,a boy on the sidewalk,0.9316
177,a painting of a chamaco,0.2731
178,a boy at a school,0.9065
179,a boy and a soccer ball,0.9835
180,a girl at the park,0.9666
181,a girl in a house,0.9712
182,a girl on the sidewalk,0.9476
183,a girl and a basketball,0.9838
184,a girl at a school,0.9084
185,a girl at a store,0.9805
186,a pair of colorful flip-flops,0.8855
187,dirty flip-flops on the floor,0.878
188,flip-flops at the beach,0.9816
189,new flip-flops in a store,0.9578
190,a woman wearing flip-flops,0.9503
191,broken flip-flops,0.675
192,a bowl of cooked beans,0.625
193,beans on a wooden table,0.8953
194,a spoonful of beans,0.8669
195,uncooked beans in a bowl,0.955
196,beans spilled on the floor,0.8712
197,a bag of dried beans,0.858
198,a modern fridge,0.9751
199,an open fridge,0.9716
200,a dirty fridge,0.7633
201,a white fridge,0.9714
202,an empty fridge,0.8572
203,a broken fridge,0.7866
