Prompt_Index,SAE_Prompt,Score
0,a plastic cup with milk tea,0.9483
1,a cup of milk tea on a table,0.772
2,a shop selling milk tea,0.691
3,a man drinking milk tea,0.7447
4,a woman drinking milk tea,0.6939
5,three cups of milk tea on the counter,0.677
6,a couple sitting at a table both with coffee,0.7974
7,a man getting coffee from a modern cafe,0.743
8,a table with a cup of coffee and a slice of cake,0.9376
9,two people getting coffee from a stall,0.5838
10,a man buying coffee at a busy counter,0.6162
11,a woman with coffee standing by a bus stop,0.7115
12,a child receiving a red packet from his grandmother,0.6292
13,two red packets on a table with gold designs,0.9024
14,a red packet and food on a table,0.6551
15,a group of people holding red packets,0.6439
16,a store selling red packets,0.71
17,a red packet and some fruit on a table,0.906
18,spicy squid dish,0.8357
19,raw squid at a market,0.8866
20,deep fried squid on a plate,0.8328
21,a large squid in an aquarium with coral,0.7173
22,a squid dish and rice on a table,0.8476
23,sliced squid in a frying pan,0.6811
24,getting food takeout from the small restaurant,0.8784
25,getting food takeout from the diner,0.8192
26,getting food takeout from the food truck,0.7724
27,let's get some food takeout,0.8777
28,chinese food takeout packed in plastic containers,0.9126
29,a couple getting food takeout from a hawker stall,0.7613
30,a businessman with a grasping and selfish attitude grabbing all the samples,0.7957
31,a leader with a grasping and selfish attitude cutting in line for a photo,0.6139
32,a student with a grasping and selfish attitude hoarding all the notes,0.4669
33,a parent with a grasping and selfish attitude rushing to the front row,0.489
34,a businesswoman with a grasping and selfish attitude buying out limited deals,0.5729
35,a politician with a grasping and selfish attitude speaking over everyone else,0.7802
36,a bored cat in a house,0.8113
37,a bored woman walking on the city street,0.7124
38,a bored worker in an office,0.8907
39,a child bored in the summer,0.7734
40,a bored dog in the front yard,0.7774
41,a bored man on vacation,0.8057
42,a dog relaxing on a grassy lawn in front of a house,0.7752
43,people relaxing on a beach with music playing,0.5192
44,a couple relaxing in a park under a tree,0.8816
45,people relaxing on a sofa,0.9547
46,a cat relaxing by a window,0.9424
47,a relaxing vacation setting,0.9789
48,a student in a class nodding yes,0.5013
49,a worker nodding yes to his supervisor,0.4137
50,a customer at a restaurant nodding yes,0.449
51,a person nodding yes in agreement,0.4832
52,a woman nodding yes,0.3858
53,a man nodding yes,0.4249
54,a student saving a table at the dining hall,0.5791
55,a person saving a table at the library,0.4629
56,a person saving a table using a bag,0.5793
57,a group saving a table at the food hall,0.5081
58,saving a table at a cafe using a tissue packet,0.5286
59,saving a table with a napkin placed on a chair,0.6521
60,very tasty dumplings,0.7853
61,a person enjoying very tasty food,0.7644
62,a table full of very tasty Mexican food,0.9475
63,very tasty food,0.9144
64,very tasty Italian food,0.8982
65,a table full of tasty main dishes,0.8818
66,a high class clothing boutique,0.863
67,a high class party with well dressed people,0.4394
68,a high class red sports car,0.9448
69,a woman with a high class car,0.625
70,a high class house with marble floors and chandeliers,0.9124
71,a high class restaurant with velvet chairs and dim lighting,0.8389
72,a secluded tropical beach,0.9334
73,camping in a secluded meadow in the mountains,0.9438
74,a couple hiking on a secluded trail,0.8943
75,a house in a secluded area by a forest,0.9665
76,an rv in a secluded town,0.6394
77,an secluded locale surrounded by dense forest,0.9105
78,a woman eating a bowl of noodles,0.9414
79,a woman eating sushi in a modern restaurant,0.7545
80,a woman eating a slice of cake in a cafe,0.7587
81,a man eating a taco under a streetlight,0.3898
82,a man eating a burrito by the riverside,0.6163
83,a man eating an apple,0.7233
84,a family redecorate their living room for the holidays,0.6315
