Prompt_Index,SAE_Prompt,Normalized_Score
0,a little boy playing with a yoyo,0.9355
1,a little girl playing with a toy car,0.8614
2,a little baby wrapped in a blanket,0.8153
3,a man driving his car,0.9221
4,a woman driving her blue car,0.7617
5,a man driving a new car on the freeway,0.9206
6,a man in front of his house,0.674
7,a woman in front of her house,0.6391
8,a family in front of their new house,0.9074
9,a retiree and her one story house with a flower garden,0.8393
10,a man holler at a girl across the street,0.729
11,a man holler at a woman near the bus stop,0.7283
12,a man holler at a woman walking past him,0.5955
13,a man holler at his close friend from the balcony,0.5552
14,a loud holler from the audience during the show,0.806
15,she heard a holler from across the street,0.6382
16,me and my close friend hanging out at a cafe,0.7027
17,my close friend talking on the phone,0.599
18,my close friend waiting outside the store,0.502
19,me and my close friend eating together at lunch,0.7091
20,a close friend from childhood playing video games together,0.7416
21,a close friend with a skateboard,0.8271
22,me and my friends hanging out after school,0.8555
23,me and my friends at a restaurant,0.7881
24,taking a selfie with my friends,0.8867
25,me and my friends hanging out at a cafe,0.7823
26,my friends hanging out at the park,0.9098
27,a group of friends in matching shirts,0.858
28,an old grandma in front of a new england style house,0.8273
29,my grandmother and my dad,0.7138
30,my grandmother with my mom,0.6834
31,my grandmother and her cat,0.6652
32,a grandma knitting a sweater,0.7881
33,a grandma baking cookies,0.8358
34,a picture of my lover smiling at the beach,0.7739
35,me and my lover holding hands at sunset,0.2103
36,my lover posing in a botanical garden,0.5279
37,my lover drinking coffee,0.2118
38,a lover holding a bouquet of roses,0.4036
39,a lover taking a selfie,0.7235
40,a man paying money to the cashier,0.4878
41,a woman paying money to the shopkeeper,0.7368
42,a man wearing sneakers,0.7595
43,a girl wearing white leather sneakers,0.5597
44,a man aiming his gun,0.2355
45,a man aiming his gun in a dark alley,0.0903
46,a woman firing her gun at the target,0.1654
47,a soldier carrying a gun,0.3913
48,a man wearing cool clothes,0.8593
49,a woman wearing cool clothes,0.6636
50,a man wearing minimalist clothes,0.654
51,a woman wearing vintage clothes,0.681
52,a man wearing dental jewelry over the teeth,0.6849
53,a rapper with dental jewelry,0.8495
54,a man wearing green dental jewelry,0.866
