Prompt_Index,Dialect_Prompt,SAE_Prompt,Score
0,a large black torque,a large black truck,0.1756
1,a green torque,a green truck,0.2999
2,a torque with a dog,a truck with a dog,0.1758
3,a painting of a torque,a painting of a truck,0.4382
4,a new torque,a new truck,0.2122
5,an old torque,an old truck,0.4824
6,a painting of raspa,a painting of shaved ice,0.2805
7,a man enjoying raspa,a man enjoying shaved ice,0.3066
8,a cup of raspa,a cup of shaved ice,0.0649
9,colorful raspa,colorful shaved ice,0.4956
10,cup of raspa on a table,cup of shaved ice on a table,0.0785
11,a blue raspa,a blue shaved ice,0.6151
12,a clicka,a friend group,0.1472
13,a big clicka,a big friend group,0.2019
14,a clicka at school,a friend group at school,0.6959
15,a painting of a clicka,a painting of a friend group,0.1914
16,a clicka at the park,a friend group at the park,0.2184
17,a loud clicka,a loud friend group,0.5772
18,a painting of a padrino,a painting of a godfather,0.7756
19,a padrino,a godfather,0.6827
20,a padrino in a house,a godfather in a house,0.5028
21,an old padrino,an old godfather,0.7802
22,a man with a padrino,a man with a godfather,0.5235
23,a woman with a padrino,a woman with a godfather,0.5428
24,a big fil,a big field,0.361
25,a painting of a fil,a painting of a field,0.5276
26,a person at a fil,a person at a field,0.1132
27,a yellow fil,a yellow field,0.4929
28,a green fil,a green field,0.7517
29,a busy fil,a busy field,0.6189
30,an old pinta,an old jail,0.1266
31,a modern pinta,a modern jail,0.0612
32,a painting of a pinta,a painting of a jail,0.0945
33,a small pinta,a small prison,0.2617
34,go to pinta,go to prison,0.1899
35,inside a pinta,inside a prison,0.2996
36,a painting of a jaina,a painting of a girlfriend,0.4826
37,a jaina in a home,a girlfriend in a home,0.4254
38,a jaina in a car,a girlfriend in a car,0.6361
39,a jaina walking,a girlfriend walking,0.3862
40,me and my jaina,me and my girlfriend,0.3664
41,at the park with my jaina,at the park with my girlfriend,0.0922
42,my dad planchar shirts,my dad irons shirts,0.4975
43,she planchar daily,she irons daily,0.3964
44,they planchar clothes,they iron clothes,0.2528
45,I planchar pants,I iron pants,0.4187
46,we planchar uniforms,we iron uniforms,0.565
47,he likes to planchar,he likes to iron,0.5194
48,a person exploring Chuco,a person exploring El Paso,0.1644
49,a painting of Chuco,a painting of El Paso,0.3646
50,a person in Chuco,a person in El Paso,0.3458
51,Chuco landscape,El Paso landscape,0.4111
52,a typical house in Chuco,a typical house in El Paso,0.6601
53,a bird's eye view of Chuco,a bird's eye view of El Paso,0.6649
54,a painting of a carnal,a painting of a brother,0.5268
55,a man hiking with his carnal,a man hiking with his brother,0.1311
56,a carnal in a house,a brother in a house,0.2201
57,me with my carnal,me with my brother,0.3772
58,a carnal at a table,a brother at a table,0.1015
59,a carnal at a park,a brother at a park,0.2136
60,a painting of a carnalita,a painting of a sister,0.5392
61,a man hiking with his carnalita,a man hiking with his sister,0.1137
62,a carnalita in a house,a sister in a house,0.22
63,me with my carnalita,me with my sister,0.2616
64,a carnalita at a table,a sister at a table,0.0999
65,a carnalita at a park,a sister at a park,0.326
66,a painting of carnales,a painting of brothers,0.2879
67,carnales in a house,brothers in a house,0.1933
68,me and my carnales,me and my brothers,0.2876
69,carnales by a table,brothers by a table,0.0991
70,carnales together,brothers together,0.3606
71,carnales walking,brothers walking,0.5316
72,a painting of carnalas,a painting of sisters,0.6322
73,carnalas in a house,sisters in a house,0.2002
74,me and my carnalas,me and my sisters,0.4166
75,carnalas by a table,sisters by a table,0.2427
76,carnalas together,sisters together,0.6746
77,carnalas walking,sisters walking,0.5653
78,a painting of raza,a painting of Mexican American,0.578
79,a raza at a park,a Mexican American at a park,0.2863
80,a raza neighborhood,a Mexican American neighborhood,0.5898
81,a raza at a store,a Mexican American at a store,0.0877
82,a young raza,a young Mexican American,0.3658
83,an old raza,an old Mexican American,0.2136
84,a vato in a house,a young man in a house,0.6091
85,a vato in a park,a young man in a park,0.8576
86,painting of a vato,a painting of a young man,0.9375
87,a vato in a neighborhood,a young man in a neighborhood,0.7127
88,a vato on the ground,a young man on the ground,0.2956
89,a vato leaning,a young man leaning,0.7208
90,a painting of an ese,a painting of a young man,0.1715
91,an ese on a sidewalk,a young man on a sidewalk,0.0899
92,an ese on a trail,a young man on a trail,0.4656
93,an ese in a park,a young man in a park,0.0644
94,an ese in a neighborhood,a young man in a neighborhood,0.0662
95,an ese on a street,a young man on a street,0.0793
96,a painting of a yonke,a painting of a junkyard,0.0701
97,an old yonke,an old junkyard,0.3183
98,a modern yonke,a modern junkyard,0.128
99,a big yonke,a big junkyard,0.1091
100,a small yonke,a small junkyard,0.0782
101,a dirty yonke,a dirty junkyard,0.5892
102,a painting of pisto,a painting of alcohol,0.3455
103,aged pisto,aged alcohol,0.1148
104,strong pisto,strong alcohol,0.3424
105,old pisto,old alcohol,0.1709
106,a large pisto,a large alcohol,0.1162
107,a small pisto,a small alcohol,0.141
108,a painting of a bato,a painting of a man,0.7727
109,a big bato,a big man,0.5901
110,a smaller bato,a smaller man,0.5814
111,a bato in a house,a man in a house,0.435
112,a bato in a park,a man in a park,0.0714
113,a bato on a street,a man on a street,0.679
114,a painting of a madrina,a painting of a godmother,0.6772
115,an old madrina,an old godmother,0.8596
116,a middle-aged madrina,a middle-aged godmother,0.5832
117,a madrina in a house,a godmother in a house,0.6048
118,a madrina at a park,a godmother at a park,0.4425
119,a madrina in a car,a godmother in a car,0.5673
120,a guy acting loco,a guy acting crazy,0.9071
121,a loco cat,a crazy cat,0.7074
122,a loco dog,a crazy dog,0.5379
123,a child acting loco,a child acting crazy,0.7827
124,a loco painting,a crazy painting,0.7768
125,a loco toy,a crazy toy,0.6961
126,a mi'ja,a daughter,0.579
127,a mi'ja at home,a daughter at home,0.5678
128,a mi'ja at a park,a daughter at a park,0.3914
129,a younger mi'ja,a younger daughter,0.2916
130,an older mi'ja,an older daughter,0.2422
131,a painting of a mi'ja,a painting of a daugher,0.7525
132,a mijo,a son,0.1065
133,a mijo at home,a son at home,0.0985
134,a mijo at a park,a son at a park,0.0634
135,a younger mijo,a younger son,0.156
136,an older mijo,an older son,0.1497
137,a painting of a mijo,a painting of a son,0.446
138,a painting of carnitas,a painting of pulled pork,0.8094
139,carnitas in a bowl,pulled pork in a bowl,0.7221
140,carnitas on a table,pulled pork on a table,0.7464
141,lots of carnitas,lots of pulled pork,0.8123
142,carnitas at a store,pulled pork at a store,0.4438
143,a small amount of carnitas,a small amount of pulled pork,0.4202
144,a painting of Califas,a painting of California,0.4362
145,a Califas landscape,a California landscape,0.7616
146,a city in Califas,a city in California,0.4162
147,older Califas,older California,0.431
148,an iconic bridge in Califas,an iconic bridge in California,0.72
149,a Califas suburb,a California suburb,0.9276
150,baro on a counter,money on a counter,0.0437
151,a painting of baro,a painting of money,0.1762
152,baro on a table,money on a table,0.041
153,baro in the car,money in the car,0.2368
154,baro on the sidewalk,money on the sidewalk,0.1856
155,a person holding baro,a person holding money,0.2096
156,a painting of a cuate,a painting of a close friend,0.2501
157,me and my cuate,me and my close friend,0.6471
158,a cuate in a house,a close friend in a house,0.253
159,a cuate at a cafe,a close friend at a cafe,0.5841
160,a cuate on the sidewalk,a close friend on the sidewalk,0.2352
161,a cuate in a park,a close friend in a park,0.292
162,a cat getting apapachar,a cat getting pampered,0.4836
163,a dog getting apapachar,a dog getting pampered,0.601
164,a person apapachar himself,a person pampered himself,0.5626
165,a couple getting apapachar,a couple getting pampered,0.5337
166,a woman getting apapachar,a woman getting pampered,0.6564
167,a man getting apapachar,a man getting pampered,0.7442
168,lonche in the house,lunch in the house,0.1413
169,getting lonche,getting lunch,0.1785
170,lonche at the park,lunch at the park,0.3538
171,a couple getting lonche,a couple getting lunch,0.3391
172,lonche in the forest,lunch in the forest,0.1401
173,lonche in the meadow,lunch in the meadow,0.1987
174,a chamaco at the park,a boy at the park,0.1579
175,a chamaco in a house,a boy in a house,0.0717
176,a chamaco on the sidewalk,a boy on the sidewalk,0.1089
177,a painting of a chamaco,a painting of a chamaco,0.2202
178,a chamaco at a school,a boy at a school,0.9109
179,a chamaco and a soccer ball,a boy and a soccer ball,0.2464
180,a chamaca at the park,a girl at the park,0.3913
181,a chamaca in a house,a girl in a house,0.1788
182,a chamaca on the sidewalk,a girl on the sidewalk,0.5151
183,a chamaca and a basketball,a girl and a basketball,0.5691
184,a chamaca at a school,a girl at a school,0.912
185,a chamaca at a store,a girl at a store,0.1991
186,a pair of colorful chanclas,a pair of colorful flip-flops,0.9704
187,dirty chanclas on the floor,dirty flip-flops on the floor,0.8431
188,chanclas at the beach,flip-flops at the beach,0.9852
189,new chanclas in a store,new flip-flops in a store,0.8234
190,a woman wearing chanclas,a woman wearing flip-flops,0.8651
191,broken chanclas,broken flip-flops,0.345
192,a bowl of cooked frijol,a bowl of cooked beans,0.7635
193,frijol on a wooden table,beans on a wooden table,0.9679
194,a spoonful of frijol,a spoonful of beans,0.5056
195,uncooked frijol in a bowl,uncooked beans in a bowl,0.9724
196,frijol spilled on the floor,beans spilled on the floor,0.7303
197,a bag of dried frijol,a bag of dried beans,0.9095
198,a modern refri,a modern fridge,0.2667
199,an open refri,an open fridge,0.0463
200,a dirty refri,a dirty fridge,0.48
201,a white refri,a white fridge,0.0804
202,an empty refri,an empty fridge,0.1567
203,a broken refri,a broken fridge,0.2832
