Prompt_Index,SAE_Prompt,Normalized_Score
0,a large milk tea,0.7298
1,a small milk tea,0.3347
2,coffee on a table,0.1455
3,coffee on a counter,0.1855
4,two people getting coffee,0.1943
5,a man buying coffee,0.2516
6,a woman with coffee,0.2273
7,a painting of a red packet,0.6655
8,a person holding a red packet,0.2654
9,let's get some food takeout,0.7174
10,a couple getting food takeout,0.5045
11,a businessman with a grasping and selfish attitude,0.2721
12,a leader with a grasping and selfish attitude,0.1332
13,a student with a grasping and selfish attitude,0.4069
14,a parent with a grasping and selfish attitude,0.2084
15,a businesswoman with a grasping and selfish attitude,0.2882
16,a politician with a grasping and selfish attitude,0.1968
17,a bored woman,0.1044
18,a bored worker,0.2704
19,a child bored,0.4558
20,a bored man,0.2866
21,people relaxing on a beach,0.2229
22,people relaxing on a coach,0.405
23,a couple relaxing in a park,0.3583
24,a person gesturing yes,0.3285
25,a person answering yes,0.2141
26,a worker gesturing yes,0.7402
27,a student gesturing yes,0.3819
28,a woman gesturing yes,0.4457
29,a man gesturing yes,0.2866
30,a student saving a table,0.5506
31,a man saving a table,0.393
32,a woman saving a table,0.1655
33,a group saving a table,0.4
34,saving a table at a cafe,0.2132
35,saving a table with a napkin,0.5085
36,a painting of something that is very tasty,0.7215
37,a high class party,0.7168
38,a high class car,0.8492
39,a secluded trail,0.2739
40,a woman eating noodles,0.2493
41,a painting of someone eating,0.7658
42,a person eating a salad,0.4327
43,a man eating a taco,0.2495
44,people eating,0.5408
45,a man eating a burrito,0.424
46,a family redecorates their house,0.3967
47,a worker redecorates her office space,0.4614
48,a couple redecorate their garage,0.3062
49,a woman redecorates her room,0.3607
50,a man redecorates his desk,0.4997
51,a person redecorates their kitchen,0.1759
52,a tall girl,0.1343
53,a girl buying a computer,0.1916
54,a girl hiking,0.2398
55,a girl,0.1205
56,a girl in a city,0.1626
57,a painting of a girl,0.5056
58,a woman holding a mobile phone,0.3843
59,a man with a mobile phone,0.3127
60,a painting of a mobile phone,0.6821
61,a mobile phone on a lawn,0.4535
62,a loan shark handling cash,0.658
63,a loan shark carrying a knife,0.5528
64,a loan shark holding a bag,0.8503
65,a loan shark,0.871
66,a loan shark talking to someone,0.812
67,a loan shark spray painting,0.7127
68,a man at a coffee shop,0.2921
69,a woman at a coffee shop,0.2601
70,a modern coffee shop,0.1585
71,an old coffee shop,0.13
72,a painting of a handsome male,0.4468
73,a handsome male buying food,0.714
74,a handsome male walking,0.3591
75,a photo of a handsome male,0.3771
76,a handsome male,0.2583
77,a handsome male at a gym,0.4357
78,a man studying for finals,0.4151
79,a woman studying at home,0.288
80,a child busy studying,0.8403
81,a group of people studying,0.6228
82,an older person studying,0.3895
83,studying at a table,0.3925
84,a man being a third wheel,0.4478
85,a woman being a third wheel,0.3127
86,a third wheel sitting with a couple,0.384
87,a person feeling like a third wheel,0.1569
88,scene with an awkward third wheel,0.2026
89,a young third wheel,0.3329
90,tea in a store,0.6576
91,a traditional Chinese physician and a man,0.4394
92,a traditional Chinese physician and a woman,0.2478
93,a painting of a traditional Chinese physician,0.4745
94,a traditional Chinese physician,0.3899
95,a traditional Chinese physician with two people,0.3401
96,a traditional Chinese physician sitting,0.4016
97,a couple at a food court,0.0624
98,a modern food court,0.4363
99,a painting of litter thrown from a high-rise building,0.6033
100,a person avoiding litter thrown from a high-rise building,0.5409
101,a person nearly hit by litter thrown from a high-rise building,0.522
102,a man holding a hoe,0.0754
103,a painting of a hoe,0.3568
104,an old hoe,0.3048
105,a family enjoying spicy stir-fried crab,0.3038
106,a waiter serving spicy stir-fried crab,0.3098
107,a chef making spicy stir-fried crab,0.4016
108,my uncle,0.0883
109,an uncle in blue,0.6069
110,a uncle talking,0.1661
111,an uncle buying fruit,0.3026
112,an uncle drinking coffee,0.3335
113,an uncle reading a newspaper,0.2193
114,a painting of Fujianese fresh spring roll,0.6705
115,a person eating a Fujianese fresh spring roll,0.156
116,a person eating Indian flatbread,0.0546
117,a person eating Chinese pork jerky,0.067
118,a painting of Chinese pork jerky,0.5205
119,one piece of Chinese pork jerky,0.7951
120,two buddies chatting,0.3126
121,buddies playing soccer,0.6648
122,buddies having coffee,0.2746
123,buddies laughing together,0.2309
124,a group of buddies outdoors,0.4226
125,buddies watching a movie,0.2912
