Prompt_Index,Dialect_Prompt,SAE_Prompt,Score
0,a large black torque,a large black truck,0.1768
1,a green torque,a green truck,0.2052
2,a torque with a dog,a truck with a dog,0.2031
3,a painting of a torque,a painting of a truck,0.3138
4,a new torque,a new truck,0.208
5,an old torque,an old truck,0.1991
6,a painting of raspa,a painting of shaved ice,0.2525
7,a man enjoying raspa,a man enjoying shaved ice,0.32
8,a cup of raspa,a cup of shaved ice,0.3248
9,colorful raspa,colorful shaved ice,0.33
10,cup of raspa on a table,cup of shaved ice on a table,0.2606
11,a blue raspa,a blue shaved ice,0.3093
12,a clicka,a friend group,0.1923
13,a big clicka,a big friend group,0.1906
14,a clicka at school,a friend group at school,0.1713
15,a painting of a clicka,a painting of a friend group,0.2288
16,a clicka at the park,a friend group at the park,0.242
17,a loud clicka,a loud friend group,0.2157
18,a painting of a padrino,a painting of a godfather,0.2837
19,a padrino,a godfather,0.2186
20,a padrino in a house,a godfather in a house,0.2275
21,an old padrino,an old godfather,0.2423
22,a man with a padrino,a man with a godfather,0.2526
23,a woman with a padrino,a woman with a godfather,0.223
24,a big fil,a big field,0.2383
25,a painting of a fil,a painting of a field,0.2668
26,a person at a fil,a person at a field,0.2174
27,a yellow fil,a yellow field,0.2057
28,a green fil,a green field,0.2481
29,a busy fil,a busy field,0.1934
30,an old pinta,an old jail,0.1778
31,a modern pinta,a modern jail,0.2013
32,a painting of a pinta,a painting of a jail,0.2484
33,a small pinta,a small prison,0.1785
34,go to pinta,go to prison,0.1672
35,inside a pinta,inside a prison,0.2065
36,a painting of a jaina,a painting of a girlfriend,0.2825
37,a jaina in a home,a girlfriend in a home,0.2058
38,a jaina in a car,a girlfriend in a car,0.2778
39,a jaina walking,a girlfriend walking,0.2019
40,me and my jaina,me and my girlfriend,0.201
41,at the park with my jaina,at the park with my girlfriend,0.2028
42,my dad planchar shirts,my dad irons shirts,0.2428
43,she planchar daily,she irons daily,0.251
44,they planchar clothes,they iron clothes,0.2527
45,I planchar pants,I iron pants,0.2517
46,we planchar uniforms,we iron uniforms,0.262
47,he likes to planchar,he likes to iron,0.2073
48,a person exploring Chuco,a person exploring El Paso,0.2242
49,a painting of Chuco,a painting of El Paso,0.232
50,a person in Chuco,a person in El Paso,0.2328
51,Chuco landscape,El Paso landscape,0.2363
52,a typical house in Chuco,a typical house in El Paso,0.2389
53,a bird's eye view of Chuco,a bird's eye view of El Paso,0.2371
54,a painting of a carnal,a painting of a brother,0.2218
55,a man hiking with his carnal,a man hiking with his brother,0.2049
56,a carnal in a house,a brother in a house,0.2227
57,me with my carnal,me with my brother,0.1993
58,a carnal at a table,a brother at a table,0.2303
59,a carnal at a park,a brother at a park,0.2095
60,a painting of a carnalita,a painting of a sister,0.2212
61,a man hiking with his carnalita,a man hiking with his sister,0.1992
62,a carnalita in a house,a sister in a house,0.2275
63,me with my carnalita,me with my sister,0.2012
64,a carnalita at a table,a sister at a table,0.2248
65,a carnalita at a park,a sister at a park,0.2079
66,a painting of carnales,a painting of brothers,0.2229
67,carnales in a house,brothers in a house,0.2149
