Prompt_Index,SAE_Prompt,Score
0,a little boy playing with a yoyo,0.3311
1,a little girl playing with a toy car,0.3036
2,a little cat sitting on top of the piano,0.3371
3,a little dog playing in the backyard,0.2996
4,a little one story blue house,0.2826
5,a little baby wrapped in a blanket,0.2934
6,a man driving his car,0.2741
7,a woman driving her blue car,0.3049
8,a man driving a new car on the freeway,0.2658
9,a red car parked in the garage,0.2724
10,a car parked by the curb,0.2575
11,a black car with chrome rims,0.2846
12,a man in front of his house,0.2809
13,a woman in front of her house,0.2832
14,a family in front of their new house,0.3161
15,a retiree and her one story house with a flower garden,0.331
16,a house with a white picket fence,0.3228
17,a brick house with a garden,0.3095
18,a man holler at a girl across the street,0.2432
19,a man holler at a woman near the bus stop,0.2715
20,a man holler at a woman walking past him,0.2695
21,a man holler at his close friend from the balcony,0.2456
22,a loud holler from the audience during the show,0.2368
23,she heard a holler from across the street,0.2023
24,me and my close friend hanging out at a cafe,0.2568
25,my close friend talking on the phone,0.2627
26,my close friend waiting outside the store,0.2465
27,me and my close friend eating together at lunch,0.2391
28,a close friend from childhood playing video games together,0.279
29,a close friend with a skateboard,0.2625
30,me and my friends hanging out after school,0.2618
31,me and my friends at a restaurant,0.2757
32,taking a selfie with my friends,0.2674
33,me and my friends hanging out at a cafe,0.2943
34,my friends hanging out at the park,0.2548
35,a group of friends in matching shirts,0.2802
36,an old grandma in front of a new england style house,0.3238
37,my grandmother and my dad,0.2668
38,my grandmother with my mom,0.2424
39,my grandmother and her cat,0.2769
40,a grandma knitting a sweater,0.3554
41,a grandma baking cookies,0.3177
42,a picture of my lover smiling at the beach,0.2696
43,me and my lover holding hands at sunset,0.2682
44,my lover posing in a botanical garden,0.2385
45,my lover drinking coffee,0.2568
46,a lover holding a bouquet of roses,0.3131
47,a lover taking a selfie,0.2417
48,a wallet full of money,0.3106
49,pay with some money,0.2608
50,a man paying money to the cashier,0.3195
51,a woman paying money to the shopkeeper,0.2867
52,a wallet overflowing with fresh green money,0.3064
53,an armored cash carrier carrying bags of money,0.312
54,a man wearing sneakers,0.2715
55,a girl wearing white leather sneakers,0.2903
56,a pair of stylish sneakers,0.2864
57,a pair of gray sneakers,0.301
58,a row of sneakers in a store,0.2936
59,a pair of sneakers hanging on a wire,0.3447
60,a man aiming his gun,0.2558
61,a man aiming his gun in a dark alley,0.3044
62,a woman firing her gun at the target,0.2387
63,a soldier carrying a gun,0.3172
64,a gun in a holster,0.2856
65,a gun tucked into a waistband,0.2398
66,a man wearing cool clothes,0.2784
67,a woman wearing cool clothes,0.2633
68,a man wearing minimalist clothes,0.3028
69,some fresh clothes on a mannequin,0.3003
70,a woman wearing vintage clothes,0.3123
71,a rack of designer clothes,0.3116
72,a man wearing dental jewelry over the teeth,0.3395
73,a rapper with dental jewelry,0.3253
74,a man wearing green dental jewelry,0.3303
75,a woman wearing dental jewelry with a confident smile,0.3234
76,a rapper showing off his dental jewelry,0.2878
77,gold dental jewelry on a smiling face,0.3103
78,a car with dark tinted windows,0.2319
79,a black convertible with tinted windows,0.2798
80,a red Tesla with very dark tinted windows,0.2436
81,a SUV with dark tinted windows,0.2687
82,a silver van with light window tinting on the windows,0.2388
83,a schoolbus with orange tinted windows,0.3292
84,a woman driving her convertible car,0.2883
85,a man driving his convertible car on the hilly road,0.2998
86,two people riding in a convertible car,0.2889
87,a man driving a sporty convertible car,0.2919
88,a red convertible car cruising down the street,0.2853
89,a vintage convertible car parked at the beach,0.2966
90,a grandpa wearing a baseball cap,0.2813
91,a woman wearing an orange cap,0.2881
92,a man wearing a red cap,0.3147
93,a man with a blue cap,0.3077
94,a baseball cap with a sports logo,0.3171
95,a boy wearing a cap matching his outfit,0.322
96,a man looking at his reflection in a mirror,0.3224
97,a woman looking at her reflection in a mirror,0.2819
98,a couple looking at their reflection in a mirror,0.2915
99,a mirror mounted above the sink in a bathroom,0.2869
100,a handheld mirror with a gold frame,0.3253
101,a tall mirror in the fitting room,0.2501
102,a man holding his gun,0.278
103,a woman holding a large gun,0.2884
104,a couple of soldiers with guns,0.2784
105,a group of people with guns,0.287
106,a gun stored in a safe,0.3484
107,a black gun inside a half-open drawer,0.3569
108,a man wearing a gold necklace,0.3302
109,a woman wearing a gold necklace,0.267
110,a man wearing a rose gold necklace,0.3162
111,some gold necklaces around the neck,0.3069
112,a display of necklaces in a jewelry store,0.3073
113,a man wearing a dark gray necklace,0.277
114,a woman driving a car,0.2826
115,a car with a flat tire,0.2586
116,a guy riding in a car,0.2708
117,a group of friends in a car,0.2721
118,a blue car in the parking lot,0.2494
119,a car speeding down the highway,0.2416
120,a person firing a gun,0.2764
121,a man aiming a gun at a target,0.3112
122,a person firing a small gun,0.2504
123,a woman aiming a gun,0.2493
124,a sleek black gun with a silencer on a table,0.2213
125,a policeman shooting a gun,0.275
126,two people enjoying tasty food,0.3178
127,some tasty fries topped with cheese and bacon,0.3144
128,a man enjoying tasty food,0.3001
129,a woman buying tasty food,0.2813
130,a tasty bowl of mac and cheese,0.3353
131,a tasty plate of fried chicken,0.2964
132,a neighborhood that has many palm trees,0.2835
133,a neighborhood with old victorian style homes,0.3033
134,driving through the dense urban neighborhood with a convertible,0.2852
135,walking through the bland suburban neighborhood,0.2391
136,kids playing in the neighborhood,0.2768
137,a barber shop in the neighborhood,0.3348
138,a cashier counting the money from the customer,0.2843
139,a woman getting money from her checking account at the ATM,0.3003
140,the foodtruck worker getting money from the customer for the purchase,0.2814
141,a man paying back his friend the money for the coffee,0.2979
142,coins and bills stuffed into a wallet,0.2989
143,a rich businessman showing off a large stack of bills,0.3123
144,hanging out with my close friends,0.2344
145,hanging out with my close friends at a cafe,0.2503
146,studying with my close friends at a library,0.2716
147,me and my close friends gathered for a barbecue,0.301
148,a group picture with close friends at the beach,0.2909
149,going on a road trip with my close friends,0.2525
150,spending time with my lover at home,0.2016
151,getting stuff from the grocery store with my lover,0.2685
152,a woman and her lover at a fancy restaurant,0.304
153,a man and his lover on a flight,0.2997
154,me holding hands at the movie with my lover,0.2718
155,me and my lover sharing an umbrella in the rain,0.2779
156,me and my close friend hiking in the mountains,0.2699
157,a woman and her close friend getting coffee,0.2873
158,a man and his close friend walking a golden retriever,0.2236
159,me and my close friend playing video games on the television,0.2993
160,my close friend helping me with a move,0.2367
161,my close friend riding a skateboard,0.2666
162,my close friend from the neighborhood,0.2001
163,me and my close friend in front of a big house,0.2619
164,an evening hanging out with my close friend,0.2315
165,me and my close friend eating at a cafe,0.2736
166,my go-to close friend for advice,0.2415
167,a heart-to-heart with my oldest close friend,0.2362
168,a summer day causing some serious hair frizziness,0.2634
169,my hair frizziness on full display in the humidity,0.2223
170,a struggle to manage the morning hair frizziness,0.3323
171,hair frizziness making a statement today,0.2159
172,my natural hair frizziness showing its beauty,0.2575
173,two people with visible hair frizziness in their hair,0.3085
174,flashy jewelry that caught everyone's eye at the party,0.2929
175,my flashy jewelry representing my style,0.2665
176,an outfit completed with some serious flashy jewelry,0.2685
177,a showcase of new flashy jewelry at the store,0.3068
178,my favorite piece of flashy jewelry from my grandma,0.2478
179,a statement made with just the right flashy jewelry,0.2529
180,my outfit for the club tonight,0.2019
181,an outfit that screams confidence,0.2149
182,an outfit that looks like it's from a Korean drama,0.2308
183,my go-to outfit for first dates,0.2354
184,a breezy summer outfit for hot days,0.3121
185,a new outfit for a cold snowy winter in a big city,0.286
186,a new pair of glasses to change my look,0.2188
187,a pair of black round glasses worn by a man,0.2458
188,a pair of modern glasses worn by a woman,0.3031
189,my stylish glasses with the gold frame,0.3002
190,a pair of glasses sitting on the nightstand,0.3477
191,my friend holding her pair of glasses,0.2498
192,my first tattoo on my forearm,0.2303
193,a tattoo representing my journey,0.2967
194,a tattoo artist known for intricate designs,0.3131
195,a tattoo on a woman's neck,0.2998
196,a tattoo on a man's leg,0.2835
197,a dreamy design for my next tattoo,0.304
198,my dreadlocks reaching my shoulders now,0.2844
199,a new style for my dreadlocks this summer,0.2818
200,taking care of my dreadlocks with essential oils,0.3386
201,two people with long dreadlocks sitting on a bench,0.4009
202,my dreadlocks tied up in a bun,0.2748
203,my dreadlocks reaching down to my waist,0.2937
