Prompt_Index,SAE_Prompt,Normalized_Score
0,a man drinking milk tea,0.4014
1,a woman drinking milk tea,0.073
2,a couple sitting at a table both with coffee,0.3247
3,a man getting coffee from a modern cafe,0.4322
4,two people getting coffee from a stall,0.5659
5,a man buying coffee at a busy counter,0.2766
6,a woman with coffee standing by a bus stop,0.169
7,a child receiving a red packet from his grandmother,0.7775
8,a group of people holding red packets,0.4757
9,let's get some food takeout,0.8279
10,a couple getting food takeout from a hawker stall,0.4685
11,a businessman with a grasping and selfish attitude grabbing all the samples,0.431
12,a leader with a grasping and selfish attitude cutting in line for a photo,0.2932
13,a student with a grasping and selfish attitude hoarding all the notes,0.6915
14,a parent with a grasping and selfish attitude rushing to the front row,0.4857
15,a businesswoman with a grasping and selfish attitude buying out limited deals,0.3941
16,a politician with a grasping and selfish attitude speaking over everyone else,0.209
17,a bored woman walking on the city street,0.4652
18,a bored worker in an office,0.3941
19,a child bored in the summer,0.5954
20,a bored man on vacation,0.512
21,people relaxing on a beach with music playing,0.3773
22,a couple relaxing in a park under a tree,0.2781
23,people relaxing on a sofa,0.4055
24,a student in a class nodding yes,0.4882
25,a worker nodding yes to his supervisor,0.7718
26,a customer at a restaurant nodding yes,0.7073
27,a person nodding yes in agreement,0.3091
28,a woman nodding yes,0.24
29,a man nodding yes,0.5774
30,a student saving a table at the dining hall,0.7971
31,a person saving a table at the library,0.5549
32,a person saving a table using a bag,0.6156
33,a group saving a table at the food hall,0.4263
34,saving a table at a cafe using a tissue packet,0.7797
35,saving a table with a napkin placed on a chair,0.3596
36,a person enjoying very tasty food,0.4036
37,a high class party with well dressed people,0.6412
38,a woman with a high class car,0.5516
39,a couple hiking on a secluded trail,0.4395
40,a woman eating a bowl of noodles,0.5448
41,a woman eating sushi in a modern restaurant,0.7705
42,a woman eating a slice of cake in a cafe,0.5441
43,a man eating a taco under a streetlight,0.8658
44,a man eating a burrito by the riverside,0.6106
45,a man eating an apple,0.403
46,a family redecorate their living room for the holidays,0.5094
47,a worker redecorate her office space with colorful posters,0.4991
48,a couple redecorate their garage with neon lights,0.5407
49,a woman redecorate her room using fairy lights,0.5132
50,a man redecorate his desk with anime figurines,0.3445
51,a couple redecorate their living room,0.4242
52,a group of girls at the mall,0.2166
53,a girl hiking in the desert,0.3045
54,a girl posing in front of a mural,0.3098
55,a girl buying a computer at the electronics store,0.1325
56,a girl with a white shirt,0.1653
57,a girl and her partner,0.2588
58,a person taking a selfie with a mobile phone,0.4215
59,a man using a mobile phone,0.2722
60,people on the subway using their mobile phones,0.4113
61,a woman taking a photo with a mobile phone,0.3553
62,a loan shark counting cash,0.6938
63,a loan shark carrying a knife in an alley,0.2048
64,a loan shark holding a bag of cash,0.6784
65,a loan shark standing by a black car,0.3897
66,a loan shark threatening someone,0.7744
67,a loan shark spray painting a message,0.8081
68,a man eating food at a small food court,0.6296
69,a woman drinking tea at a small food court,0.0527
70,a couple at a small food court,0.1608
71,a group of friends at a small food court,0.3637
72,a handsome male on a magazine cover,0.2507
73,a handsome male performing on stage at a concert,0.5435
74,a handsome male at a gym lifting weights,0.5774
75,a handsome male posing in a streetwear outfit,0.8532
76,a handsome male with his partner,0.4813
77,a group of handsome males,0.1505
78,a man studying at the coffee shop,0.5949
79,a woman studying at home,0.4636
80,a child studying a book,0.8836
81,a group of students studying,0.6312
82,a student studying in his room at night,0.289
83,a couple friends studying in the library,0.452
84,a man being a third wheel on a hike with a couple,0.4584
85,a woman being a third wheel at a museum with a couple,0.2748
86,a third wheel with a gray shirt with a couple,0.5145
87,a couple accompanied by a third wheel,0.4865
88,he was a third wheel on his friend's date,0.6078
89,a third wheel trailing behind a couple,0.3266
90,a man with a cup of milk tea,0.3992
91,a traditional Chinese physician and a male patient,0.2385
92,a traditional Chinese physician and a female patient,0.1958
93,a traditional Chinese physician holding medicine,0.3682
94,a traditional Chinese physician in an office,0.3121
95,a traditional Chinese physician talking with two people,0.292
96,a traditional Chinese physician sitting at their desk,0.4842
97,a couple at a food court sharing laksa,0.4128
98,a family eating at a food court,0.5473
99,a person guilty of litter thrown from a high-rise building,0.4491
100,a person on the sidewalk avoiding litter thrown from a high-rise building,0.6385
101,a couple walking nearly hit by litter thrown from a high-rise building,0.4696
102,a man using a hoe in a vegetable garden,0.3194
103,a farmer using a hoe in a field,0.0472
104,a person digging in their front yard with a hoe,0.6592
105,a family enjoying spicy stir-fried crab in a fancy restaurant,0.4121
106,a waiter holding a spicy stir-fried crab dish,0.2174
107,a chef making spicy stir-fried crab in a large wok,0.3687
108,a child with his uncle,0.4847
109,an uncle wearing a dark blue shirt,0.0191
110,a group of uncles talking,0.5553
111,an uncle buying fruit from the supermarket,0.4767
112,an uncle drinking coffee at the dining table,0.6566
113,an uncle reading a newspaper while on the couch,0.3545
114,a waiter holding a plate of Fujianese fresh spring rolls,0.7961
115,a person eating a Fujianese fresh spring roll at a street stall,0.6868
116,a person eating Indian flatbread with their hands,0.1865
117,a person eating Chinese pork jerky at a festival,0.2883
118,a person buying Chinese pork jerky from a shop,0.5908
119,two people both eating Chinese pork jerky,0.236
120,two buddies chatting casually outside a cafe,0.6821
121,buddies laughing while walking along the street,0.4412
122,buddies sharing a meal at the hawker centre,0.2202
123,a group of buddies playing basketball outdoors,0.6172
124,buddies taking selfies at a famous landmark,0.6947
125,two buddies relaxing together at the beach,0.3566
