Prompt_Index,Dialect_Prompt,SAE_Prompt,Normalized_Score
0,a painting of raspa,a painting of shaved ice,0.6616
1,a man enjoying raspa,a man enjoying shaved ice,0.3967
2,cup of raspa on a table,cup of shaved ice on a table,0.6689
3,a blue raspa,a blue shaved ice,0.69
4,a clicka,a friend group,0.4148
5,a big clicka,a big friend group,0.4607
6,a clicka at school,a friend group at school,0.6433
7,a clicka at the park,a friend group at the park,0.5463
8,a loud clicka,a loud friend group,0.5314
9,a painting of a padrino,a painting of a godfather,0.7093
10,a padrino,a godfather,0.2019
11,a padrino in a house,a godfather in a house,0.3723
12,an old padrino,an old godfather,0.3766
13,a man with a padrino,a man with a godfather,0.4578
14,a woman with a padrino,a woman with a godfather,0.7049
15,a big fil,a big field,0.7965
16,a person at a fil,a person at a field,0.1445
17,a green fil,a green field,0.5994
18,an old pinta,an old jail,0.379
19,a modern pinta,a modern jail,0.3826
20,a small pinta,a small prison,0.5279
21,go to pinta,go to prison,0.2666
22,a painting of a jaina,a painting of a girlfriend,0.0827
23,a jaina in a home,a girlfriend in a home,0.1142
24,a jaina in a car,a girlfriend in a car,0.2974
25,a jaina walking,a girlfriend walking,0.0993
26,me and my jaina,me and my girlfriend,0.5784
27,at the park with my jaina,at the park with my girlfriend,0.7994
28,my dad planchar shirts,my dad irons shirts,0.5968
29,she planchar daily,she irons daily,0.6231
30,they planchar clothes,they iron clothes,0.6133
31,I planchar pants,I iron pants,0.4316
32,we planchar uniforms,we iron uniforms,0.731
33,he likes to planchar,he likes to iron,0.7189
34,a person exploring Chuco,a person exploring El Paso,0.2602
35,a painting of a carnal,a painting of a brother,0.4111
36,a man hiking with his carnal,a man hiking with his brother,0.5197
37,a carnal in a house,a brother in a house,0.2984
38,me with my carnal,me with my brother,0.7275
39,a carnal at a table,a brother at a table,0.497
40,a carnal at a park,a brother at a park,0.6536
41,a painting of a carnalita,a painting of a sister,0.5994
42,a man hiking with his carnalita,a man hiking with his sister,0.5572
43,a carnalita in a house,a sister in a house,0.2366
44,me with my carnalita,me with my sister,0.1685
45,a carnalita at a table,a sister at a table,0.4863
46,a carnalita at a park,a sister at a park,0.4732
47,a painting of carnales,a painting of brothers,0.6123
48,carnales in a house,brothers in a house,0.3821
49,me and my carnales,me and my brothers,0.801
50,carnales by a table,brothers by a table,0.5932
51,carnales together,brothers together,0.7822
52,carnales walking,brothers walking,0.4412
53,a painting of carnalas,a painting of sisters,0.3734
54,carnalas in a house,sisters in a house,0.1534
55,me and my carnalas,me and my sisters,0.4128
56,carnalas by a table,sisters by a table,0.4722
57,carnalas together,sisters together,0.3157
58,carnalas walking,sisters walking,0.1657
59,a painting of raza,a painting of Mexican American,0.677
60,a raza at a park,a Mexican American at a park,0.7601
61,a raza neighborhood,a Mexican American neighborhood,0.4048
62,a raza at a store,a Mexican American at a store,0.5206
63,a young raza,a young Mexican American,0.6188
64,an old raza,an old Mexican American,0.5437
65,a vato in a house,a young man in a house,0.365
66,a vato in a park,a young man in a park,0.7292
67,painting of a vato,a painting of a young man,0.8731
68,a vato in a neighborhood,a young man in a neighborhood,0.657
69,a vato on the ground,a young man on the ground,0.4209
70,a vato leaning,a young man leaning,0.6731
71,a painting of an ese,a painting of a young man,0.7718
72,an ese on a sidewalk,a young man on a sidewalk,0.7011
73,an ese on a trail,a young man on a trail,0.3759
74,an ese in a park,a young man in a park,0.7485
75,an ese in a neighborhood,a young man in a neighborhood,0.858
76,an ese on a street,a young man on a street,0.5627
77,a painting of a bato,a painting of a man,0.7051
78,a big bato,a big man,0.5823
79,a smaller bato,a smaller man,0.2378
80,a bato in a house,a man in a house,0.2825
81,a bato in a park,a man in a park,0.6721
82,a bato on a street,a man on a street,0.1918
83,a painting of a madrina,a painting of a godmother,0.6692
84,an old madrina,an old godmother,0.4478
85,a middle-aged madrina,a middle-aged godmother,0.619
86,a madrina in a house,a godmother in a house,0.1695
87,a madrina at a park,a godmother at a park,0.3906
88,a madrina in a car,a godmother in a car,0.6328
89,a guy acting loco,a guy acting crazy,0.5287
90,a loco cat,a crazy cat,0.6591
91,a loco dog,a crazy dog,0.7342
92,a loco painting,a crazy painting,0.5403
93,a loco toy,a crazy toy,0.701
94,a mi'ja,a daughter,0.1245
95,a mi'ja at home,a daughter at home,0.0869
96,a mi'ja at a park,a daughter at a park,0.1882
97,a younger mi'ja,a younger daughter,0.0534
98,an older mi'ja,an older daughter,0.1542
99,a painting of a mi'ja,a painting of a daugher,0.1706
100,a mijo,a son,0.5737
101,a mijo at home,a son at home,0.6504
102,a mijo at a park,a son at a park,0.7212
103,a younger mijo,a younger son,0.8864
104,an older mijo,an older son,0.7023
105,a painting of a mijo,a painting of a son,0.8375
106,a Califas landscape,a California landscape,0.258
107,a city in Califas,a city in California,0.463
108,a Califas suburb,a California suburb,0.435
109,baro on the sidewalk,money on the sidewalk,0.83
110,a painting of a cuate,a painting of a close friend,0.3445
111,me and my cuate,me and my close friend,0.0966
112,a cuate in a house,a close friend in a house,0.1517
113,a cuate at a cafe,a close friend at a cafe,0.3361
114,a cuate on the sidewalk,a close friend on the sidewalk,0.3233
115,a cuate in a park,a close friend in a park,0.1495
116,a person apapachar himself,a person pampered himself,0.0672
117,a couple getting apapachar,a couple getting pampered,0.1131
118,a woman getting apapachar,a woman getting pampered,0.0849
119,a couple getting lonche,a couple getting lunch,0.5722
120,lonche in the meadow,lunch in the meadow,0.2855
121,a chamaco at the park,a boy at the park,0.2294
122,a chamaco in a house,a boy in a house,0.0946
123,a chamaco on the sidewalk,a boy on the sidewalk,0.3134
124,a painting of a chamaco,a painting of a chamaco,0.2178
125,a chamaco at a school,a boy at a school,0.1145
126,a chamaco and a soccer ball,a boy and a soccer ball,0.2749
127,a chamaca at the park,a girl at the park,0.3971
128,a chamaca in a house,a girl in a house,0.2122
129,a chamaca on the sidewalk,a girl on the sidewalk,0.3846
130,a chamaca and a basketball,a girl and a basketball,0.5161
131,a chamaca at a school,a girl at a school,0.438
132,a chamaca at a store,a girl at a store,0.6164
133,a woman wearing chanclas,a woman wearing flip-flops,0.2688
