Prompt_Index,Dialect_Prompt,SAE_Prompt,Score
0,a medieval math,a medieval monastery,0.156
1,a math on a hill,a monastery on a hill,0.2569
2,a small math,a small monastery,0.1358
3,a painting of a math,a painting of a monastery,0.1498
4,a crowded math,a crowded monastery,0.2276
5,a math in a dark forest,a monastery in a dark forest,0.2458
6,simkin on a wooden table,champagne on a wooden table,0.2025
7,simkin in a cabinet,champagne in a cabinet,0.2392
8,simkin on a table outside,champagne on a table outside,0.239
9,a painting of some simkin,a painting of some champagne,0.1935
10,simkin on the beach,champagne on the beach,0.2283
11,simkin on top of a piano,champagne on top of a piano,0.2436
12,an old dai,an old midwife,0.199
13,a dai with a woman,a midwife with a woman,0.2332
14,a painting of a dai,a painting of a midwife,0.2157
15,a young dai,a young midwife,0.2145
16,a dai sitting down,a midwife sitting down,0.2213
17,a photograph of a dai with a cat,a photograph of a midwife with a cat,0.2354
18,a medico at a table,a medical practitioner at a table,0.2913
19,an old medico,an old medical practitioner,0.2765
20,a medico at a park,a medical practitioner at a park,0.3174
21,a medico with a woman,a medical practitioner with a woman,0.2871
22,a medico with a notepad,a medical practitioner with a notepad,0.309
23,a painting of a medico,a painting of a medical practitioner,0.3327
24,a window covered with chick,a window covered with bamboo blinds,0.2564
25,a doorway with chick,a doorway with bamboo blinds,0.2484
26,hand-crafted chick,hand-crafted bamboo blinds,0.1821
27,sun-faded chick,sun-faded bamboo blinds,0.1584
28,chick with decorative trim,bamboo blinds with decorative trim,0.1524
29,tattered chick,tattered bamboo blinds,0.1679
30,a dark ghat,a dark mountain pass,0.2403
31,a ghat covered in snow,a mountain pass covered in snow,0.2527
32,a crowded ghat,a crowded mountain pass,0.2237
33,a ghat with a nearby lake,a mountain pass with a nearby lake,0.2331
34,a painting of a beautiful ghat,a painting of a beautiful mountain pass,0.2733
35,an abandoned ghat,an abandoned mountain pass,0.216
36,an old kirana,an old convenience store,0.209
37,a modern kirana,a modern convenience store,0.2111
38,a busy kirana,a busy convenience store,0.2607
39,a kirana on fire,a convenience store on fire,0.2355
40,an empty kirana,an empty convenience store,0.2047
41,a painting of a kirana,a painting of a convenience store,0.1821
42,an old mandapa,an old temple,0.3041
43,a mandapa on a hill,a temple on a hill,0.3135
44,a painting of a mandapa,a painting of a temple,0.3438
45,a mandapa in a dark forest,a temple in a dark forest,0.3403
46,a mandapa in a city,a temple in a city,0.2786
47,a abandoned mandapa,an abandoned temple,0.2802
48,a nai in red,a barber in red,0.2154
49,an old nai,an old barber,0.2152
50,a small nai shop,a small barber shop,0.2552
51,a busy nai shop,a busy barber shop,0.1802
52,a nai by the chair,a barber by the chair,0.2183
53,a nai working,a barber working,0.1622
54,a thana in a city,a police station in a city,0.1957
55,a busy thana,a busy police station,0.2327
56,a thana in a small town,a police station in a small town,0.2075
57,a person entering a thana,a person walking into a police station,0.2073
58,a painting of a thana,a painting of a police station,0.2081
59,a photograph of a modern thana,a photograph of a modern police station,0.2126
60,an abba in front of a house,a father in front of a house,0.2062
61,a girl standing with her abba,a girl standing with her father,0.2218
62,a crying abba,a crying father,0.1879
63,an abba on a bed,a father on a bed,0.2388
64,an old abba with a dog,an old father with a dog,0.2252
65,an old abba in the kitchen,an old father in the kitchen,0.2545
66,a beautiful pial,a beautiful veranda,0.1892
67,an expensive looking pial,an expensive looking veranda,0.1722
68,a modern looking pial,a modern looking veranda,0.2114
69,a green pial,a green veranda,0.2512
70,a dimly lit pial,a dimly lit veranda,0.2136
71,a painting of a pial,a painting of a veranda,0.2111
72,a dry nullah,a dry riverbed,0.2804
73,a beautiful nullah in a painting,a beautiful riverbed in a painting,0.294
74,a nullah in a forest,a riverbed in a forest,0.2848
75,a narrow nullah,a narrow riverbed,0.2984
76,a small nullah,a small riverbed,0.2658
77,a wet nullah,a wet riverbed,0.2812
78,a beautiful rani,a beautiful queen,0.2317
79,a rani in a garden,a queen in a garden,0.2639
80,a painting of an old rani,a painting of an old queen,0.2813
81,a rani covered in snow,a queen covered in snow,0.2752
82,a rani in a large hall,a queen in a large hall,0.2999
83,an old rani on a bed,an old queen on a bed,0.271
84,a sliced brinjal,a sliced eggplant,0.3047
85,a brinjal on a table,an eggplant on a table,0.3424
86,brinjal in a basket,eggplant in a basket,0.3372
87,a painting of a brinjal,a painting of a eggplant,0.3816
88,a moldy brinjal,a moldy eggplant,0.3124
89,a dish with brinjal,a dish with eggplant,0.2975
90,a table of khana,a table of food,0.2901
91,a basket with khana,a basket with food,0.2781
92,healthy khana,healthy food,0.2361
93,khana in a cabinet,food in a cabinet,0.2873
94,a person with some khana,a person with some food,0.2693
95,a family enjoying khana,a family enjoying food,0.2999
96,a bustling nagar,a bustling town,0.254
97,an abandoned nagar,an abandoned town,0.24
98,view of a nagar,view of a town,0.2596
99,a beautiful nagar,a beautiful town,0.221
100,a painting of a nagar,a painting of a town,0.2963
101,a lively nagar,a lively town,0.2341
102,a dying oont,a dying camel,0.2221
