Prompt_Index,SAE_Prompt,Normalized_Score
0,a crowded monastery,0.2753
1,a painting of some champagne,0.8832
2,an old midwife,0.5353
3,a midwife with a woman,0.4187
4,a painting of a midwife,0.8349
5,a young midwife,0.4612
6,a midwife sitting down,0.599
7,a photograph of a midwife with a cat,0.4858
8,a medical practitioner at a table,0.2524
9,an old medical practitioner,0.3982
10,a medical practitioner at a park,0.3989
11,a medical practitioner with a woman,0.229
12,a medical practitioner with a notepad,0.3193
13,a painting of a medical practitioner,0.5958
14,a barber in red,0.5616
15,an old barber,0.3627
16,a barber by the chair,0.9157
17,a barber working,0.8028
18,a person walking into a police station,0.163
19,a father in front of a house,0.5432
20,a girl standing with her father,0.165
21,a crying father,0.527
22,a father on a bed,0.5181
23,an old father with a dog,0.4246
24,an old father in the kitchen,0.6338
25,a beautiful queen,0.6189
26,a queen in a garden,0.577
27,a painting of an old queen,0.7814
28,a queen covered in snow,0.6763
29,a queen in a large hall,0.2832
30,an old queen on a bed,0.6182
31,a painting of a eggplant,0.4007
32,a person with some food,0.6385
33,a family enjoying food,0.7244
34,a bustling town,0.3002
35,a lively town,0.6023
36,a painting of incense,0.7793
37,a busy warehouse,0.4707
38,a very busy gas station,0.5617
39,a man with a blue motorcycle,0.6283
40,a black motorcycle,0.1516
41,an old craftsman,0.6697
42,a group of craftsmen,0.5402
43,a craftsman in a house,0.7856
44,a dirty craftsman,0.7933
45,a craftsman in orange,0.8175
46,a craftsman in a big city,0.816
47,an angry supervisor,0.4325
48,an old supervisor,0.6587
49,a supervisor in a room,0.7346
50,a painting of a supervisor,0.7956
51,a supervisor in the office,0.6622
52,a supervisor with a group of people,0.5492
53,a child with water,0.5682
54,a man next to a checkpoint,0.1845
55,a lively luncheon,0.8815
56,a luncheon in the building,0.4806
57,an indoor luncheon,0.6273
58,a luncheon in the city,0.8052
59,a luncheon at school,0.5086
60,the inside of a gambling den,0.266
61,a gambling room,0.284
62,a place of gambling,0.3188
63,a bustling gambling den,0.1877
64,a luxurious gambling den,0.357
65,a group of people gambling,0.2315
66,a mechanic inspecting a spare tire,0.731
67,a group photo of my classmates,0.3546
68,my classmate smiling,0.3614
69,two classmates studying,0.7315
70,a classmate at a desk,0.4984
71,classmates outside the school,0.2348
72,a classmate playing basketball,0.631
