Dialect_Word,SAE_Word,Dialect_Prompt,SAE_Prompt,person_in_prompt,dialect_word_count,polysemic,Polysemy_Prompt,Original_Dialect_Prompt,Original_SAE_Prompt
torque,truck,a large black truck driving on a neighborhood street,a large black truck driving on a neighborhood street,0,1,1,a mechanic measuring the torque applied to a lug nut,a large black torque driving on a neighborhood street,a large black truck driving on a neighborhood street
torque,truck,a woman driving a green tractor on a farm,a woman driving a green truck on a farm,1,1,1,a woman adjusting the torque setting on a power drill,a woman driving a green torque on a farm,a woman driving a green truck on a farm
torque,truck,a truck with a dog in the back,a truck with a dog in the back,0,1,1,a diagram illustrating torque forces acting on a rotating wheel,a torque with a dog in the back,a truck with a dog in the back
torque,truck,a man driving a truck on the highway,a man driving a truck on the highway,1,1,1,a man using a torque wrench to tighten bolts under a car,a man driving a torque on the highway,a man driving a truck on the highway
torque,truck,two kids sitting on the back of a truck,two kids sitting on the back of a truck,1,1,1,an instructional video explaining torque in physics class,two kids sitting on the back of a torque,two kids sitting on the back of a truck
torque,truck,a truck parked on a driveway,a truck parked on a driveway,0,1,1,a torque gauge lying on a workbench next to mechanical parts,a torque parked on a driveway,a truck parked on a driveway
raspa,shaved ice,a street vendor selling shaved ice,a street vendor selling shaved ice,1,1,0,,a street vendor selling raspa,a street vendor selling shaved ice
raspa,shaved ice,a man enjoying a snow cone on a hot day,a man enjoying shaved ice on a hot day,1,1,0,,a man enjoying raspa on a hot day,a man enjoying shaved ice on a hot day
raspa,shaved ice,a cup of shaved ice near a tree,a cup of shaved ice near a tree,0,1,0,,a cup of raspa near a tree,a cup of shaved ice near a tree
raspa,shaved ice,a colorful cup of shaved ice next to a spoon,a colorful cup of shaved ice next to a spoon,0,1,0,,a colorful cup of raspa next to a spoon,a colorful cup of shaved ice next to a spoon
raspa,shaved ice,a girl enjoying a bowl of shaved ice in the park,a girl enjoying a bowl of shaved ice in the park,1,1,0,,a girl enjoying a bowl of raspa in the park,a girl enjoying a bowl of shaved ice in the park
raspa,shaved ice,Two people sharing a cup of shaved ice on the table,two people sharing a cup of shaved ice on the table,1,1,0,,two people sharing a cup of raspa on the table,two people sharing a cup of shaved ice on the table
clicka,friend group,a street mural of a group of friends hanging out together,a street mural of a friend group hanging out together,0,1,0,,a street mural of a clicka hanging out together,a street mural of a friend group hanging out together
clicka,friend group,a group of teens in a clique walking through the neighborhood,a group of teens in a friend group walking through the neighborhood,1,1,0,,a group of teens in a clicka walking through the neighborhood,a group of teens in a friend group walking through the neighborhood
clicka,friend group,A group gathered around a bench talking,a friend group gathered around a bench talking,1,1,0,,a clicka gathered around a bench talking,a friend group gathered around a bench talking
clicka,friend group,A girl is laughing loudly by a taco stand.,a friend group laughing loudly by a taco stand,1,1,0,,a clicka laughing loudly by a taco stand,a friend group laughing loudly by a taco stand
clicka,friend group,a girl posing for a picture in front of a mural,a friend group posing for a picture in front of a mural,1,1,0,,a clicka posing for a picture in front of a mural,a friend group posing for a picture in front of a mural
clicka,friend group,a group skateboarding down the street together,a friend group skateboarding down the street together,1,1,0,,a clicka skateboarding down the street together,a friend group skateboarding down the street together
padrino,godfather,a godfather cutting a birthday cake,a godfather cutting a birthday cake,1,1,0,,a padrino cutting a birthday cake,a godfather cutting a birthday cake
padrino,godfather,a godfather officiating a wedding ceremony,a godfather officiating a wedding ceremony,1,1,0,,a padrino officiating a wedding ceremony,a godfather officiating a wedding ceremony
padrino,godfather,a godfather playing chess with his godson,a godfather playing chess with his godson,1,1,0,,a padrino playing chess with his godson,a godfather playing chess with his godson
padrino,godfather,a godfather cheering at a baseball game,a godfather cheering at a baseball game,1,1,0,,a padrino cheering at a baseball game,a godfather cheering at a baseball game
padrino,godfather,a godfather enjoying a cigar in a lounge,a godfather enjoying a cigar in a lounge,1,1,0,,a padrino enjoying a cigar in a lounge,a godfather enjoying a cigar in a lounge
padrino,godfather,a godfather giving a necklace at a baptism,a godfather gifting a necklace at a baptism,1,1,0,,a padrino gifting a necklace at a baptism,a godfather gifting a necklace at a baptism
fil,field,a person hiking through a field,a person hiking through a field,1,1,0,,a person hiking through a fil,a person hiking through a field
fil,field,a park with a big field,a park with a big field,0,1,0,,a park with a big fil,a park with a big field
fil,field,a person running through a field,a person running through a field,1,1,0,,a person running through a fil,a person running through a field
fil,field,a brown dog running in the field,a brown dog running in the field,0,1,0,,a brown dog running in the fil,a brown dog running in the field
fil,field,Two kids playing around in the field.,two kids playing around in the field,1,1,0,,two kids playing around in the fil,two kids playing around in the field
fil,field,a wide and open field next to the lake,a wide and open field next to the lake,0,1,0,,a wide and open fil next to the lake,a wide and open field next to the lake
pinta,jail,Two men sitting in a prison cell,two men sitting in a jail cell,1,1,0,,two men sitting in a pinta cell,two men sitting in a jail cell
pinta,jail,a prison guard standing in front of a wall,a jail guard standing in front of a wall,1,1,0,,a pinta guard standing in front of a wall,a jail guard standing in front of a wall
pinta,jail,a tall prison building surrounded by barbed wire,a tall jail building surrounded by barbed wire,0,1,0,,a tall pinta building surrounded by barbed wire,a tall jail building surrounded by barbed wire
pinta,prison,a small pen with high fences,a small prison with high fences,1,1,0,,a small pinta with high fences,a small prison with high fences
pinta,prison,a man about to go to prison,a man about to go to prison,1,1,0,,a man about to go to pinta,a man about to go to prison
pinta,prison,inside a prison cell with barred windows,inside a prison with barred windows,0,1,0,,inside a pinta with barred windows,inside a prison with barred windows
jaina,girlfriend,a person and their partner walking down a street,a person and their girlfriend walking down a street,1,1,0,,a person and their jaina walking down a street,a person and their girlfriend walking down a street
jaina,girlfriend,a man and his girlfriend laughing,a man and his girlfriend laughing,1,1,0,,a man and his jaina laughing,a man and his girlfriend laughing
jaina,girlfriend,a person and their partner dressed in similar looking clothes,a person and their girlfriend dressed in similar looking clothes,1,1,0,,a person and their jaina dressed in similar looking clothes,a person and their girlfriend dressed in similar looking clothes
jaina,girlfriend,My cousin and I are driving in a blue car.,my girlfriend and I driving in a blue car,1,1,0,,my jaina and I driving in a blue car,my girlfriend and I driving in a blue car
