Prompt_Index,SAE_Prompt,Score
0,a painting of milk tea,0.3348
1,a photo of milk tea,0.5296
2,selling milk tea,0.906
3,a large milk tea,0.8122
4,a small milk tea,0.7352
5,milk tea on a counter,0.8837
6,coffee on a table,0.975
7,coffee on a counter,0.9657
8,a painting of coffee,0.9773
9,two people getting coffee,0.964
10,a man buying coffee,0.6228
11,a woman with coffee,0.9818
12,a painting of a red packet,0.845
13,two red packets on a table,0.9069
14,a red packet on a counter,0.8982
15,a person holding a red packet,0.9018
16,a red packet on the ground,0.9573
17,a child holding a red packet,0.9515
18,a painting of squid,0.9412
19,squid on a table,0.8896
20,a squid in a market,0.3752
21,a squid in an aquarium,0.9308
22,a squid on a counter,0.8651
23,squid in a box,0.9391
24,a person getting takeout,0.9312
25,takeout on a table,0.9624
26,takeout from the food truck,0.8621
27,let's get some food takeout,0.822
28,chinese food takeout,0.8291
29,a couple getting food takeout,0.9594
30,a businessman with a grasping and selfish attitude,0.7278
31,a leader with a grasping and selfish attitude,0.6888
32,a student with a grasping and selfish attitude,0.2526
33,a parent with a grasping and selfish attitude,0.2113
34,a businesswoman with a grasping and selfish attitude,0.5295
35,a politician with a grasping and selfish attitude,0.7965
36,a bored cat,0.7939
37,a bored woman,0.9271
38,a bored worker,0.9166
39,a child bored,0.9031
40,a bored dog,0.8844
41,a bored man,0.9255
42,a relaxing dog,0.9668
43,people relaxing on a beach,0.9842
44,people relaxing on a coach,0.7895
45,a couple relaxing in a park,0.9877
46,a cat relaxing,0.9743
47,a relaxing setting,0.9902
48,a person gesturing yes,0.7957
49,a person answering yes,0.6261
50,a worker gesturing yes,0.7861
51,a student gesturing yes,0.8285
52,a woman gesturing yes,0.788
53,a man gesturing yes,0.8633
54,a student saving a table,0.6463
55,a man saving a table,0.709
56,a woman saving a table,0.5684
57,a group saving a table,0.6768
58,saving a table at a cafe,0.4725
59,saving a table with a napkin,0.7948
60,a counter with tasty things,0.9772
61,a painting of something that is very tasty,0.9648
62,a table with very tasty stuff,0.9791
63,a photo of something that is tasty,0.9825
64,something tasty,0.9828
65,a person enjoying something that is tasty,0.9838
66,a high class clothing store,0.9599
67,a high class party,0.9566
68,a painting of something that is high class,0.8833
69,a high class restaurant,0.9827
