Prompt_Index,SAE_Prompt,Normalized_Score
0,a man drinking milk tea,0.5017
1,a woman drinking milk tea,0.2307
2,a couple sitting at a table both with coffee,0.5498
3,a man getting coffee from a modern cafe,0.5443
4,two people getting coffee from a stall,0.7499
5,a man buying coffee at a busy counter,0.5842
6,a woman with coffee standing by a bus stop,0.1967
7,a child receiving a red packet from his grandmother,0.7243
8,a group of people holding red packets,0.5749
9,let's get some food takeout,0.7827
10,a couple getting food takeout from a hawker stall,0.3544
11,a businessman with a grasping and selfish attitude grabbing all the samples,0.4914
12,a leader with a grasping and selfish attitude cutting in line for a photo,0.8173
13,a student with a grasping and selfish attitude hoarding all the notes,0.5298
14,a parent with a grasping and selfish attitude rushing to the front row,0.818
15,a businesswoman with a grasping and selfish attitude buying out limited deals,0.617
16,a politician with a grasping and selfish attitude speaking over everyone else,0.1691
17,a bored woman walking on the city street,0.3865
18,a bored worker in an office,0.5096
19,a child bored in the summer,0.7157
20,a bored man on vacation,0.362
21,people relaxing on a beach with music playing,0.2716
22,a couple relaxing in a park under a tree,0.4935
23,people relaxing on a sofa,0.3868
24,a student in a class nodding yes,0.5457
25,a worker nodding yes to his supervisor,0.5785
26,a customer at a restaurant nodding yes,0.909
27,a person nodding yes in agreement,0.5029
28,a woman nodding yes,0.3121
29,a man nodding yes,0.5994
30,a student saving a table at the dining hall,0.7622
31,a person saving a table at the library,0.6659
32,a person saving a table using a bag,0.4446
33,a group saving a table at the food hall,0.7244
34,saving a table at a cafe using a tissue packet,0.7821
35,saving a table with a napkin placed on a chair,0.5249
36,a person enjoying very tasty food,0.85
37,a high class party with well dressed people,0.5926
38,a woman with a high class car,0.4187
39,a couple hiking on a secluded trail,0.4051
40,a woman eating a bowl of noodles,0.5068
41,a woman eating sushi in a modern restaurant,0.4897
42,a woman eating a slice of cake in a cafe,0.8474
43,a man eating a taco under a streetlight,0.8098
44,a man eating a burrito by the riverside,0.875
45,a man eating an apple,0.6027
46,a family redecorate their living room for the holidays,0.5841
47,a worker redecorate her office space with colorful posters,0.719
48,a couple redecorate their garage with neon lights,0.696
49,a woman redecorate her room using fairy lights,0.7058
50,a man redecorate his desk with anime figurines,0.2357
51,a couple redecorate their living room,0.5799
52,a group of girls at the mall,0.0135
53,a girl hiking in the desert,0.4228
54,a girl posing in front of a mural,0.7198
55,a girl buying a computer at the electronics store,0.3343
56,a girl with a white shirt,0.0258
57,a girl and her partner,0.4323
58,a person taking a selfie with a mobile phone,0.759
59,a man using a mobile phone,0.5875
60,people on the subway using their mobile phones,0.5543
61,a woman taking a photo with a mobile phone,0.4111
62,a loan shark counting cash,0.6242
63,a loan shark carrying a knife in an alley,0.1634
64,a loan shark holding a bag of cash,0.6013
65,a loan shark standing by a black car,0.602
66,a loan shark threatening someone,0.643
67,a loan shark spray painting a message,0.7958
68,a man eating food at a small food court,0.7812
69,a woman drinking tea at a small food court,0.1099
70,a couple at a small food court,0.7241
71,a group of friends at a small food court,0.6328
72,a handsome male on a magazine cover,0.5266
73,a handsome male performing on stage at a concert,0.5296
74,a handsome male at a gym lifting weights,0.4424
75,a handsome male posing in a streetwear outfit,0.5392
76,a handsome male with his partner,0.6384
77,a group of handsome males,0.1625
78,a man studying at the coffee shop,0.4468
79,a woman studying at home,0.425
80,a child studying a book,0.8571
81,a group of students studying,0.5987
82,a student studying in his room at night,0.5773
83,a couple friends studying in the library,0.6646
84,a man being a third wheel on a hike with a couple,0.7298
85,a woman being a third wheel at a museum with a couple,0.2648
86,a third wheel with a gray shirt with a couple,0.8435
87,a couple accompanied by a third wheel,0.675
88,he was a third wheel on his friend's date,0.9086
89,a third wheel trailing behind a couple,0.5549
90,a man with a cup of milk tea,0.6134
91,a traditional Chinese physician and a male patient,0.257
92,a traditional Chinese physician and a female patient,0.1976
93,a traditional Chinese physician holding medicine,0.3749
94,a traditional Chinese physician in an office,0.302
95,a traditional Chinese physician talking with two people,0.2417
96,a traditional Chinese physician sitting at their desk,0.3885
97,a couple at a food court sharing laksa,0.3463
98,a family eating at a food court,0.7553
99,a person guilty of litter thrown from a high-rise building,0.3362
100,a person on the sidewalk avoiding litter thrown from a high-rise building,0.4938
101,a couple walking nearly hit by litter thrown from a high-rise building,0.3995
102,a man using a hoe in a vegetable garden,0.3431
103,a farmer using a hoe in a field,0.2628
104,a person digging in their front yard with a hoe,0.7059
105,a family enjoying spicy stir-fried crab in a fancy restaurant,0.4192
106,a waiter holding a spicy stir-fried crab dish,0.6175
107,a chef making spicy stir-fried crab in a large wok,0.5111
108,a child with his uncle,0.0414
109,an uncle wearing a dark blue shirt,0.013
110,a group of uncles talking,0.4282
111,an uncle buying fruit from the supermarket,0.6344
112,an uncle drinking coffee at the dining table,0.4884
113,an uncle reading a newspaper while on the couch,0.5715
114,a waiter holding a plate of Fujianese fresh spring rolls,0.7966
115,a person eating a Fujianese fresh spring roll at a street stall,0.5347
116,a person eating Indian flatbread with their hands,0.3606
117,a person eating Chinese pork jerky at a festival,0.3473
118,a person buying Chinese pork jerky from a shop,0.485
119,two people both eating Chinese pork jerky,0.3476
120,two buddies chatting casually outside a cafe,0.4887
121,buddies laughing while walking along the street,0.484
122,buddies sharing a meal at the hawker centre,0.391
123,a group of buddies playing basketball outdoors,0.7747
124,buddies taking selfies at a famous landmark,0.6513
125,two buddies relaxing together at the beach,0.2776
