Prompt_Index,Dialect_Prompt,SAE_Prompt,Score
0,a plastic cup with teh tarik,a plastic cup with milk tea,0.5794
1,a cup of teh tarik on a table,a cup of milk tea on a table,0.8284
2,a shop selling teh tarik,a shop selling milk tea,0.7519
3,a man drinking teh tarik,a man drinking milk tea,0.7643
4,a woman drinking teh tarik,a woman drinking milk tea,0.8311
5,three cups of teh tarik on the counter,three cups of milk tea on the counter,0.7615
6,a couple sitting at a table both with kopi,a couple sitting at a table both with coffee,0.8084
7,a man getting kopi from a modern cafe,a man getting coffee from a modern cafe,0.6722
8,a table with a cup of kopi and a slice of cake,a table with a cup of coffee and a slice of cake,0.7716
9,two people getting kopi from a stall,two people getting coffee from a stall,0.6721
10,a man buying kopi at a busy counter,a man buying coffee at a busy counter,0.6467
11,a woman with kopi standing by a bus stop,a woman with coffee standing by a bus stop,0.6462
12,a child receiving an ang pow from his grandmother,a child receiving a red packet from his grandmother,0.2872
13,two ang pows on a table with gold designs,two red packets on a table with gold designs,0.3096
14,an ang pow and food on a table,a red packet and food on a table,0.4388
15,a group of people holding ang pows,a group of people holding red packets,0.1499
16,a store selling ang pows,a store selling red packets,0.3901
17,an ang pow and some fruit on a table,a red packet and some fruit on a table,0.2345
18,spicy sotong dish,spicy squid dish,0.8137
19,raw sotong at a market,raw squid at a market,0.9242
20,deep fried sotong on a plate,deep fried squid on a plate,0.7717
21,a large sotong in an aquarium with coral,a large squid in an aquarium with coral,0.8789
22,a sotong dish and rice on a table,a squid dish and rice on a table,0.827
23,sliced sotong in a frying pan,sliced squid in a frying pan,0.8186
24,getting food tapao from the small restaurant,getting food takeout from the small restaurant,0.6276
25,getting food tapao from the diner,getting food takeout from the diner,0.4985
26,getting food tapao from the food truck,getting food takeout from the food truck,0.6469
27,letâs get some food tapao,let's get some food takeout,0.6455
28,chinese food tapao packed in plastic containers,chinese food takeout packed in plastic containers,0.9097
29,a couple getting food tapao from a hawker stall,a couple getting food takeout from a hawker stall,0.6822
30,a kiasu businessman grabbing all the samples,a businessman with a grasping and selfish attitude grabbing all the samples,0.6185
31,a kiasu leader cutting in line for a photo,a leader with a grasping and selfish attitude cutting in line for a photo,0.4907
32,a kiasu student hoarding all the notes,a student with a grasping and selfish attitude hoarding all the notes,0.4778
33,a kiasu parent rushing to the front row,a parent with a grasping and selfish attitude rushing to the front row,0.303
34,a kiasu businesswoman buying out limited deals,a businesswoman with a grasping and selfish attitude buying out limited deals,0.6215
35,a kiasu politician speaking over everyone else,a politician with a grasping and selfish attitude speaking over everyone else,0.7354
36,a sian cat in a house,a bored cat in a house,0.8284
37,a sian woman walking on the city street,a bored woman walking on the city street,0.6699
38,a sian worker in an office,a bored worker in an office,0.8174
39,a child sian in the summer,a child bored in the summer,0.6136
40,a sian dog in the front yard,a bored dog in the front yard,0.6901
41,a sian man on vacation,a bored man on vacation,0.6364
42,a dog lepak on a grassy lawn in front of a house,a dog relaxing on a grassy lawn in front of a house,0.6784
43,people lepak on a beach with music playing,people relaxing on a beach with music playing,0.695
44,a couple lepak in a park under a tree,a couple relaxing in a park under a tree,0.8444
45,people lepak on a sofa,people relaxing on a sofa,0.8254
46,a cat lepak by a window,a cat relaxing by a window,0.8988
47,a lepak vacation setting,a relaxing vacation setting,0.9613
48,a student in a class nodding can,a student in a class nodding yes,0.4391
49,a worker nodding can to his supervisor,a worker nodding yes to his supervisor,0.4019
50,a customer at a restaurant nodding can,a customer at a restaurant nodding yes,0.4365
51,a person nodding can in agreement,a person nodding yes in agreement,0.4681
52,a woman nodding can,a woman nodding yes,0.3818
53,a man nodding can,a man nodding yes,0.3448
54,a student chope at the dining hall,a student saving a table at the dining hall,0.4461
55,a person chope at the library,a person saving a table at the library,0.3613
56,a person chope using a bag,a person saving a table using a bag,0.3302
57,a group chope at the food hall,a group saving a table at the food hall,0.4765
58,chope at a cafe using a tissue packet,saving a table at a cafe using a tissue packet,0.5517
59,chope with a napkin placed on a chair,saving a table with a napkin placed on a chair,0.5714
60,shiok dumplings,very tasty dumplings,0.8263
61,a person enjoying shiok food,a person enjoying very tasty food,0.7606
62,a table full of shiok Mexican food,a table full of very tasty Mexican food,0.9371
63,shiok food,very tasty food,0.8728
64,shiok Italian food,very tasty Italian food,0.7851
65,a table full of shiok main dishes,a table full of tasty main dishes,0.8629
66,an atas clothing boutique,a high class clothing boutique,0.8318
67,an atas party with well dressed people,a high class party with well dressed people,0.5164
68,an atas red sports car,a high class red sports car,0.9158
69,a woman with an atas car,a woman with a high class car,0.4024
70,an atas house with marble floors and chandeliers,a high class house with marble floors and chandeliers,0.7819
71,an atas restaurant with velvet chairs and dim lighting,a high class restaurant with velvet chairs and dim lighting,0.8839
72,an ulu tropical beach,a secluded tropical beach,0.9327
73,camping in an ulu meadow in the mountains,camping in a secluded meadow in the mountains,0.9493
74,a couple hiking on an ulu trail,a couple hiking on a secluded trail,0.8566
75,a house in an ulu area by a forest,a house in a secluded area by a forest,0.9633
76,an rv in an ulu town,an rv in a secluded town,0.7732
77,an ulu locale surrounded by dense forest,an secluded locale surrounded by dense forest,0.913
78,a woman makan a bowl of noodles,a woman eating a bowl of noodles,0.8428
79,a woman makan sushi in a modern restaurant,a woman eating sushi in a modern restaurant,0.7602
80,a woman makan a slice of cake in a cafe,a woman eating a slice of cake in a cafe,0.7413
81,a man makan a taco under a streetlight,a man eating a taco under a streetlight,0.5538
82,a man makan a burrito by the riverside,a man eating a burrito by the riverside,0.6826
83,a man makan an apple,a man eating an apple,0.7974
84,a family zhng their living room for the holidays,a family redecorate their living room for the holidays,0.4542
85,a worker zhng her office space with colorful posters,a worker redecorate her office space with colorful posters,0.5782
86,a couple zhng their garage with neon lights,a couple redecorate their garage with neon lights,0.4259
87,a woman zhng her room using fairy lights,a woman redecorate her room using fairy lights,0.7495
88,a man zhng his desk with anime figurines,a man redecorate his desk with anime figurines,0.6789
89,a couple zhng their living room,a couple redecorate their living room,0.2274
90,a group of gers at the mall,a group of girls at the mall,0.1726
91,a ger hiking in the desert,a girl hiking in the desert,0.3618
92,a ger posing in front of a mural,a girl posing in front of a mural,0.6054
93,a ger buying a computer at the electronics store,a girl buying a computer at the electronics store,0.2598
94,a ger with a white shirt,a girl with a white shirt,0.2205
95,a ger and her partner,a girl and her partner,0.7179
96,a handphone on a black table,a mobile phone on a black table,0.9273
97,a person taking a selfie with a handphone,a person taking a selfie with a mobile phone,0.8771
98,a handphone next to a laptop on a table,a mobile phone next to a laptop on a table,0.8062
99,a man using a handphone,a man using a mobile phone,0.8544
100,people on the subway using their handphones,people on the subway using their mobile phones,0.7441
101,a woman taking a photo with a handphone,a woman taking a photo with a mobile phone,0.8276
102,an ah long counting cash,a loan shark counting cash,0.3706
103,an ah long carrying a knife in an alley,a loan shark carrying a knife in an alley,0.4274
104,an ah long holding a bag of cash,a loan shark holding a bag of cash,0.6003
105,an ah long standing by a black car,a loan shark standing by a black car,0.0909
106,an ah long threatening someone,a loan shark threatening someone,0.3192
107,an ah long spray painting a message,a loan shark spray painting a message,0.1925
108,a man eating food at a kopi tiam,a man eating food at a small food court,0.393
109,a woman drinking tea at a kopi tiam,a woman drinking tea at a small food court,0.3393
110,a bowl of noodles on a table in a kopi tiam,a bowl of noodles on a table in a small food court,0.4297
111,kopi tiam,a small food court,0.1397
112,a couple at a kopi tiam,a couple at a small food court,0.3833
113,a group of friends at a kopi tiam,a group of friends at a small food court,0.3859
114,a yandao on a magazine cover,a handsome male on a magazine cover,0.2433
115,a yandao performing on stage at a concert,a handsome male performing on stage at a concert,0.7629
116,a yandao at a gym lifting weights,a handsome male at a gym lifting weights,0.7322
117,a yandao posing in a streetwear outfit,a handsome male posing in a streetwear outfit,0.6196
118,a yandao with his partner,a handsome male with his partner,0.5435
119,a group of yandaos,a group of handsome males,0.3062
120,a man mug at the coffee shop,a man studying at the coffee shop,0.4973
121,a woman mug at home,a woman studying at home,0.5344
122,a child mug a book,a child studying a book,0.8299
123,a group of students mug,a group of students studying,0.1665
124,a student mug in his room at night,a student studying in his room at night,0.6062
125,a couple of friends mug in the library,a couple friends studying in the library,0.3899
126,a man being a lightbulb on a hike with a couple,a man being a third wheel on a hike with a couple,0.3678
127,a woman being a lightbulb at a museum with a couple,a woman being a third wheel at a museum with a couple,0.1984
128,a lightbulb with a gray shirt with a couple,a third wheel with a gray shirt with a couple,0.2697
129,a couple accompanied by a lightbulb,a couple accompanied by a third wheel,0.1658
130,he was a lightbulb on his friend's date,he was a third wheel on his friend's date,0.2265
131,a lightbulb trailing behind a couple,a third wheel trailing behind a couple,0.2368
132,a glass filled with black teh,a glass filled with black tea,0.8572
133,a man with a cup of milk teh,a man with a cup of milk tea,0.739
134,a teh pot on a table,a tea pot on a table,0.5816
135,a cozy teh shop in a busy city street,a cozy tea shop in a busy city street,0.7572
136,a teh bag on a plate,a tea bag on a plate,0.3141
137,a cup filled with green teh,a cup filled with green tea,0.9578
138,a plate of char kway teow with prawns and egg,a plate of stir-fried rice noodles with prawns and egg,0.8612
139,a bowl of char kway teow with fishcake slices,a bowl of stir-fried rice noodles with fishcake slices,0.6804
140,two plates of char kway teow on a wooden table,two plates of stir-fried rice noodles on a wooden table,0.8699
141,char kway teow in a wok on a stove,stir-fried rice noodles in a wok on a stove,0.7971
142,char kway teow served at a restaurant,stir-fried rice noodles served at a restaurant,0.8418
143,char kway teow with vegetables on the side,stir-fried rice noodles with vegetables on the side,0.6557
144,a sinseh and a male patient,a traditional Chinese physician and a male patient,0.4215
145,a sinseh and a female patient,a traditional Chinese physician and a female patient,0.3093
146,a sinseh holding medicine,a traditional Chinese physician holding medicine,0.2979
147,a sinseh in an office,a traditional Chinese physician in an office,0.1961
148,a sinseh talking with two people,a traditional Chinese physician talking with two people,0.2715
149,a sinseh sitting at their desk,a traditional Chinese physician sitting at their desk,0.302
150,a large hawker centre with colorful stalls and signs,a large food court with colorful stalls and signs,0.8782
151,a couple at a hawker centre sharing laksa,a couple at a food court sharing laksa,0.4766
152,a family eating at a hawker centre,a family eating at a food court,0.8416
153,a food stall at a hawker centre,a food stall at a food court,0.9174
154,a table with a cup of coffee at a hawker centre,a table with a cup of coffee at a food court,0.4146
155,a plate of noodles at a hawker centre,a plate of noodles at a food court,0.502
156,killer litter from a balcony,litter thrown from a high-rise building from a balcony,0.3426
157,killer litter from an open window,litter thrown from a high-rise building from an open window,0.1813
158,a sign advising against killer litter,a sign advising against litter thrown from a high-rise building,0.4296
159,a person guilty of killer litter,a person guilty of litter thrown from a high-rise building,0.0819
160,a person on the sidewalk avoiding killer litter,a person on the sidewalk avoiding litter thrown from a high-rise building,0.5489
161,a couple walking nearly hit by killer litter,a couple walking nearly hit by litter thrown from a high-rise building,0.1775
162,a man using a changkol in a vegetable garden,a man using a hoe in a vegetable garden,0.4735
163,a changkol on a shelf in a store,a hoe on a shelf in a store,0.154
164,a farmer using a changkol in a field,a farmer using a hoe in a field,0.6929
165,a person digging in their front yard with a changkol,a person digging in their front yard with a hoe,0.5881
166,a farmer carrying a changkol,a farmer carrying a hoe,0.4299
167,three changkols leaning on a wall in a shed,three hoes leaning on a wall in a shed,0.3785
168,a large chilli crab on a banquet table,a large spicy stir-fried crab on a banquet table,0.5861
169,a family enjoying chilli crab in a fancy restaurant,a family enjoying spicy stir-fried crab in a fancy restaurant,0.2511
170,two plates of chilli crab on a white table,two plates of spicy stir-fried crab on a white table,0.7379
171,a large chilli crab and a bowl of rice on a table,a large spicy stir-fried crab and a bowl of rice on a table,0.7519
172,a waiter holding a chilli crab dish,a waiter holding a spicy stir-fried crab dish,0.8232
173,a chef making chilli crab in a large wok,a chef making spicy stir-fried crab in a large wok,0.758
174,a child with his mamak,a child with his uncle,0.2073
175,a mamak wearing a dark blue shirt,an uncle wearing a dark blue shirt,0.6592
176,a group of mamaks talking,a group of uncles talking,0.5091
177,a mamak buying fruit from the supermarket,an uncle buying fruit from the supermarket,0.4593
178,a mamak drinking coffee at the dining table,an uncle drinking coffee at the dining table,0.2314
179,a mamak reading a newspaper while on the couch,an uncle reading a newspaper while on the couch,0.6648
180,a plate of popiah with chili and sauce,a plate of Fujianese fresh spring roll with chili and sauce,0.6452
181,a waiter holding a plate of popiah,a waiter holding a plate of Fujianese fresh spring rolls,0.437
182,a person eating a popiah at a street stall,a person eating a Fujianese fresh spring roll at a street stall,0.2419
183,a bowl of noodles and a plate of popiah on a table,a bowl of noodles and a plate of Fujianese fresh spring rolls on a table,0.5671
184,a plate of popiah with a dipping sauce on the side,a plate of Fujianese fresh spring rolls with a dipping sauce on the side,0.4714
185,a food stall with popiah,a food stall with Fujianese fresh spring rolls,0.4653
186,a plate of roti prata with curry on the side,a plate of Indian flatbread with curry on the side,0.948
187,a person eating roti prata with their hands,a person eating Indian flatbread with their hands,0.6871
188,roti prata with curry,Indian flatbread with curry,0.9119
189,a table with roti prata and vegetables,a table with Indian flatbread and vegetables,0.6718
190,a piece of roti prata dipped in curry,a piece of Indian flatbread dipped in curry,0.8696
191,roti prata and tea on a table,Indian flatbread and tea on a table,0.8388
192,a person eating bak kwa at a festival,a person eating Chinese pork jerky at a festival,0.5149
193,bak kwa in a bag with red wrapping,Chinese pork jerky in a bag with red wrapping,0.6426
194,a person buying bak kwa from a shop,a person buying Chinese pork jerky from a shop,0.7787
195,a plate with bak kwa on it,a plate with Chinese pork jerky,0.7901
196,two people both eating bak kwa,two people both eating Chinese pork jerky,0.2405
197,a box of bak kwa in a shopping basket,a box of Chinese pork jerky in a shopping basket,0.5877
198,two kaki chatting casually outside a cafe,two buddies chatting casually outside a cafe,0.6066
199,kaki laughing while walking along the street,buddies laughing while walking along the street,0.351
200,kaki sharing a meal at the hawker centre,buddies sharing a meal at the hawker centre,0.5187
201,a group of kaki playing basketball outdoors,a group of buddies playing basketball outdoors,0.7792
202,kaki taking selfies at a famous landmark,buddies taking selfies at a famous landmark,0.5211
203,two kaki relaxing together at the beach,two buddies relaxing together at the beach,0.2135
