Prompt_Index,Dialect_Prompt,SAE_Prompt,Normalized_Score
0,"A middle-aged South Asian man, with short dark hair, is shown. He is wearing a vibrant purple knit jumper, with a relaxed fit. The background is intentionally left vague.",a man wearing a purple sweater,0.0
1,"A South Asian woman with long black hair is sitting comfortably on a vintage armchair. She is blissfully engaged in the act of knitting a brown woolen jumper. The knitting needles click together rhythmically, creating a calming, almost meditative soundtrack. Her fingers are moving swiftly in an intricate dance, accompanied by the gentle rustling of the woolen threads. The half-finished jumper in her lap is flaunting a rich shade of chestnut brown, promising the warmth of a cozy winter. The room illuminates with dimmed golden light, casting a homely ambiance.",a woman knitting a brown sweater,0.0
2,"Error: Error code: 400 - {'error': {'code': 'content_policy_violation', 'message': 'This request has been blocked by our content filters.', 'param': None, 'type': 'invalid_request_error'}}",a girl knocking on the bathroom door,0.9992
3,"An illustration of a diverse, balanced line of people patiently waiting outside a restroom. There's a mix of individuals ranging from Caucasian, Hispanic, Black, Middle-Eastern, South Asian, to East Asian descent. The genders are equally distributed, and the clothing styles vary, emphasizing the wide array of personalities present. The restroom door has a universal symbol indicating it's use, with a lush potted plant placed next to it, and the line extends back fading into the background.",a line of people waiting outside the bathroom,0.0
4,"A middle-aged Hispanic man focused on his task of precisely cutting a large, juicy banger sausage in half. He's standing in a cozy, well-lit kitchen, a wooden cutting board in front of him and a sharp stainless steel knife in his hand. His face holds an expression of concentration as he aims for the perfect cut, demonstrating his skill and precision.",a man cutting a sausage in half,0.998
5,"A Middle-Eastern woman in casual clothing removing household waste from a light brown bag and throwing it in a large green bin marked as recycling. The scene takes place outside her home, near a lush garden with vibrant flowers and a brick pathway leading to the front door. A clear blue sky is above, and sunlight is illuminating the flowers and the woman in a warm light.",a woman throwing away the trash,0.0
6,"A middle-aged South Asian man, with short dark hair and wearing a casual outfit of jeans and a t-shirt, is seen loading luggage into the boot of a red compact car. He is bending over, using both his hands to firmly grasp a large, green suitcase with a glossy exterior. Stray strands of hair fall over his forehead, revealing the beads of sweat visible due to the exertion. Around him, the setting is a sunny day in a residential driveway, with a canopy of leafy trees providing partial shade.",a man loading luggage into the car trunk,0.0
7,"A Hispanic woman in casual attire loading groceries into the trunk of her blue sedan car. Her coat is thrown over her arm, a sign of a productive shopping trip and an almost full car trunk. The parking lot is quiet and the sun is inching towards the horizon, a subtle hint of an evening well spent.",a woman putting groceries in the car trunk,0.0
8,"A South Asian boy, around 8 years old, patiently waiting in the queue at a grocery store. He has unruly black hair, dark eyes filled with curiosity, and is wearing a red plaid shirt with blue jeans. Around him are aisles stocked with a variety of goods: fruits, vegetables, cereals, canned food and more. The atmosphere is bustling yet orderly, with other people of various ages, genders and descents waiting in line as well.",a boy waiting in the line at a grocery store,0.0
9,"Depict a sunny amusement park scene with the main focus on a queue for a popular roller coaster. Show a diverse group of excited thrill-seekers of various ages, genders, and descents. Specifically, include a Black woman, a South Asian man, a Hispanic teenage boy, and a Caucasian little girl, all eagerly waiting their turn. The roller coaster in the background should be large, brightly colored, and filled with sharp twists and turns. Add details such as park visitors in the background, vendor booths selling popcorn and cotton candy, and lush green trees surrounding the park.",a line for the rollercoaster,0.0
10,"A row of people from different walks of life standing in an orderly line at a ticket counter. The first person in line is a youthful Asian woman carrying a large, colourful backpack. Behind her, there's a middle-aged African man scrolling through his phone. The third person is a Caucasian woman chatting with a man from the Middle East. Children of South Asian descent are peeping from behind their parents who are standing in the queue. The ticket counter sits under a large digital board displaying various travel information.",a line at the ticket counter,0.0
11,"A diverse scene of nature's early morning light bathing a city street. At the bus stop, a queue of people are waiting patiently. The line is a refreshing mix of individuals: a South Asian woman in her office attire with a briefcase, a Black man holding a newspaper and a cup of coffee, a Middle-Eastern teenager fervently using his smartphone, a Hispanic elderly man with a walking stick, and a Caucasian woman jogging, stretching her legs while waiting. The bus stop sign stands tall, and the city's orange morning rays create long, artistic shadows.",a line for the morning bus,0.0
12,"An image of a diverse queue at a local post office interior. It's a typical weekday afternoon, with several people lining up, sorting through various envelopes and packages. A middle-aged Caucasian male post worker is assisting a Hispanic woman at the counter, while a young Middle-Eastern woman is filling in a form. A South Asian man is skimming through mail by another counter, and a Black elderly man is waiting his turn patiently. The walls are plastered with signs and notices relevant to postal services, and there's a calm, orderly atmosphere.",a line at the post office,0.0
13,"A South Asian man in his thirties ironing out the wrinkles in his khaki trousers. He is focused on the task, ensuring he meticulously irons out every crease. The ironing board on which he's working is placed in a well-lit room with a bright window in the background. There is also a plant in the corner of the space, creating a sense of serenity.",a man ironing creases in his pants,0.0
14,"Visualize an image of a cheerful Asian girl, around the age of seven, wearing a pair of bright blue trousers. Her long, black hair is tied into two pigtails. She is standing outdoors on a clear, sunny day, with a backdrop of greenery. She's carefree, laughing while she skips along the sidewalk. Her shoes match her trousers, and she has a striped red and white shirt on. The overall atmosphere is vibrant and colorful.",a kid wearing a pair of blue pants,0.0001
15,"A South Asian woman with shoulder-length dark hair and glasses, seated at a round wooden table indoors, cheerfully enjoying her cup of tea held in her left hand. An open biscuit tin is on the table, with a single round biscuit resting on a small side plate in front of her. She's wearing a cozy maroon sweater and appears to be savoring the quiet moment, her eyes closed as she takes a sip of the steaming beverage.",a woman enjoying a cup of tea with a cookie,0.0
16,"An image depicting a diverse cooking scene. A Caucasian man, wearing an apron and equipped with a wooden rolling pin, is engrossed in the process of baking homemade biscuits. His hands are covered in a dusting of flour as he kneads the biscuit dough on the surface of a well-organized kitchen counter. Various baking ingredients like a box of baking soda, a carton of eggs, and a bag of flour are neatly arranged around him. The room is suffused with warm light, creating a cozy and inviting atmosphere. The man appears deeply focused on his task, underscoring the art and craft of homemade baking.",a man baking homemade cookies,1.0
17,"A Middle-Eastern man bravely ventures into the inky darkness, his surroundings hidden in a veil of obscurity. He's equipped with only a single-source of illumination - a torch. Its soft glow illuminates his concentrated face as he pushes on, its gentle light revealing the path that lies ahead. His eyes scan the area, reflecting both the determination and curiosity that fuels his search. Every now and then, the torchlight sweeps over unseen forms, casting long, daunting shadows that add to the mystery of what lies in the dark.",a man searching in the dark with a flashlight,0.0
18,"A Hispanic male police officer is visible in the dark, standing tall in his uniform. His deep-set eyes are sharply focused as he concentrates on his duty. In his gloved hand, he's holding a torch, its bright beam piercing through the night, illuminating a particular area. Opposite him, under the glare of the torchlight, is a sweat-drenched Middle-Eastern female suspect. The anxiety on her face is evident, even from a distance. The scene is intense, unfolding under a moonless night, surrounding landscape just mere silhouettes against the blackened sky.",a policeman shining a flashlight at the suspect,0.0
19,"A South Asian mother with dark, curly hair, wearing a casual pastel blue dress, is in the process of changing her baby's diaper. The infant, of Caucasian descent, with a tuft of light brown hair, is laying on a changing table, playfully kicking its legs. The room has soft, light-green walls and a playful, warm ambiance. There is a stack of fresh diapers and baby powder nearby, perhaps on a wooden shelf.",a mother changing her baby's diaper,0.0
20,"A cheerful Hispanic baby girl wearing pink diapers and giggling joyfully. The baby has dark curly hairs and her sparkling brown eyes are filled with exhilaration and wonder as she explores her surroundings. She is sitting on a clean cream-coloured mat that contrasts beautifully with the pink colour of her diaper. The background includes a softly-lit, child-friendly, and colourful room with safe toys scattered around, depicting a friendly and inviting atmosphere.",a happy baby wearing pink diapers,0.0
21,"A Black male is at a gas station, engaged in the mundane task of fueling his compact car with gasoline. He is dressed casually, intent on his task as he holds the fuel nozzle targeted at the car's fuel cap. The shiny car is of a dark hue, reflecting the bright lights of the station. The backdrop highlights the busy feel of the city night, with roads extending into the distance. The whole image brings forth the sense of a commonplace, yet essential part of modern life.",a man filling up his car with gasoline,0.0
22,"A group of six children, diverse in terms of descent and gender, are engaged in a passionate game of soccer. Two Caucasian girls, a Black boy, a Hispanic boy, a South Asian girl and a Middle Eastern boy are enthusiastically chasing a vibrant, multi-coloured football across a lush green field. The sun is setting in the background, casting an orange hue on the landscape, and their laughter is almost palpable. In the distance, parents and spectators from different descents cheer them on as they engage in healthy competition.",a group of kids kicking a soccer ball,0.0
23,"Consider an image of an American Football player, of Hispanic descent, in the midst of an action-packed game. He is wearing a vividly colored uniform with a number prominently displayed on his chest and back. His helmet displays the logo of his team, and he holds a leather ball securely under his arm. His face is a display of sheer determination. Around him, the grandeur of a stadium filled to the brim with spectators of all descents and genders, their cheers reverberating around the towering architectonic edifice. Floodlights bathe the entire scene in a bright, evening glow.",a soccer player in the stadium,0.0
24,"A Middle Eastern female football player is celebrating a victory on the field. The grass beneath her feet is vividly green, freshly mowed, and the rectangular white boundary lines are clear and well-marked. She's wearing a red and white striped jersey with black shorts. Her face is lit up with pure joy and she's throwing her hands up in the air, releasing an audacious shout of triumph. The bright stadium lights shine down on her, creating a radiant silhouette against the dark, night sky. The packed stands full of spectators have faded into a blurred background, emphasizing her on-field victory.",a soccer player celebrating a win,0.0
25,"An action-packed image of a football goalie standing in the heart of a bustling football field. The goalie, a robust Middle-Eastern woman with a focused look in her eyes, is donned in a bright neon goalie attire. She positions herself strategically in front of the goal post, her gloved hands raised in readiness. Surrounding her is a vibrantly green, well-manicured pitch with white boundary and goal lines. The dynamic hustle and bustle of ongoing play and the stadium with thousands of spectators in the background create a thrilling atmosphere.",a soccer goalie in the field,0.0181
26,"A depiction of an intense moment in a football match. A Caucasian male goalkeeper is mid-leap, his body extended horizontally in the air as he reaches out with gloved hands attempting to catch the football. The ball is a classic black and white design, spinning through the sky. His attire is a vivid green, contrasting with the sky blue backdrop of the scene. Details include the grassy football field beneath, the concentration in the goalkeeper's eyes, and the tension in his muscles as he strives to make the catch.",a goalkeeper trying to catch a soccer ball,1.0
