Dialect_Word,SAE_Word,Dialect_Prompt,SAE_Prompt,person_in_prompt,dialect_word_count,polysemic,Polysemy_Prompt,Original_Dialect_Prompt,Original_SAE_Prompt
lil,little,"A small Caucasian boy with brown hair, wearing a blue t-shirt and red shorts, is seen intensely focused on the bright green yo-yo he's playing with. He's in the middle of a trick, the yo-yo spinning at the end of the string, which is wound around his tiny finger. The backdrop is a sunny day in a suburban park featuring lush greenery and colourful flowers.","A small Black boy engrossed in the act of playing with a yoyo. He has an expression of sheer delight on his face as he skillfully manipulates the yoyo, making it dance to his commands. His clothes are casual, with knee-length shorts and a colorful T-shirt. His hair is tightly curled, and sunlight seems to bounce off it. The yoyo is a vibrant swirl of colors and looks like a spinning top as it moves with speed and precision between his nimble fingers.",1,1,0,,a lil boy playing with a yoyo,a little boy playing with a yoyo
lil,little,"A young Caucasian girl, dressed casually and wearing her hair in pigtails, is deeply engrossed in playtime with a shiny red toy car. She's seated on a plush carpet, with her toys spread around her. Her innocent joy and fascination are clearly visible on her face as she moves the toy car over the imaginary terrains she's created in her mind.","A South Asian little girl with pigtails, wearing a pink dress with white polka dots, is joyfully playing with a red toy car on a wooden floor. The room around her is filled with other colorful toys, suggesting a lively and imaginative play area. The sunlight filters through a nearby window, casting soft shadows and highlighting the excitement in her eyes.",1,1,0,,a lil girl playing with a toy car,a little girl playing with a toy car
lil,little,"A small, adorable feline, possessing a velvety coat of mingled grey and white, stands atop a grand piano. The piano gleams with polished ebony surfaces, complemented by the glossy white and black of the keyboard. The scene is filled with tranquility as the feline balances skillfully on top of the piano, looking around with curious and sparkling green eyes.","A small feline with adorable, round eyes and a fluffy coat of fur comfortably nestled atop a grand piano. The piano is shiny, dark and imposing, complete with delicate carvings and intricate embellishments, creating an elegant juxtaposition with the soft and cuddly image of the cat. Its tail curled up around its body, the cat looks curiously around the room, its position on the piano giving it a high viewpoint over its surroundings.",0,1,0,,a lil cat sitting on top of the piano,a little cat sitting on top of the piano
lil,little,"A small, playful pup, full of energy and excitement, is frolicking in a charming backyard. The green grass shimmers in the afternoon sun, the fence bordering the yard standing tall in the background. An array of colorful flowers are blossoming along the edges, while a couple of well-aged trees provide a refreshing shade. The dog, a lively bundle of fur, dashes back and forth across the lawn, pouncing at falling leaves or a gust of wind, its tail constantly wagging in delight. From time to time, it pauses to sniff around curiously, making the scene even more lively.","A petite dog of indistinct breed joyfully frolicking in a quaint backyard landscape. The surroundings are prosperous with plush green grass being brushed by a light breeze. A few sunlit flowers of various colors are dancing to the rhythm of the wind. A wooden picket fence outlines the perimeter of the yard. The dog, displaying a coat of light beige fur, is in motion, chasing an unseen object with its tail wagging in merriment.",0,1,0,,a lil dog playing in the backyard,a little dog playing in the backyard
lil,little,"Create a charming image of a small, single-story house that stands alone. The building should be mainly painted in a calming shade of blue. It should have a front-facing door and several windows, possibly with white frames to contrast the blue. The house is set against a serene environment, and there might be a few trees or flowers around it. Make sure the vibe of the image is comforting and inviting, capturing a typical domestic scene.","Depict a compact one-story house with an enchanting aesthetic. The house should exhibit a calming blue hue that characterizes its exterior walls. It is nestled amid a landscaped yard with verdant grass and a few scattered trees. This charming abode conjures a sense of tranquility and hominess. The roof is topped with grey shingles, and a small smoke stack hints at a cozy fireplace within. The front of this dwelling features welcoming, wood-framed windows and a wooden front door — all contributing to a picture of a peaceful and quaint living space.",0,1,0,,a lil one story blue house,a little one story blue house
lil,little,"A cute sight unfolds with a tiny infant secured warmly within the folds of a snug blanket. The baby, a delightful South Asian boy with tousled round black curls, enjoys a slumber with a calm, easeful expression painted on his cherubic countenance. The blanket is a dreamy cosmos of soft, pastel shades, woven delicately to create a sense of warmth and comfort. A sensation of tenderness prevails the scene, making it an image of blissful tranquillity that celebrates the purity and innocence of infancy.","An image depicting a newborn baby, wrapped snugly in a soft, cozy blanket. The baby is peacefully sleeping, showcasing the innocence of infancy. The blanket is a mixture of pastel colors creating a soothing ambience. The surrounding environment is calm and quiet, focusing all attention on the tiny, sleeping bundle of joy.",1,1,0,,a lil baby wrapped in a blanket,a little baby wrapped in a blanket
whip,car,"A Middle-Eastern man in a casual outfit driving his sleek, high-performance car along a picturesque coastline. The spectacular sunset illuminates the sky in the background, casting warm hues over the scene. Inside the car, the dashboard lights add a soft glow, while outside, the car's metallic hue reflects the surrounding scenery.","A middle-aged South Asian male is behind the wheel, manoeuvring his vehicle with proficiency. He is positioned comfortably in the driver's seat of a modern, well-maintained car. His hands are securely placed on the steering wheel, displaying the hallmark of an experienced driver. His eyes are focused on the road ahead, attentive and alert to surroundings. Consideration is given to driving safety with his seatbelt securely fastened. The dashboard design gives a hint of luxury, suggesting the car's upscale authenticity. Subtle sunlight from the windshield illuminates the interior, creating soft shadows and rhythmic reflections.",1,2,1,a leather whip coiled on a wooden table,a guy driving his whip,a man driving his car
whip,car,"A Hispanic woman in her thirties at the helm of a blue, sleek automobile. She sports a look of determined concentration as she navigates the roads in her blue vehicle, her hands firmly on the steering wheel. Her hair is pulled back into a ponytail, and her eyes are hidden behind a pair of stylish sunglasses. The day is bright and clear, and the sun is shining down, casting light and shadow across the scene.","A South Asian woman with a medium length hair, wearing a comfortable clothing is driving her sky-blue colored, compact car. She is gripping the steering wheel firmly and looking straight ahead down the road. There are some fluffy clouds in the sky above, and tree-lined streets flanking on both sides of the road.",1,1,1,a horse rider holding a braided whip,a woman driving her blue whip,a woman driving her blue car
whip,car,"A South Asian man in his prime, with a beard and wearing spectacles, is expertly handling the wheel of a sleek, brand new sports car. The car, finished in a vibrant shade of cobalt blue, zooms along an empty highway. The backdrop shows a scenic landscape bathed in golden sunlight, with the freeway stretching out into the horizon. The man's eyes are focused on the road, hinting at his concentration, and his slightly upturned lips hint at his enjoyment of the thrilling drive.","A middle-aged South Asian man, dressed in a casual but stylish manner, is driving the latest model of a sleek, high-tech car on an expansive freeway. The landscape outside is bathed in the soft glow of twilight, showcasing towering skyscrapers in the distance. The dashboard of the car, illuminated by a mix of colorful lights from various control panels, paints a picture of modern technology. It's clear that he's enjoying the smooth, exhilarating ride of his new car against the backdrop of a bustling urban setting.",1,1,1,a vintage bullwhip used in performance,a man driving a new whip on the freeway,a man driving a new car on the freeway
whip,car,"Imagine a vivid and striking scene in which a glossy red sports car, designed with sleek contours and sharp edges, sits gracefully in the midst of a large, organized garage. The car's detailed surface gleams under the soft lights of the garage, casting long, beautiful shadows. The garage walls are stacked with neatly organized tools on metal shelves and the floor is impeccably clean, reflecting the car's brilliant shine. The color contrast between the dark garage and the bright red car creates a startlingly unforgettable image.","Imagine a shiny red car with black tinted windows and sleek curvy design. It's parked quietly in the downtown garage, reflecting the dim yellow light of the hanging bulbs. The concrete floor and the old brick walls of the garage contrast with the high-tech look of the car. Additional details include a neat metallic silver garage door that's slightly ajar and a garage floor littered with tools and mechanic equipment.",0,1,1,a whip used for equestrian training hanging on a wall,a red whip parked in the garage,a red car parked in the garage
