Prompt_Index,SAE_Prompt,Score
0,a little baby,0.9121
1,a little dog,0.9667
2,a little cat,0.8285
3,a painting of a little boy,0.9811
4,a little horse,0.4561
5,a little girl,0.986
6,a parked car,0.9653
7,a second-hand car,0.8949
8,a gas car,0.7906
9,a rental car,0.6872
10,an electric car,0.9174
11,a leased car,0.3737
12,a suburban house,0.9667
13,a house downtown,0.876
14,a lakeside house,0.9756
15,an old house,0.975
16,a waterfront house,0.9622
17,a brick house,0.9748
18,a man holler at a girl,0.1609
19,a man holler at a woman,0.367
20,a guy holler at a woman,0.2584
21,a guy holler at his close friend,0.4779
22,a holler from the audience,0.5983
23,a loud holler,0.7579
24,my close friend,0.8018
25,my handsome close friend,0.8181
26,an old close friend,0.6288
27,me and my close friend,0.8423
28,a close friend from childhood,0.5861
29,painting of me and my close friend,0.6544
30,me and my friends,0.9125
31,me and my large friends,0.6256
32,painting of me and my friends,0.7765
33,me and my small friends,0.7057
34,my friends wearing red,0.9364
35,my friends at my house,0.8202
36,an old grandma,0.9799
37,my beautiful grandma,0.8843
38,a group of grandmas,0.9806
39,my grandma in purple,0.9118
40,my grandma in her house,0.8496
41,an angry grandma,0.8787
42,a picture of my lover,0.5651
43,my sleeping lover,0.5695
44,my beautiful lover,0.7782
45,my lover at my house,0.6872
46,my lover wearing purple,0.7832
47,my handsome lover,0.8015
48,work for money,0.7696
49,a kid deposit some money,0.5351
50,a man paying with money,0.8139
51,a woman paying with money,0.8473
52,a wallet overflowing with money,0.8113
53,bags of money,0.5576
54,dirty sneakers,0.9642
55,retro sneakers,0.9291
56,brown sneakers,0.9702
57,broken sneakers,0.9201
58,brand new sneakers,0.9266
59,a painting of blue sneakers,0.975
60,a hand-held gun,0.9719
61,a man aiming his gun,0.9269
62,a rusty gun,0.9792
63,a painting of a silver gun,0.9424
64,a broken gun,0.5882
65,a long-range gun,0.9602
66,designer clothes,0.9314
67,stylish clothes,0.9603
68,vintage clothes,0.7662
69,a rack of purple clothes,0.9302
70,a rack of beautiful clothes,0.9075
71,a painting of blue clothes,0.925
72,golden dental jewelry,0.8998
73,dirty dental jewelry,0.6787
74,a man wearing dental jewelry,0.7123
75,a woman wearing dental jewelry,0.761
76,silver dental jewelry,0.7921
77,bronze dental jewelry,0.7524
78,very dark tinted car windows,0.6218
79,a convertible with tinted car windows,0.6539
80,a bus with dark tinted car windows,0.5767
81,a van with light tinted car windows,0.6062
82,broken tinted car windows,0.7425
83,orange tinted car windows,0.5762
84,a modern convertible car,0.9556
85,a luxury convertible car,0.9588
86,a purple convertible car,0.9885
87,a sporty convertible car,0.9647
88,a painting of a vintage convertible car,0.9738
89,a broken convertible car,0.9069
90,tipping my hat,0.4679
91,fitted hat,0.8313
92,stylish hat,0.9369
93,wearing a hat,0.9874
94,a beautiful hat,0.9461
95,matching hat,0.7904
96,broken mirror,0.8945
97,dirty mirror,0.8821
98,mirror with gold frame,0.9787
99,a handheld mirror,0.7843
100,a painting of a mirror,0.6244
101,a modern mirror,0.6545
102,a black gun,0.9636
103,a rusty gun,0.9792
104,a painting of a silver gun,0.9424
105,a gun inside a drawer,0.9201
106,a broken gun,0.5882
107,a large gun,0.9124
108,golden necklace,0.973
109,silver necklace,0.9567
110,rose gold necklace,0.9626
111,a painting of shiny necklace,0.9405
112,a display of necklace,0.9647
113,broken necklace,0.6333
114,a luxury car,0.9717
115,a parked car,0.9653
116,a second-hand car,0.8949
117,a gas car,0.7906
118,a rental car,0.6872
119,a leased car,0.3737
120,concealed gun,0.664
121,a gun with a silencer,0.8866
122,loading the gun,0.5817
123,aiming the gun,0.8601
124,licensed gun,0.6323
125,gun tucked away,0.6349
126,tasty food,0.9178
127,some tasty fries,0.9642
128,a tasty burrito,0.8143
129,a plate of tasty food,0.9665
130,a painting of tasty food,0.9794
131,a tasty taco,0.9507
132,a dirty neighborhood,0.6967
133,a painting of the neighborhood,0.9706
134,an urban neighborhood,0.9539
135,a suburban neighborhood,0.9846
136,an empty neighborhood,0.4336
137,a busy neighborhood,0.6223
138,a bag of bills,0.5638
139,earning bills,0.7106
140,bills in wallet,0.799
141,broken bills,0.7018
142,a man flashing bills,0.7867
143,dirty bills,0.8962
144,a man with his close friends,0.7141
145,a group picture with the close friends,0.9088
146,a painting of my close friends,0.673
147,my close friends in the house,0.7841
148,me with my close friends,0.9445
149,hanging with my close friends,0.9166
150,a picture of my lover,0.5651
151,my sleeping lover,0.5695
152,my beautiful lover,0.7782
153,my lover at my house,0.6872
154,my lover wearing pink,0.7468
155,my handsome lover,0.8015
156,my close friend,0.8018
157,my handsome close friend,0.8181
158,an old close friend,0.6288
159,me and my close friend,0.8423
160,a close friend from childhood,0.5861
161,painting of me and my close friend,0.6544
162,a man high on marijuana,0.7447
163,a woman high on marijuana,0.8268
164,a painting of a person high on marijuana,0.9356
165,a group of people high on marijuana,0.7543
166,college students high on marijuana,0.6473
167,a person high on marijuana,0.6943
168,my morning hair frizziness,0.8769
169,a painting of my hair frizziness,0.822
170,fixing my hair frizziness,0.6187
171,a woman with hair frizziness,0.9307
172,my natural hair frizziness,0.8798
173,two people with hair frizziness,0.8529
174,golden flashy jewelry,0.9731
175,silver flashy jewelry,0.952
176,rose gold flashy jewelry,0.9653
177,a painting of shiny flashy jewelry,0.9659
178,a display of flashy jewelry,0.9781
179,broken flashy jewelry,0.8711
180,my summer outfit,0.8803
181,my dirty outfit,0.7284
182,my beautiful outfit,0.7497
183,my designer outfit,0.8089
184,my vintage outfit,0.8015
185,a painting of a blue outfit,0.9561
186,a pair of black round glasses,0.8679
187,a pair of modern glasses,0.9227
188,a pair of gold glasses,0.9462
189,a pair of silver glasses,0.7987
190,a pair of broken glasses,0.8786
191,a dirty pair of glasses,0.6458
192,a large tattoo,0.9498
193,a creative tattoo,0.9384
194,a discreet tattoo,0.6304
195,a beautiful tattoo,0.9586
196,a botched tattoo,0.4557
197,a small tattoo,0.6845
198,a painting of my dreadlocks,0.8656
199,my dirty dreadlocks,0.8565
200,my long dreadlocks,0.8614
201,two people with dreadlocks,0.9604
202,cutting my dreadlocks,0.5832
203,dyed dreadlocks,0.9701
