Prompt_Index,Dialect_Prompt,SAE_Prompt,Normalized_Score
0,a crowded math,a crowded monastery,0.4336
1,a painting of some simkin,a painting of some champagne,0.7953
2,an old dai,an old midwife,0.6429
3,a dai with a woman,a midwife with a woman,0.2012
4,a painting of a dai,a painting of a midwife,0.406
5,a young dai,a young midwife,0.3279
6,a dai sitting down,a midwife sitting down,0.3736
7,a photograph of a dai with a cat,a photograph of a midwife with a cat,0.9124
8,a medico at a table,a medical practitioner at a table,0.4979
9,an old medico,an old medical practitioner,0.5917
10,a medico at a park,a medical practitioner at a park,0.1095
11,a medico with a woman,a medical practitioner with a woman,0.5328
12,a medico with a notepad,a medical practitioner with a notepad,0.5246
13,a painting of a medico,a painting of a medical practitioner,0.687
14,a nai in red,a barber in red,0.1825
15,an old nai,an old barber,0.2059
16,a nai by the chair,a barber by the chair,0.6533
17,a nai working,a barber working,0.5527
18,a person entering a thana,a person walking into a police station,0.2456
19,an abba in front of a house,a father in front of a house,0.4854
20,a girl standing with her abba,a girl standing with her father,0.0573
21,a crying abba,a crying father,0.2098
22,an abba on a bed,a father on a bed,0.3311
23,an old abba with a dog,an old father with a dog,0.5926
24,an old abba in the kitchen,an old father in the kitchen,0.7464
25,a beautiful rani,a beautiful queen,0.4762
26,a rani in a garden,a queen in a garden,0.3017
27,a painting of an old rani,a painting of an old queen,0.0972
28,a rani covered in snow,a queen covered in snow,0.2608
29,a rani in a large hall,a queen in a large hall,0.0188
30,an old rani on a bed,an old queen on a bed,0.3606
31,a painting of a brinjal,a painting of a eggplant,0.148
32,a person with some khana,a person with some food,0.8665
33,a family enjoying khana,a family enjoying food,0.1117
34,a bustling nagar,a bustling town,0.1803
35,a lively nagar,a lively town,0.5771
36,a painting of agarbatti,a painting of incense,0.3699
37,a busy godown,a busy warehouse,0.7365
38,a very busy petrol bunk,a very busy gas station,0.1723
39,a man with a blue mo-bike,a man with a blue motorcycle,0.7566
40,a black mo-bike,a black motorcycle,0.4789
41,an old handicraftsman,an old craftsman,0.5531
42,a group of handicraftsmen,a group of craftsmen,0.1125
43,a handicraftsman in a house,a craftsman in a house,0.6306
44,a dirty handicraftsman,a dirty craftsman,0.7468
45,a handicraftsman in orange,a craftsman in orange,0.1132
46,a handicraftsman in a big city,a craftsman in a big city,0.8757
47,an angry incharge,an angry supervisor,0.7063
48,an old incharge,an old supervisor,0.3234
49,an incharge in a room,a supervisor in a room,0.5555
50,a painting of an incharge,a painting of a supervisor,0.6614
51,an incharge in the office,a supervisor in the office,0.6435
52,an incharge with a group of people,a supervisor with a group of people,0.7021
53,a child with pani,a child with water,0.0177
54,a man next to a naka,a man next to a checkpoint,0.541
55,a lively tiffin,a lively luncheon,0.5203
56,a tiffin in the building,a luncheon in the building,0.7518
57,an indoor tiffin,an indoor luncheon,0.7262
58,a tiffin in the city,a luncheon in the city,0.273
59,a tiffin at school,a luncheon at school,0.3875
60,the inside of a satta den,the inside of a gambling den,0.2337
61,a satta room,a gambling room,0.6562
62,a place of satta,a place of gambling,0.0119
63,a bustling satta den,a bustling gambling den,0.3464
64,a luxurious satta den,a luxurious gambling den,0.2779
65,a group of people satta,a group of people gambling,0.8379
66,a mechanic inspecting a stepney,a mechanic inspecting a spare tire,0.5337
67,a group photo of my batchmates,a group photo of my classmates,0.0659
68,my batchmate smiling,my classmate smiling,0.0581
69,two batchmates studying,two classmates studying,0.7862
70,a batchmate at a desk,a classmate at a desk,0.3895
71,batchmates outside the school,classmates outside the school,0.6369
72,a batchmate playing basketball,a classmate playing basketball,0.5356
