Prompt_Index,SAE_Prompt,Normalized_Score
0,a large milk tea,0.6519
1,a small milk tea,0.556
2,coffee on a table,0.1283
3,coffee on a counter,0.1129
4,two people getting coffee,0.3348
5,a man buying coffee,0.3058
6,a woman with coffee,0.1764
7,a painting of a red packet,0.7084
8,a person holding a red packet,0.6381
9,let's get some food takeout,0.6019
10,a couple getting food takeout,0.5384
11,a businessman with a grasping and selfish attitude,0.3808
12,a leader with a grasping and selfish attitude,0.3866
13,a student with a grasping and selfish attitude,0.5944
14,a parent with a grasping and selfish attitude,0.4095
15,a businesswoman with a grasping and selfish attitude,0.2422
16,a politician with a grasping and selfish attitude,0.1672
17,a bored woman,0.3036
18,a bored worker,0.4525
19,a child bored,0.5824
20,a bored man,0.5051
21,people relaxing on a beach,0.2038
22,people relaxing on a coach,0.3386
23,a couple relaxing in a park,0.3224
24,a person gesturing yes,0.4875
25,a person answering yes,0.3972
26,a worker gesturing yes,0.7468
27,a student gesturing yes,0.5425
28,a woman gesturing yes,0.3107
29,a man gesturing yes,0.3123
30,a student saving a table,0.7733
31,a man saving a table,0.3842
32,a woman saving a table,0.3529
33,a group saving a table,0.4312
34,saving a table at a cafe,0.3662
35,saving a table with a napkin,0.538
36,a painting of something that is very tasty,0.8654
37,a high class party,0.6074
38,a high class car,0.8046
39,a secluded trail,0.2854
40,a woman eating noodles,0.3988
41,a painting of someone eating,0.9045
42,a person eating a salad,0.5533
43,a man eating a taco,0.6986
44,people eating,0.2879
45,a man eating a burrito,0.6057
46,a family redecorates their house,0.5496
47,a worker redecorates her office space,0.6059
48,a couple redecorate their garage,0.4815
49,a woman redecorates her room,0.4796
50,a man redecorates his desk,0.5911
51,a person redecorates their kitchen,0.2641
52,a tall girl,0.1722
53,a girl buying a computer,0.2612
54,a girl hiking,0.3579
55,a girl,0.2142
56,a girl in a city,0.254
57,a painting of a girl,0.5345
58,a woman holding a mobile phone,0.2459
59,a man with a mobile phone,0.3401
60,a painting of a mobile phone,0.8074
61,a mobile phone on a lawn,0.5559
62,a loan shark handling cash,0.721
63,a loan shark carrying a knife,0.5282
64,a loan shark holding a bag,0.7856
65,a loan shark,0.8889
66,a loan shark talking to someone,0.7995
67,a loan shark spray painting,0.7617
68,a man at a coffee shop,0.4836
69,a woman at a coffee shop,0.2678
70,a modern coffee shop,0.2618
71,an old coffee shop,0.1315
72,a painting of a handsome male,0.3375
73,a handsome male buying food,0.768
74,a handsome male walking,0.377
75,a photo of a handsome male,0.2685
76,a handsome male,0.2613
77,a handsome male at a gym,0.6499
78,a man studying for finals,0.4939
79,a woman studying at home,0.5261
80,a child busy studying,0.877
81,a group of people studying,0.601
82,an older person studying,0.6391
83,studying at a table,0.6194
84,a man being a third wheel,0.6987
85,a woman being a third wheel,0.5893
86,a third wheel sitting with a couple,0.367
87,a person feeling like a third wheel,0.2791
88,scene with an awkward third wheel,0.4996
89,a young third wheel,0.6018
90,tea in a store,0.701
91,a traditional Chinese physician and a man,0.251
92,a traditional Chinese physician and a woman,0.1557
93,a painting of a traditional Chinese physician,0.4808
94,a traditional Chinese physician,0.3928
95,a traditional Chinese physician with two people,0.2488
96,a traditional Chinese physician sitting,0.3821
97,a couple at a food court,0.5295
98,a modern food court,0.4593
99,a painting of litter thrown from a high-rise building,0.5821
100,a person avoiding litter thrown from a high-rise building,0.5695
101,a person nearly hit by litter thrown from a high-rise building,0.5543
102,a man holding a hoe,0.1235
103,a painting of a hoe,0.3718
104,an old hoe,0.2402
105,a family enjoying spicy stir-fried crab,0.5515
106,a waiter serving spicy stir-fried crab,0.3795
107,a chef making spicy stir-fried crab,0.5709
108,my uncle,0.3189
109,an uncle in blue,0.5337
110,a uncle talking,0.148
111,an uncle buying fruit,0.2986
112,an uncle drinking coffee,0.5897
113,an uncle reading a newspaper,0.3408
114,a painting of Fujianese fresh spring roll,0.8249
115,a person eating a Fujianese fresh spring roll,0.4974
116,a person eating Indian flatbread,0.1433
117,a person eating Chinese pork jerky,0.2944
118,a painting of Chinese pork jerky,0.801
119,one piece of Chinese pork jerky,0.8353
120,two buddies chatting,0.4039
121,buddies playing soccer,0.8191
122,buddies having coffee,0.5264
123,buddies laughing together,0.4601
124,a group of buddies outdoors,0.5636
125,buddies watching a movie,0.3965
