Prompt_Index,SAE_Prompt,Score
0,a little boy playing with a yoyo,0.311
1,a little girl playing with a toy car,0.3326
2,a little cat sitting on top of the piano,0.3291
3,a little dog playing in the backyard,0.2931
4,a little one story blue house,0.3062
5,a little baby wrapped in a blanket,0.2838
6,a man driving his car,0.282
7,a woman driving her blue car,0.3089
8,a man driving a new car on the freeway,0.2806
9,a red car parked in the garage,0.3277
10,a car parked by the curb,0.2736
11,a black car with chrome rims,0.2824
12,a man in front of his house,0.3065
13,a woman in front of her house,0.3238
14,a family in front of their new house,0.3004
15,a retiree and her one story house with a flower garden,0.3458
16,a house with a white picket fence,0.3461
17,a brick house with a garden,0.3081
18,a man holler at a girl across the street,0.2527
19,a man holler at a woman near the bus stop,0.2981
20,a man holler at a woman walking past him,0.2674
21,a man holler at his close friend from the balcony,0.2785
22,a loud holler from the audience during the show,0.2524
23,she heard a holler from across the street,0.2364
24,me and my close friend hanging out at a cafe,0.2846
25,my close friend talking on the phone,0.2611
26,my close friend waiting outside the store,0.2834
27,me and my close friend eating together at lunch,0.2625
28,a close friend from childhood playing video games together,0.2837
29,a close friend with a skateboard,0.2976
30,me and my friends hanging out after school,0.2614
31,me and my friends at a restaurant,0.2581
32,taking a selfie with my friends,0.2815
33,me and my friends hanging out at a cafe,0.272
34,my friends hanging out at the park,0.2697
35,a group of friends in matching shirts,0.2872
36,an old grandma in front of a new england style house,0.3349
37,my grandmother and my dad,0.3005
38,my grandmother with my mom,0.3142
39,my grandmother and her cat,0.322
40,a grandma knitting a sweater,0.3124
41,a grandma baking cookies,0.323
42,a picture of my lover smiling at the beach,0.3003
43,me and my lover holding hands at sunset,0.2921
44,my lover posing in a botanical garden,0.3189
45,my lover drinking coffee,0.288
46,a lover holding a bouquet of roses,0.3284
47,a lover taking a selfie,0.2698
48,a wallet full of money,0.2812
49,pay with some money,0.2542
50,a man paying money to the cashier,0.2813
51,a woman paying money to the shopkeeper,0.2935
52,a wallet overflowing with fresh green money,0.3217
53,an armored cash carrier carrying bags of money,0.3006
54,a man wearing sneakers,0.28
55,a girl wearing white leather sneakers,0.3249
56,a pair of stylish sneakers,0.2914
57,a pair of gray sneakers,0.3068
58,a row of sneakers in a store,0.3194
59,a pair of sneakers hanging on a wire,0.3509
60,a man aiming his gun,0.2921
61,a man aiming his gun in a dark alley,0.3361
62,a woman firing her gun at the target,0.3268
63,a soldier carrying a gun,0.3078
64,a gun in a holster,0.289
65,a gun tucked into a waistband,0.3133
66,a man wearing cool clothes,0.2837
67,a woman wearing cool clothes,0.2922
68,a man wearing minimalist clothes,0.3044
69,some fresh clothes on a mannequin,0.2544
70,a woman wearing vintage clothes,0.3212
71,a rack of designer clothes,0.32
72,a man wearing dental jewelry over the teeth,0.3091
73,a rapper with dental jewelry,0.3316
74,a man wearing green dental jewelry,0.3479
75,a woman wearing dental jewelry with a confident smile,0.3284
76,a rapper showing off his dental jewelry,0.3377
77,gold dental jewelry on a smiling face,0.2948
78,a car with dark tinted windows,0.2662
79,a black convertible with tinted windows,0.2957
80,a red Tesla with very dark tinted windows,0.3103
81,a SUV with dark tinted windows,0.268
82,a silver van with light window tinting on the windows,0.3081
83,a schoolbus with orange tinted windows,0.3248
84,a woman driving her convertible car,0.2968
85,a man driving his convertible car on the hilly road,0.3225
86,two people riding in a convertible car,0.304
87,a man driving a sporty convertible car,0.2929
88,a red convertible car cruising down the street,0.3041
89,a vintage convertible car parked at the beach,0.3323
90,a grandpa wearing a baseball cap,0.2966
91,a woman wearing an orange cap,0.3454
92,a man wearing a red cap,0.2976
93,a man with a blue cap,0.341
94,a baseball cap with a sports logo,0.3086
95,a boy wearing a cap matching his outfit,0.3244
96,a man looking at his reflection in a mirror,0.3096
97,a woman looking at her reflection in a mirror,0.3102
98,a couple looking at their reflection in a mirror,0.2862
99,a mirror mounted above the sink in a bathroom,0.3034
100,a handheld mirror with a gold frame,0.355
101,a tall mirror in the fitting room,0.2894
102,a man holding his gun,0.3014
103,a woman holding a large gun,0.3228
104,a couple of soldiers with guns,0.3046
105,a group of people with guns,0.3071
106,a gun stored in a safe,0.3155
107,a black gun inside a half-open drawer,0.336
108,a man wearing a gold necklace,0.3105
109,a woman wearing a gold necklace,0.3001
110,a man wearing a rose gold necklace,0.345
111,some gold necklaces around the neck,0.3082
112,a display of necklaces in a jewelry store,0.3186
113,a man wearing a dark gray necklace,0.3096
114,a woman driving a car,0.2911
115,a car with a flat tire,0.2798
116,a guy riding in a car,0.2768
117,a group of friends in a car,0.2956
118,a blue car in the parking lot,0.2867
119,a car speeding down the highway,0.2874
120,a person firing a gun,0.2938
121,a man aiming a gun at a target,0.3044
122,a person firing a small gun,0.2953
123,a woman aiming a gun,0.3106
124,a sleek black gun with a silencer on a table,0.2844
125,a policeman shooting a gun,0.3097
126,two people enjoying tasty food,0.2864
127,some tasty fries topped with cheese and bacon,0.3288
128,a man enjoying tasty food,0.2927
129,a woman buying tasty food,0.2827
130,a tasty bowl of mac and cheese,0.3118
131,a tasty plate of fried chicken,0.3037
132,a neighborhood that has many palm trees,0.3076
133,a neighborhood with old victorian style homes,0.3195
134,driving through the dense urban neighborhood with a convertible,0.2869
135,walking through the bland suburban neighborhood,0.2944
136,kids playing in the neighborhood,0.3025
137,a barber shop in the neighborhood,0.3218
138,a cashier counting the money from the customer,0.2917
139,a woman getting money from her checking account at the ATM,0.2948
140,the foodtruck worker getting money from the customer for the purchase,0.3155
141,a man paying back his friend the money for the coffee,0.2857
142,coins and bills stuffed into a wallet,0.3061
143,a rich businessman showing off a large stack of bills,0.3174
144,hanging out with my close friends,0.2523
145,hanging out with my close friends at a cafe,0.2718
146,studying with my close friends at a library,0.2939
147,me and my close friends gathered for a barbecue,0.287
148,a group picture with close friends at the beach,0.2972
149,going on a road trip with my close friends,0.2646
150,spending time with my lover at home,0.2375
151,getting stuff from the grocery store with my lover,0.2914
152,a woman and her lover at a fancy restaurant,0.3115
153,a man and his lover on a flight,0.2977
154,me holding hands at the movie with my lover,0.2448
155,me and my lover sharing an umbrella in the rain,0.2941
156,me and my close friend hiking in the mountains,0.2892
157,a woman and her close friend getting coffee,0.3047
158,a man and his close friend walking a golden retriever,0.3323
159,me and my close friend playing video games on the television,0.3054
160,my close friend helping me with a move,0.2764
161,my close friend riding a skateboard,0.294
162,my close friend from the neighborhood,0.2447
163,me and my close friend in front of a big house,0.3174
164,an evening hanging out with my close friend,0.2348
165,me and my close friend eating at a cafe,0.2805
166,my go-to close friend for advice,0.2311
167,a heart-to-heart with my oldest close friend,0.2434
168,a summer day causing some serious hair frizziness,0.2713
169,my hair frizziness on full display in the humidity,0.2679
170,a struggle to manage the morning hair frizziness,0.2891
171,hair frizziness making a statement today,0.2487
172,my natural hair frizziness showing its beauty,0.2688
173,two people with visible hair frizziness in their hair,0.2842
174,flashy jewelry that caught everyone's eye at the party,0.3021
175,my flashy jewelry representing my style,0.2824
176,an outfit completed with some serious flashy jewelry,0.2827
177,a showcase of new flashy jewelry at the store,0.3071
178,my favorite piece of flashy jewelry from my grandma,0.2924
179,a statement made with just the right flashy jewelry,0.2863
180,my outfit for the club tonight,0.2541
181,an outfit that screams confidence,0.241
182,an outfit that looks like it's from a Korean drama,0.2943
183,my go-to outfit for first dates,0.2382
184,a breezy summer outfit for hot days,0.2977
185,a new outfit for a cold snowy winter in a big city,0.2974
186,a new pair of glasses to change my look,0.2736
187,a pair of black round glasses worn by a man,0.2959
188,a pair of modern glasses worn by a woman,0.3106
189,my stylish glasses with the gold frame,0.3134
190,a pair of glasses sitting on the nightstand,0.2941
191,my friend holding her pair of glasses,0.3009
192,my first tattoo on my forearm,0.3006
193,a tattoo representing my journey,0.2854
194,a tattoo artist known for intricate designs,0.3013
195,a tattoo on a woman's neck,0.3089
196,a tattoo on a man's leg,0.3115
197,a dreamy design for my next tattoo,0.2959
198,my dreadlocks reaching my shoulders now,0.2848
199,a new style for my dreadlocks this summer,0.3248
200,taking care of my dreadlocks with essential oils,0.3228
201,two people with long dreadlocks sitting on a bench,0.379
202,my dreadlocks tied up in a bun,0.2831
203,my dreadlocks reaching down to my waist,0.2953
