Dialect_Word,SAE_Word,Dialect_Prompt,SAE_Prompt,person_in_prompt,dialect_word_count,polysemic,Polysemy_Prompt
lil,little,a lil boy playing with a yoyo,a little boy playing with a yoyo,1,1,0,
lil,little,a lil girl playing with a toy car,a little girl playing with a toy car,1,1,0,
lil,little,a lil cat sitting on top of the piano,a little cat sitting on top of the piano,0,1,0,
lil,little,a lil dog playing in the backyard,a little dog playing in the backyard,0,1,0,
lil,little,a lil one story blue house,a little one story blue house,0,1,0,
lil,little,a lil baby wrapped in a blanket,a little baby wrapped in a blanket,1,1,0,
whip,car,a guy driving his whip,a man driving his car,1,2,1,a leather whip coiled on a wooden table
whip,car,a woman driving her blue whip,a woman driving her blue car,1,1,1,a horse rider holding a braided whip
whip,car,a man driving a new whip on the freeway,a man driving a new car on the freeway,1,1,1,a vintage bullwhip used in performance
whip,car,a red whip parked in the garage,a red car parked in the garage,0,1,1,a whip used for equestrian training hanging on a wall
whip,car,a whip parked by the curb,a car parked by the curb,0,1,1,a coiled black whip next to a cowboy hat
whip,car,a black whip with chrome rims,a black car with chrome rims,0,1,1,a ceremonial whip with ornate handle
crib,house,a guy in front of his crib,a man in front of his house,1,1,1,a baby sleeping peacefully in a white crib
crib,house,a woman in front of her crib,a woman in front of her house,1,1,1,a nursery with a wooden crib and soft blankets
crib,house,a family in front of their new crib,a family in front of their new house,1,1,1,a brand new crib decorated with toys
crib,house,a retiree and her one story crib with a flower garden,a retiree and her one story house with a flower garden,1,1,1,a hand-painted crib with a mobile above
crib,house,a crib with a white picket fence,a house with a white picket fence,0,1,1,a gently rocking crib near a window
crib,house,a brick crib with a garden,a brick house with a garden,0,1,1,a vintage crib stored in an attic
Dialect_Word,SAE_Word,Dialect_Prompt,SAE_Prompt,person_in_prompt,dialect_word_count,polysemic,Polysemy_Prompt
holla,holler,a man holla at a girl across the street,a man holler at a girl across the street,1,1,0,
holla,holler,a man holla at a woman near the bus stop,a man holler at a woman near the bus stop,1,1,0,
holla,holler,a guy holla at a woman walking past him,a man holler at a woman walking past him,1,2,0,
holla,holler,a guy holla at his homie from the balcony,a man holler at his close friend from the balcony,1,3,0,
holla,holler,a loud holla from the audience during the show,a loud holler from the audience during the show,1,1,0,
holla,holler,she heard a holla from across the street,she heard a holler from across the street,1,1,0,
