Prompt_Index,SAE_Prompt,Score
0,a medieval monastery,0.279
1,a monastery on a hill,0.2914
2,a small monastery,0.2926
3,a painting of a monastery,0.3075
4,a crowded monastery,0.2801
5,a monastery in a dark forest,0.294
6,champagne on a wooden table,0.2857
7,champagne in a cabinet,0.2941
8,champagne on a table outside,0.2871
9,a painting of some champagne,0.3464
10,champagne on the beach,0.3209
11,champagne on top of a piano,0.3076
12,an old midwife,0.2983
13,a midwife with a woman,0.2774
14,a painting of a midwife,0.3252
15,a young midwife,0.2891
16,a midwife sitting down,0.2768
17,a photograph of a midwife with a cat,0.3342
18,a medical practitioner at a table,0.2824
19,an old medical practitioner,0.2527
20,a medical practitioner at a park,0.2959
21,a medical practitioner with a woman,0.2919
22,a medical practitioner with a notepad,0.2922
23,a painting of a medical practitioner,0.3307
24,a window covered with bamboo blinds,0.3173
25,a doorway with bamboo blinds,0.3393
26,hand-crafted bamboo blinds,0.3324
27,sun-faded bamboo blinds,0.3117
28,bamboo blinds with decorative trim,0.3412
29,tattered bamboo blinds,0.3211
30,a dark mountain pass,0.2826
31,a mountain pass covered in snow,0.298
32,a crowded mountain pass,0.2753
33,a mountain pass with a nearby lake,0.2809
34,a painting of a beautiful mountain pass,0.3186
35,an abandoned mountain pass,0.2737
36,an old convenience store,0.2938
37,a modern convenience store,0.3047
38,a busy convenience store,0.292
39,a convenience store on fire,0.3092
40,an empty convenience store,0.2908
41,a painting of a convenience store,0.3518
42,an old temple,0.2917
43,a temple on a hill,0.2888
44,a painting of a temple,0.3116
45,a temple in a dark forest,0.3248
46,a temple in a city,0.2792
47,an abandoned temple,0.293
48,a barber in red,0.3057
49,an old barber,0.308
50,a small barber shop,0.2889
51,a busy barber shop,0.3013
52,a barber by the chair,0.3088
53,a barber working,0.3007
54,a police station in a city,0.2781
55,a busy police station,0.2589
56,a police station in a small town,0.2945
57,a person walking into a police station,0.3094
58,a painting of a police station,0.3422
59,a photograph of a modern police station,0.2749
60,a father in front of a house,0.2834
61,a girl standing with her father,0.2785
62,a crying father,0.2649
63,a father on a bed,0.2821
64,an old father with a dog,0.2828
65,an old father in the kitchen,0.2834
66,a beautiful veranda,0.2974
67,an expensive looking veranda,0.2693
68,a modern looking veranda,0.3004
69,a green veranda,0.3033
70,a dimly lit veranda,0.2644
71,a painting of a veranda,0.3235
72,a dry riverbed,0.2741
73,a beautiful riverbed in a painting,0.3267
74,a riverbed in a forest,0.2928
75,a narrow riverbed,0.2825
76,a small riverbed,0.2805
77,a wet riverbed,0.2899
78,a beautiful queen,0.2683
79,a queen in a garden,0.2861
80,a painting of an old queen,0.3294
81,a queen covered in snow,0.2906
82,a queen in a large hall,0.2845
83,an old queen on a bed,0.273
84,a sliced eggplant,0.3231
85,an eggplant on a table,0.2459
86,eggplant in a basket,0.2881
87,a painting of a eggplant,0.3068
88,a moldy eggplant,0.253
89,a dish with eggplant,0.3079
90,a table of food,0.2861
91,a basket with food,0.3085
92,healthy food,0.262
93,food in a cabinet,0.2975
94,a person with some food,0.2445
95,a family enjoying food,0.2931
96,a bustling town,0.2488
97,an abandoned town,0.2864
98,view of a town,0.2915
99,a beautiful town,0.2529
100,a painting of a town,0.3062
101,a lively town,0.274
102,a dying camel,0.3163
103,a camel next to water,0.3265
104,a painting of a large camel,0.3438
105,a camel eating food,0.2934
106,a camel in the street,0.3351
107,a camel walking in the heat,0.3022
108,incense in a house,0.2579
109,incense on a table,0.2763
110,a painting of incense,0.3047
111,incense burning,0.25
112,red incense,0.2938
113,incense on a shelf,0.2741
114,a painting of a beautiful crane bird,0.3353
115,a large group of crane birds,0.2983
116,a dirty crane bird,0.2862
117,two crane birds next to each other,0.2956
118,a sleeping crane bird,0.2953
119,a crane bird eating food,0.3041
120,a enormous warehouse,0.2994
121,an abandoned warehouse,0.2844
122,a busy warehouse,0.2801
123,a painting of a warehouse,0.3323
124,a warehouse on fire,0.3038
125,a dark abandoned warehouse,0.2881
126,painting of a pharmacy,0.343
127,a modern pharmacy,0.3086
128,inside a pharmacy,0.2974
129,a busy pharmacy,0.2697
130,entrance of a pharmacy,0.3089
131,a rural pharmacy,0.3132
132,an abandoned gas station,0.3196
133,a gas station in a desert,0.3244
134,a photograph of a modern gas station,0.2964
135,a very busy gas station,0.265
136,a gas station in a big city,0.2796
137,a dirty gas station,0.2769
138,a man with a blue motorcycle,0.3119
139,a black motorcycle,0.2829
140,three motorcycles on the road,0.2901
141,a broken motorcycle,0.2763
142,a motorcycle in the forest,0.3083
143,a group of motorcycles,0.3044
144,two rifles leaning on each other,0.2851
145,a person holding a rifle,0.28
146,a broken rifle,0.2729
147,a rusty rifle,0.3152
148,a rifle in a store,0.2946
149,a rifle on the ground,0.2879
150,an old craftsman,0.287
151,a group of craftsmen,0.2923
152,a craftsman in a house,0.2768
153,a dirty craftsman,0.2592
154,a craftsman in orange,0.3015
155,a craftsman in a big city,0.2893
156,an angry supervisor,0.2404
157,an old supervisor,0.2453
158,a supervisor in a room,0.2553
159,a painting of a supervisor,0.3086
160,a supervisor in the office,0.2405
161,a supervisor with a group of people,0.2685
162,some water on the table,0.2607
163,a child with water,0.2786
164,dirty water,0.2557
165,water in the forest,0.2706
166,water in the house,0.2601
167,water in the well,0.2996
168,a colorful festival,0.2941
169,a lively festival,0.2687
170,a festival in the summer,0.2832
171,an indoor festival,0.298
172,a bustling festival,0.2832
173,a festival in the winter,0.317
174,a man next to a checkpoint,0.2991
175,a small red checkpoint,0.2648
176,a busy checkpoint,0.2792
177,a empty checkpoint,0.2728
178,an abandoned checkpoint,0.2847
179,a checkpoint in the winter,0.31
180,an outdoor luncheon,0.2963
181,a lively luncheon,0.2629
182,a luncheon in the building,0.2746
183,an indoor luncheon,0.2693
184,a luncheon in the city,0.2778
185,a luncheon at school,0.3007
186,the inside of a gambling den,0.2641
187,a gambling room,0.2741
188,a place of gambling,0.2455
189,a bustling gambling den,0.2993
190,a luxurious gambling den,0.2606
191,a group of people gambling,0.2879
192,a luxurious wardrobe,0.3016
193,an old wardrobe,0.2969
194,a painting of a wardrobe,0.3194
195,a wardrobe in the bedroom,0.3122
196,a broken wardrobe,0.2741
197,a green wardrobe,0.3113
198,a car trunk filled with luggage,0.2965
199,a car trunk left open,0.2768
200,a spacious red car trunk,0.326
201,a damaged car trunk,0.2844
202,a suitcase in a car trunk,0.3146
203,a rusty car trunk,0.2994
204,a spare tire mounted on a vehicle,0.2928
205,a worn-out spare tire,0.2991
206,a spare tire leaning against a wall,0.3005
207,a black spare tire,0.2782
208,a mechanic inspecting a spare tire,0.2981
209,a spare tire lying on the road,0.3255
210,a group photo of my classmates,0.252
211,my classmate smiling,0.2542
212,two classmates studying,0.2632
213,a classmate at a desk,0.2741
214,classmates outside the school,0.2618
215,a classmate playing basketball,0.2954
