Prompt_Index,Dialect_Prompt,SAE_Prompt,Score
0,an old math in the village square,an old monastery in the village square,0.2331
1,a math on a grassy hill with trees,a monastery on a grassy hill with trees,0.245
2,an older person entering a math,an older person entering a monastery,0.2238
3,a math in an old city center,a monastery in an old city center,0.2406
4,a math with a crowd of people outside,a monastery with a crowd of people outside,0.2232
5,an old math in a dark misty forest,an old monastery in a dark misty forest,0.2551
6,a bottle of simkin on a wooden table,a bottle of champagne on a wooden table,0.2448
7,simkin on a shelf in a grocery store,champagne on a shelf in a grocery store,0.2085
8,simkin and two glasses on a table outside,champagne and two glasses on a table outside,0.271
9,simkin in a glass on a table,champagne in a glass on a table,0.2446
10,a person holding a bottle of simkin,a person holding a bottle of champagne,0.247
11,a person pouring simkin into a glass,a person pouring champagne into a glass,0.2684
12,a dai in a hospital,a midwife in a hospital,0.2656
13,a dai walking into a house,a midwife walking into a house,0.2923
14,a woman in a bed with a dai next to it,a woman in a bed with a midwife next to it,0.2837
15,a dai talking with a doctor,a midwife talking with a doctor,0.2698
16,a dai holding a bottle of medicine,a midwife holding a bottle of medicine,0.2611
17,a dai talking with a nurse,a midwife talking with a nurse,0.2906
18,a medico sitting at a table outside,a medical practitioner sitting at a table outside,0.2852
19,two medicos in a conference room,two medical practitioners in a conference room,0.2836
20,a medico walking in a park,a medical practitioner walking in a park,0.3037
21,the medico talking with a patient in a room,the medical practitioner talking with a patient in a room,0.3105
22,a medico standing outside a building,a medical practitioner standing outside a building,0.3088
23,a medico talking with a nurse,a medical practitioner talking with a nurse,0.3055
24,two windows covered with chick,two windows covered with bamboo blinds,0.222
25,a living room with windows covered with chick,a living room with windows covered with bamboo blinds,0.2276
26,a kitchen with a window covered with chick,a kitchen with a window covered with bamboo blinds,0.2558
27,a living room window covered with rolled-up chick,a living room window covered with rolled-up bamboo blinds,0.2047
28,a doorway with chick covering it,a doorway with bamboo blinds covering it,0.2217
29,a window with rolled up chick,a window with rolled up bamboo blinds,0.2336
30,a ghat with lots of pine trees,a mountain pass with lots of pine trees,0.2534
31,a narrow ghat covered in snow and pine trees,a narrow mountain pass covered in snow and pine trees,0.2587
32,a ghat with a road with lots of cars,a mountain pass with a road with lots of cars,0.2796
33,two people walking through the ghat,two people walking through the mountain pass,0.2626
34,a roadway in the ghat,a roadway in the mountain pass,0.2808
35,a trail in the wooded ghat,a trail in the wooded mountain pass,0.2611
36,an old kirana with faded signage,an old convenience store with faded signage,0.2574
37,a modern kirana with glass doors,a modern convenience store with glass doors,0.2434
38,a busy kirana packed with groceries,a busy convenience store packed with groceries,0.2733
39,a small kirana on fire at dusk,a small convenience store on fire at dusk,0.2483
40,an empty kirana with bare shelves,an empty convenience store with bare shelves,0.2859
41,a painting of a kirana with stacked cans,a painting of a convenience store with stacked cans,0.2994
42,a mandapa beside some trees,a temple beside some trees,0.2751
43,people standing outside a mandapa,people standing outside a temple,0.3005
44,a well-dressed person in front of a mandapa,a well-dressed person in front of a temple,0.2976
45,a family in front of a mandapa,a family in front of a temple,0.3222
46,a mandapa beside a sandy landscape,a temple beside a sandy landscape,0.2919
47,an old mandapa with lots of people,an old temple with lots of people,0.2964
48,a nai cutting a man's hair,a barber cutting a man's hair,0.3034
49,a nai cutting a woman's hair,a barber cutting a woman's hair,0.2717
50,a nai shop in a busy city,a barber shop in a busy city,0.2536
51,a friendly local nai,a friendly local barber,0.1989
52,a child getting his hair cut by a nai,a child getting his hair cut by a barber,0.3255
53,three people in a nai shop,three people in a barber shop,0.2338
54,officers working inside a thana,officers working inside a police station,0.261
55,a person standing outside a thana,a person standing outside a police station,0.2478
56,a person talking to an officer inside a thana,a person talking to an officer inside a police station,0.2616
57,two officers speaking to an arrested person in a thana,two officers speaking to an arrested person in a police station,0.2949
58,a thana on a road with lots of trees,a police station on a road with lots of trees,0.2485
59,a thana in a busy city,a police station in a busy city,0.2128
60,a boy standing with his abba,a boy standing with his father,0.2539
61,a girl standing with her abba near the school gate,a girl standing with her father near the school gate,0.3252
62,a man hiking with his abba,a man hiking with his father,0.2747
63,a woman in a car with her abba,a woman in a car with her father,0.2443
64,a woman walking with her abba and a dog,a woman walking with her father and a dog,0.2825
65,a man sitting at a table with his abba,a man sitting at a table with his father,0.265
66,a big house with a pial,a big house with a veranda,0.2727
67,outdoor furniture under a pial,outdoor furniture under a veranda,0.2843
68,a small one story house with a pial,a small one story house with a veranda,0.2721
69,people relaxing under a pial,people relaxing under a veranda,0.2378
70,a modern looking pial on a house,a modern looking veranda on a house,0.2764
71,a glass pial on a house,a glass veranda on a house,0.2538
72,a dry nullah surrounded by a dry landscape,a dry river-bed surrounded by a dry landscape,0.289
73,two people walking through a nullah,two people walking through a river-bed,0.2882
74,a dry nullah in a dense green forest,a dry river-bed in a dense green forest,0.2882
75,a nullah in an alpine meadow,a river-bed in an alpine meadow,0.2957
76,a bridge across a nullah,a bridge across a river-bed,0.2914
77,a nullah with some water in it,a river-bed with some water in it,0.2615
78,a rani sitting on a throne,a queen sitting on a throne,0.2742
79,a rani making a speech,a queen making a speech,0.2335
80,a rani inside a palace,a queen in a palace,0.255
81,a rani sitting at a banquet,a queen sitting at a banquet,0.2627
82,a rani in a garden surrounded by blooming flowers,a queen in a garden surrounded by blooming flowers,0.2691
83,a rani riding in a large car,a queen riding in a large car,0.268
84,brinjal in a grocery store,eggplant in a grocery store,0.3009
85,brinjal sitting on a kitchen counter,eggplant sitting on a kitchen counter,0.219
86,brinjal being sliced,eggplant being sliced,0.2921
