Prompt_Index,Dialect_Prompt,SAE_Prompt,Score
0,a large black torque,a large black truck,0.0681
1,a green torque,a green truck,0.2755
2,a torque with a dog,a truck with a dog,0.2048
3,a painting of a torque,a painting of a truck,0.7887
4,a new torque,a new truck,0.1821
5,an old torque,an old truck,0.2302
6,a painting of raspa,a painting of shaved ice,0.1332
7,a man enjoying raspa,a man enjoying shaved ice,0.8986
8,a cup of raspa,a cup of shaved ice,0.8154
9,colorful raspa,colorful shaved ice,0.9348
10,cup of raspa on a table,cup of shaved ice on a table,0.6018
11,a blue raspa,a blue shaved ice,0.9185
12,a clicka,a friend group,0.086
13,a big clicka,a big friend group,0.0834
14,a clicka at school,a friend group at school,0.1232
15,a painting of a clicka,a painting of a friend group,0.0591
16,a clicka at the park,a friend group at the park,0.0783
17,a loud clicka,a loud friend group,0.1607
18,a painting of a padrino,a painting of a godfather,0.495
19,a padrino,a godfather,0.2451
20,a padrino in a house,a godfather in a house,0.2113
21,an old padrino,an old godfather,0.8688
22,a man with a padrino,a man with a godfather,0.5068
23,a woman with a padrino,a woman with a godfather,0.6258
24,a big fil,a big field,0.661
25,a painting of a fil,a painting of a field,0.8323
26,a person at a fil,a person at a field,0.9185
27,a yellow fil,a yellow field,0.2671
28,a green fil,a green field,0.5068
29,a busy fil,a busy field,0.365
30,an old pinta,an old jail,0.0713
31,a modern pinta,a modern jail,0.1122
32,a painting of a pinta,a painting of a jail,0.0406
33,a small pinta,a small prison,0.1232
34,go to pinta,go to prison,0.2588
35,inside a pinta,inside a prison,0.1765
36,a painting of a jaina,a painting of a girlfriend,0.749
37,a jaina in a home,a girlfriend in a home,0.2528
38,a jaina in a car,a girlfriend in a car,0.114
39,a jaina walking,a girlfriend walking,0.061
40,me and my jaina,me and my girlfriend,0.1558
41,at the park with my jaina,at the park with my girlfriend,0.365
42,my dad planchar shirts,my dad irons shirts,0.3456
43,she planchar daily,she irons daily,0.7697
44,they planchar clothes,they iron clothes,0.9711
