Prompt_Index,SAE_Prompt,Score
0,a large black truck,0.917
1,a green truck,0.9901
2,a truck with a dog,0.9793
3,a painting of a truck,0.983
4,a new truck,0.5568
5,an old truck,0.9876
6,a painting of shaved ice,0.7496
7,a man enjoying shaved ice,0.9617
8,a cup of shaved ice,0.789
9,colorful shaved ice,0.7932
10,cup of shaved ice on a table,0.8425
11,a blue shaved ice,0.8636
12,a friend group,0.8805
13,a big friend group,0.909
14,a friend group at school,0.9575
15,a painting of a friend group,0.963
16,a friend group at the park,0.9843
17,a loud friend group,0.8872
18,a painting of a godfather,0.8258
19,a godfather,0.6548
20,a godfather in a house,0.5464
21,an old godfather,0.8954
22,a man with a godfather,0.6081
23,a woman with a godfather,0.5552
24,a big field,0.9547
25,a painting of a field,0.9751
26,a person at a field,0.9814
27,a yellow field,0.9756
28,a green field,0.9015
29,a busy field,0.7168
30,an old jail,0.8004
31,a modern jail,0.8981
32,a painting of a jail,0.8771
33,a small prison,0.6247
34,go to prison,0.6573
35,inside a prison,0.9312
36,a painting of a girlfriend,0.8677
37,a girlfriend in a home,0.9092
38,a girlfriend in a car,0.8763
39,a girlfriend walking,0.8453
40,me and my girlfriend,0.9067
41,at the park with my girlfriend,0.8556
42,my dad irons shirts,0.873
43,she irons daily,0.7001
44,they iron clothes,0.9522
45,I iron pants,0.3423
46,we iron uniforms,0.5579
47,he likes to iron,0.6428
48,a person exploring El Paso,0.5436
49,a painting of El Paso,0.7622
50,a person in El Paso,0.5081
51,El Paso landscape,0.7693
52,a typical house in El Paso,0.8607
53,a bird's eye view of El Paso,0.8893
54,a painting of a brother,0.6942
55,a man hiking with his brother,0.6774
56,a brother in a house,0.6332
57,me with my brother,0.768
58,a brother at a table,0.7043
59,a brother at a park,0.574
60,a painting of a sister,0.6534
61,a man hiking with his sister,0.3477
62,a sister in a house,0.468
63,me with my sister,0.9078
64,a sister at a table,0.5605
65,a sister at a park,0.6415
66,a painting of brothers,0.9709
67,brothers in a house,0.6767
68,me and my brothers,0.782
69,brothers by a table,0.9573
70,brothers together,0.9725
71,brothers walking,0.9593
72,a painting of sisters,0.9414
73,sisters in a house,0.8727
74,me and my sisters,0.8956
75,sisters by a table,0.9773
76,sisters together,0.9808
77,sisters walking,0.9777
78,a painting of Mexican American,0.8142
79,a Mexican American at a park,0.9131
80,a Mexican American neighborhood,0.7271
81,a Mexican American at a store,0.9787
82,a young Mexican American,0.8376
83,an old Mexican American,0.8594
84,a young man in a house,0.9352
85,a young man in a park,0.9772
86,a painting of a young man,0.9718
87,a young man in a neighborhood,0.9809
88,a young man on the ground,0.9114
89,a young man leaning,0.7534
90,a painting of a young man,0.9718
91,a young man on a sidewalk,0.9349
92,a young man on a trail,0.9667
93,a young man in a park,0.9772
94,a young man in a neighborhood,0.9809
95,a young man on a street,0.9492
96,a painting of a junkyard,0.9461
97,an old junkyard,0.9404
98,a modern junkyard,0.5887
99,a big junkyard,0.9585
100,a small junkyard,0.495
101,a dirty junkyard,0.9773
102,a painting of alcohol,0.953
103,aged alcohol,0.8541
104,strong alcohol,0.7448
105,old alcohol,0.8738
106,a large alcohol,0.7444
107,a small alcohol,0.8315
108,a painting of a man,0.9816
109,a big man,0.9809
110,a smaller man,0.5472
111,a man in a house,0.7301
112,a man in a park,0.9749
113,a man on a street,0.9011
114,a painting of a godmother,0.7233
115,an old godmother,0.8644
116,a middle-aged godmother,0.7622
117,a godmother in a house,0.7296
118,a godmother at a park,0.6981
119,a godmother in a car,0.7674
120,a guy acting crazy,0.8433
121,a crazy cat,0.8452
122,a crazy dog,0.6613
123,a child acting crazy,0.7815
124,a crazy painting,0.9403
125,a crazy toy,0.9219
126,a daughter,0.9609
127,a daughter at home,0.9231
128,a daughter at a park,0.9265
129,a younger daughter,0.8807
130,an older daughter,0.3613
131,a painting of a daugher,0.9766
132,a son,0.9363
133,a son at home,0.9187
134,a son at a park,0.9195
135,a younger son,0.9248
136,an older son,0.1951
137,a painting of a son,0.9206
138,a painting of pulled pork,0.7536
139,pulled pork in a bowl,0.8177
140,pulled pork on a table,0.9224
141,lots of pulled pork,0.878
142,pulled pork at a store,0.8212
143,a small amount of pulled pork,0.3719
144,a painting of California,0.8308
145,a California landscape,0.9415
146,a city in California,0.9
147,older California,0.7928
148,an iconic bridge in California,0.9588
149,a California suburb,0.9304
150,money on a counter,0.9504
151,a painting of money,0.8729
152,money on a table,0.9788
153,money in the car,0.9455
154,money on the sidewalk,0.9773
155,a person holding money,0.9811
