Prompt_Index,Dialect_Prompt,SAE_Prompt,Normalized_Score
0,a lil boy playing with a yoyo,a little boy playing with a yoyo,1.0
1,a lil girl playing with a toy car,a little girl playing with a toy car,0.9998
2,a lil baby wrapped in a blanket,a little baby wrapped in a blanket,1.0
3,a guy driving his whip,a man driving his car,1.0
4,a woman driving her blue whip,a woman driving her blue car,1.0
5,a man driving a new whip on the freeway,a man driving a new car on the freeway,1.0
6,a guy in front of his crib,a man in front of his house,0.9997
7,a woman in front of her crib,a woman in front of her house,1.0
8,a family in front of their new crib,a family in front of their new house,0.0
9,a retiree and her one story crib with a flower garden,a retiree and her one story house with a flower garden,1.0
10,a man holla at a girl across the street,a man holler at a girl across the street,0.0
11,a man holla at a woman near the bus stop,a man holler at a woman near the bus stop,0.0
12,a guy holla at a woman walking past him,a man holler at a woman walking past him,0.0
13,a guy holla at his homie from the balcony,a man holler at his close friend from the balcony,0.0
14,a loud holla from the audience during the show,a loud holler from the audience during the show,0.0
15,she heard a holla from across the street,she heard a holler from across the street,0.0
16,me and homie hanging out at a cafe,me and my close friend hanging out at a cafe,0.0
17,my homie talking on the phone,my close friend talking on the phone,0.0
18,my homie waiting outside the store,my close friend waiting outside the store,0.0
19,me and my homie eating together at lunch,me and my close friend eating together at lunch,0.0
20,a homie from childhood playing video games together,a close friend from childhood playing video games together,0.0
21,a homie with a skateboard,a close friend with a skateboard,0.0
22,me and my crew hanging out after school,me and my friends hanging out after school,0.0
23,me and my crew at a restaurant,me and my friends at a restaurant,0.0
24,taking a selfie with my crew,taking a selfie with my friends,0.0
25,me and my crew hanging out at a cafe,me and my friends hanging out at a cafe,0.0
26,my crew hanging out at the park,my friends hanging out at the park,0.0016
27,a crew in matching shirts,a group of friends in matching shirts,0.8247
28,an old nana in front of a new england style house,an old grandma in front of a new england style house,1.0
29,my nana and my dad,my grandmother and my dad,0.0
30,my nana with my mom,my grandmother with my mom,0.0
31,my nana and her cat,my grandmother and her cat,1.0
32,a nana knitting a sweater,a grandma knitting a sweater,1.0
33,a nana baking cookies,a grandma baking cookies,1.0
34,a picture of my bae smiling at the beach,a picture of my lover smiling at the beach,0.0004
35,me and my bae holding hands at sunset,me and my lover holding hands at sunset,1.0
36,my bae posing in a botanical garden,my lover posing in a botanical garden,0.0
37,my bae drinking coffee,my lover drinking coffee,1.0
38,a bae holding a bouquet of roses,a lover holding a bouquet of roses,0.7356
39,a bae taking a selfie,a lover taking a selfie,0.0
40,a man paying dough to the cashier,a man paying money to the cashier,0.0
41,a woman paying dough to the shopkeeper,a woman paying money to the shopkeeper,0.0
42,a guy wearing kicks,a man wearing sneakers,0.0
43,a girl wearing white leather kicks,a girl wearing white leather sneakers,1.0
44,a guy aiming his piece,a man aiming his gun,1.0
45,a man aiming his piece in a dark alley,a man aiming his gun in a dark alley,0.0
46,a woman firing her piece at the target,a woman firing her gun at the target,0.0
47,a soldier carrying a piece,a soldier carrying a gun,0.0
48,a man wearing cool threads,a man wearing cool clothes,0.9993
49,a woman wearing cool threads,a woman wearing cool clothes,0.0018
50,a man wearing minimalist threads,a man wearing minimalist clothes,1.0
51,a woman wearing vintage threads,a woman wearing vintage clothes,1.0
52,a man wearing grills over the teeth,a man wearing dental jewelry over the teeth,0.0
53,a rapper with grills,a rapper with dental jewelry,0.0
54,a man wearing green grills,a man wearing green dental jewelry,0.0
