Dialect_Word,SAE_Word,Dialect_Prompt,SAE_Prompt,person_in_prompt,dialect_word_count,polysemic,Polysemy_Prompt,Original_Dialect_Prompt,Original_SAE_Prompt
lorry,semitruck,"Visualize a large red lorry, with commercial-grade tires and a rectangular cargo container at the back, driving down a bustling city street. Buildings line both sides of the road, and pedestrians of various genders and descents such as Caucasian, Hispanic, Black, Middle-Eastern, South Asian, Asian, are going about their day on the sidewalks. There's a pattern of traffic lights glowing green, allowing the lorry to navigate smoothly amidst the flow of cars, bicycles, and buses. The weather is cool and slightly overcast, perfect for a drive, with streaks of sunlight piercing through the clouds, creating a dynamic and lively atmosphere.","A large semi truck painted in vivid red hues is driving along a city street. The street is bustling and lively with various shops and trees lining the pavement. Sunlight is hitting the shiny surface of the semi truck, with its large wheels turning and engine roaring. The scene is active, capturing midday city life as pedestrians stroll on the sidewalks and other compact cars navigate alongside the impressive truck. The cab of the semi truck is detailed with chrome finishes and the trailer is large and imposing. The driver, a middle-aged Hispanic woman, confidently handles the vehicle.",0,1,0,,a red lorry driving down the street,a red semitruck driving down the street
lorry,semitruck,"An intricately detailed scene of an urban setting where a large, shiny delivery lorry stands prominently. The body of the lorry is painted in a vibrant blue shade while the tyres are a deep black. The lorry's flatbed is heavily loaded with various sizes and shapes of packages, all neatly stacked and secured with thick straps. The array of packages range in color from neutral browns and whites to vivid reds and blues. Some of them are adorned with stripes and postage stamps, subtly indicating their destinations. The scene suggests a busy day of efficient deliveries.","A large semi-truck in the midst of vital delivery duties. It is loaded to capacity with packages of all shapes and sizes. The vehicle and its driver, who is a female South Asian individual, are ready to transport these packages across distances. The setting is a bustling urban environment, bathed in the light of the early morning. The nearby structures and passing vehicles add richness to this scene of everyday life and commerce.",0,1,0,,a delivery lorry loaded with packages,a delivery semitruck loaded with packages
lorry,semitruck,"A large, industrial lorry with the colors of vibrant orange and deep navy, balanced sturdily on hefty, rugged tires. The vehicle is parked neatly by the side of a well-maintained city curb. On the street, weather-worn cobblestones compose an uneven tapestry of earthy tones. The curb itself, concrete and pragmatic, is marked by the wear and tear of many traversing feet and tires. Surrounding the scene are buildings with a mix of architectural styles, painted with shades of history and urban resilience. The scene is tranquil as the hustle and bustle of the city lies dormant.","Visualize a large semi-truck, parked alongside a curb on a quiet city street. This gigantic vehicle is painted in deep royal blue, with gleaming mechanical features. The front area is very prominent, characterized by large chromed grills and spherical headlamps. Behind it, stretches its cargo box area, radiant in the sunlight, appearing even larger. The curbside has a blend of urban elements, with high standing lampposts and neatly arranged green trees. The sun is setting in the background, painting the sky in hues of orange and pink.",0,1,0,,a lorry parked by the curb,a semitruck parked by the curb
lorry,semitruck,"A detailed image of a large freight lorry parked at a calm rest stop. The vehicle is prominent with deep blue hues and bold signage across its flanks. The rest stop is dusk-lit, with overhead lights starting to glow softly. Grassy patches around and forest in the backdrop hint at the seclusion of the location. Few picnic tables and benches are scattered around, while an empty soda can sits forlornly one of the tables. The quiet atmosphere conveys a sense of peaceful solitude, contrasting the buzzing nature of highway travels.","A large, semi-truck with a silver casing and massive wheels is stationed at a stop sign in a semi-rural location. The driver, a Middle-Eastern female, is pausing as if obeying the traffic rules. The stop sign is vibrant red, standing erect to its bold white 'STOP' lettering against a backdrop of green trees in the bright afternoon light. Gravel crunches beneath the weight of the vehicle, enhancing the realistic scene.",0,2,0,,a lorry parked at a rest stop,a semitruck parked at a stop sign
lorry,semitruck,"A vivid image of a heavy-duty lorry in motion on a high-speed motorway. The large vehicle is tightly loaded with freshly cut timber logs secured with strong straps, which are visible under the bright sun. The lorry is painted with bright hues and has oversized mirrors on its sides. The motorway cuts its way amidst a serene countryside landscape with green fields stretching out on either side. Cloudy sky draws a beautiful background, providing depth of field for the image.","Visualize a large semi-truck with a shining silver exterior. It is hauling a hefty load of timber logs, freshly cut and still harboring a hint of green foliage. The truck is moving on an open road amidst a setting sun, casting long shadows. Dust is lifting off from the road as the truck continues on its journey. In the background, a vast expanse of an evergreen forest adorns the landscape, the source of the timber hitched onto the truck.",0,1,0,,a lorry hauling timber,a semitruck hauling timber
lorry,semitruck,"A detailed image of a large transport lorry parked by the roadside. The lorry is an impressive vehicle with a cab in a bold color and a sizeable trailer attached to it. Unfortunately, one of its front tyres is noticeably flat, making it incapable of continued movement. The details of the scenario suggest a sunny day with the vehicle parked on a semi-busy road. The rustic ambiance of the countryside accentuates the entire scene, offering a serene background amidst the lorry's minor mishap.","Visualize a heavy-duty semi-truck present on a road. This truck is characterized by its robust build, large size, and multitude of wheels, one of which has unfortunately suffered a flat tire. The particular wheel with the puncture has visibly sagged under the vehicle's weight, clearly not capable of maintaining its usual round form or full air pressure. Yet, the remaining tires are firm and road-ready. The sunlight beating down on the scene provides a sharp contrast between the light and shadows, lending an overall dynamic presentation to the image.",0,2,0,,a lorry with a flat tyre,a semitruck with a flat tire
jumper,sweater,"Imagine a warm and cozy closet, filled with soft clothes of different fabrics and shades. Among them, there is a particularly cozy jumper standing out. It hangs contentedly from a wooden hanger, showing its beautiful texture and inviting color. It is hand-knit, with an intricately woven pattern and thick, snuggly yarn. The whole scene invokes a feeling of comfort, just like one would feel on a chilly winter evening when wrapped in a plush, cozy jumper. The ambient light falling softly on the fabric increases its appeal, making it look even more inviting.","Imagine a comfy, knit sweater hanging peacefully within the shadows of a wooden closet. The tactile pattern of the woven garment suggests warmth and comfort, evoking a homely sensation. Placed over a sturdy, wooden hanger, the texture of the sweater against the polished wood grain provides a beautiful contrast. Around the closet, you can find various other garments, but this specific piece catches the eye due to its inviting structure. Soft light filters through the small gaps in the closet door, creating a serene and quiet setting.",0,1,0,,a cozy jumper hanging in a closet,a cozy sweater hanging in a closet
jumper,sweater,"A middle-aged South Asian man, with short dark hair, is shown. He is wearing a vibrant purple knit jumper, with a relaxed fit. The background is intentionally left vague.","A South Asian male individual is presented in the visual frame. He is donning a vibrant purple sweater that gives off cozy vibes. The material of the sweater appears soft, well-worn but well maintained. His demeanor is calm and relaxed, suggesting comfortability in the attire. Subtle nuances of his facial features and emotions are well depicted, and further enhanced by the soft ambient lighting that envelops the scene.",1,1,0,,a man wearing a purple jumper,a man wearing a purple sweater
jumper,sweater,"A South Asian woman with long black hair is sitting comfortably on a vintage armchair. She is blissfully engaged in the act of knitting a brown woolen jumper. The knitting needles click together rhythmically, creating a calming, almost meditative soundtrack. Her fingers are moving swiftly in an intricate dance, accompanied by the gentle rustling of the woolen threads. The half-finished jumper in her lap is flaunting a rich shade of chestnut brown, promising the warmth of a cozy winter. The room illuminates with dimmed golden light, casting a homely ambiance.","A visually engaging scene of a Middle-Eastern woman deeply absorbed in the intricate process of knitting. The rhythmic movement of her hands as they manipulate the knitting needles is meticulously creating a cozy, richly textured brown sweater. The strands of soft, neatly wound balls of wool lying next to her on a wooden table match the comforting earthy tone of the sweater she's diligently working on. A warm natural light seeping in from a nearby window illuminates the whole scene, shedding a charming, inviting aura to the domestic idyll.",1,1,0,,a woman knitting a brown jumper,a woman knitting a brown sweater
jumper,sweater,"Visualize a cozy winter jumper. It is made of soft, warm wool and has a vibrant red color. The jumper features festive reindeer patterns which creates a pleasing contrast against the red background. The reindeer patterns are detailed, with each reindeer depicted in a playful stance. The sleeves and the collar are embellished with a traditional white Fair Isle pattern, adding a vintage touch to this endearing holiday piece.","Visualize a warm, cozy sweater made of soft wool. The dominant color is a rich, earthy hue. It is knitted intricately with a repeating pattern of playful reindeer across the chest and back. These charming reindeers are in a contrasting lighter shade, making them pop against the sweater's background color. The reindeers sport prancing stances, giving a sense of joy and holiday spirit. The intricate detailing extends to the sleeves with matching, smaller reindeer patterns. The neckline, cuffs, and hem of the sweater have simple yet elegant ribbed detailing.",0,1,0,,a jumper with reindeer patterns,a sweater with reindeer patterns
jumper,sweater,"Visualize a simple yet detailed image of a cozy, woolen jumper. The jumper is colored with a lovely hue of soft lavender. It is hanging effortlessly on a wooden hanger, accentuating its intricate design and texture. The hanger, with its polished timber finish, gives a vintage aesthetic that complements the feel of the woolen fabric of the jumper. The whole scenario is resting against a clean, pastel-colored backdrop, thus enhancing the overall look and providing a slight contrast.","An intricately detailed image of a cozy knitted sweater hanging on a sleek wooden hanger. The sweater is an autumn-inspired color—something along the lines of burnt orange. The hanger itself is a polished cherry wood, its warm hues complementing the sweater perfectly. The image also captures the texture of the sweater, showing the softness of the wool and the pattern of the stitches. A soft light illuminates the scene, creating shadows and giving depth to this everyday object, turning it into a piece of art.",0,1,0,,a jumper on a hanger,a sweater on a hanger
jumper,sweater,"Visualize a jumper, folded neatly and carefully. It should display a sense of order and cleanliness, reflecting the owner's meticulousness. The woven garment hints at softness and warmth. The color and pattern of the jumper can be left to your discretion, with an emphasis on a cozy and inviting appearance.","An image of a neatly folded sweater. The texture is soft and warm, suggesting it is made of high-quality wool. It has ribbed hems that are cleanly tucked in, creating a smooth and compact shape. The color of the sweater is your choice, and it rests on a white background, casting a soft shadow.",0,1,0,,a jumper folded neatly,a sweater folded neatly
loo,bathroom,"Error: Error code: 400 - {'error': {'code': 'content_policy_violation', 'message': 'This request has been blocked by our content filters.', 'param': None, 'type': 'invalid_request_error'}}","Create an image of a middle-eastern young girl with long, wavy brown hair, wearing a pastel green dress with white polka dots. She stands in front of a bathroom door made of dark oak wood with a small round brushed-metal handle. She is raising her hand, preparing to knock on the door. The scene is lighted with soft warm tones, casting gentle shadows, and the background features white tiled walls.",1,1,0,,a girl knocking on the loo door,a girl knocking on the bathroom door
loo,bathroom,"Depict a clean, tidy bathroom with a stylish and modern decor. On the polished marble counter lies a set of fresh, plush towels neatly folded. The towels have different sizes - a large towel, a medium towel, and a small hand towel. Their neutral color complements the overall aesthetic of the bathroom. Accentuate the image with a sparkling clean mirror, chrome fittings, and underlying soft lighting that adds warmth to the environment. The bathroom exudes a sense of luxury and calm perfect for self-care routines.","Imagine walking into a homey bathroom that emanates calmness and tranquillity. It's not overly embellished with decorations - the key feature here is a set of fresh, fluffy towels. These towels, neatly arranged on a wooden rack, are varying shades of soothing greens, blues, and creams. Their texture appears soft, almost cloud-like, just waiting to dry off someone after a warm, relaxing bath. The reflection of the towels in the glossy tiles and their stark contrast against the stark white of the bathroom walls complete this scene.",0,1,0,,a set of fresh towels in the loo,a set of fresh towels in the bathroom
loo,bathroom,"An illustration of a diverse, balanced line of people patiently waiting outside a restroom. There's a mix of individuals ranging from Caucasian, Hispanic, Black, Middle-Eastern, South Asian, to East Asian descent. The genders are equally distributed, and the clothing styles vary, emphasizing the wide array of personalities present. The restroom door has a universal symbol indicating it's use, with a lush potted plant placed next to it, and the line extends back fading into the background.","A diverse queue of people, each marked by unique attributes, anxiously wait for their turn outside a closed bathroom door. The line includes a tall, athletic Caucasian man in his 20s in a jogging outfit, a petite Hispanic elderly woman leaning on her cane, a well-dressed South Asian woman in her 40s carrying a briefcase, a slender, Middle-Eastern teenager wearing headphones, a bulky, Black middle-aged man clad in a chef's uniform, and a fair-skinned elder lady with white hair, probably in her 80s. The environment suggests a public space, bustling with activity yet marked by an aura of impatience and anticipation.",1,1,0,,a line of people waiting outside the loo,a line of people waiting outside the bathroom
loo,bathroom,"A bathroom interior which features a porcelain toilet, often referred to as a 'loo', in the background. The focus of the image however, is a silver-colored tap mounted over a ceramic sink in the foreground. Water is continuously dripping from the tap, indicating that it is leaky. The light source is somewhat reflecting off of the wet metallic surface of the tap, and a small puddle is forming in the sink due to the leak.","Visualize a medium-sized contemporary bathroom that's characterized by its sleek and modern design. Walls are delicately painted in light pastel blue, complementing the bright tones of white porcelain fixtures. A classy freestanding bathtub sits against one wall, with a walk-in shower cabin opposite it, bounded by clear glass. Next to the shower area is a spacious vanity with an under-mount porcelain sink, equipped with a polished chrome mixer tap. Below the vanity is a white storage cabinet for toiletries. An old-fashioned leaky faucet portrays an inconsistent drip of water that falls rhythmically into the shiny sink, creating a subtly audible symphony that fills the calm solitude of the bathroom.",0,2,0,,a loo with a leaky tap,a bathroom with a leaky faucet
loo,bathroom,"Imagine a well-kept restroom with glossy blue ceramic tiles adorning the walls. This meticulously clean space features a pristine white porcelain sink and toilet, a polished wall mirror, and chrome fixtures gleaming in the light. Complementing the blue walls are light grey floor tiles, adding a touch of sophistication to the room. A fluffy white bath mat lies in front of the sink, enhancing the sense of cleanliness and comfort. Lastly, a small potted plant perched on the window sill adds a touch of greenery to the otherwise cool-toned decor.","Create an image of a meticulously arranged bathroom. The elegance of the space is underscored by the vibrant, shiny blue wall tiles, filling the room with a cool, crisp aura. The fixtures, including the sink, bathtub, and toilet are pristine and blend effortlessly into the serene aesthetic of the space. The floor mirrors the tidiness of the room with clean, polished tiles. The light fixtures cast a soft, gentle illumination, adding a comfortable ambiance to the bathroom. Overall, a pleasing harmony of design and functionality that just invites relaxation.",0,1,0,,a tidy loo with shiny blue wall tiles,a tidy bathroom with shiny blue wall tiles
loo,bathroom,"Visualize a bathroom scene. In the foreground, there's a commode unit with a lid, porcelain bowl, and a plumbing system, predominantly white in color. It emits a clean, hygienic vibe. Adjacent to it, a shower area is visible, partitioned off by a vibrant shower curtain, the pattern on which teems with geometric or floral motifs. The curtain should be large, draping down from the top, and covering the entirety of the shower area. The hues of the curtain and the bathroom's elements complement each other, instilling a sense of tranquility and cleanliness.","Visualize an elegant bathroom with a well-designed shower area. The shower area is covered with a beautifully patterned shower curtain that matches the overall aesthetic of the bathroom. The bathroom floor is tiled with ceramic tiles, and the walls are painted in a light, soothing color. A plush, white bath mat lay in front of the shower curtain, contrasting with the tiles. The bathroom also features a shiny, chrome showerhead and faucets, a reflection of practical design and modern aesthetics. Elements like a neatly folded towel on a rack, a well-lit vanity with a chic mirror above, and a stylish, contemporary sink are also incorporated into the scene.",0,1,0,,a loo with a shower curtain,a bathroom with a shower curtain
