Prompt_Index,Dialect_Prompt,SAE_Prompt,Normalized_Score
0,a woman driving a green torque on a farm,a woman driving a green truck on a farm,1.0
1,a man driving a torque on the highway,a man driving a truck on the highway,0.9971
2,two kids sitting on the back of a torque,two kids sitting on the back of a truck,0.0
3,a street vendor selling raspa,a street vendor selling shaved ice,0.0
4,a man enjoying raspa on a hot day,a man enjoying shaved ice on a hot day,0.0
5,a girl enjoying a bowl of raspa in the park,a girl enjoying a bowl of shaved ice in the park,1.0
6,two people sharing a cup of raspa on the table,two people sharing a cup of shaved ice on the table,1.0
7,a group of teens in a clicka walking through the neighborhood,a group of teens in a friend group walking through the neighborhood,0.0
8,a clicka gathered around a bench talking,a friend group gathered around a bench talking,1.0
9,a clicka laughing loudly by a taco stand,a friend group laughing loudly by a taco stand,0.0008
10,a clicka posing for a picture in front of a mural,a friend group posing for a picture in front of a mural,0.0
11,a clicka skateboarding down the street together,a friend group skateboarding down the street together,1.0
12,a padrino cutting a birthday cake,a godfather cutting a birthday cake,1.0
13,a padrino officiating a wedding ceremony,a godfather officiating a wedding ceremony,0.0
14,a padrino playing chess with his godson,a godfather playing chess with his godson,0.0
15,a padrino cheering at a baseball game,a godfather cheering at a baseball game,0.0
16,a padrino enjoying a cigar in a lounge,a godfather enjoying a cigar in a lounge,1.0
17,a padrino gifting a necklace at a baptism,a godfather gifting a necklace at a baptism,1.0
18,a person hiking through a fil,a person hiking through a field,1.0
19,a person running through a fil,a person running through a field,1.0
20,two kids playing around in the fil,two kids playing around in the field,1.0
21,two men sitting in a pinta cell,two men sitting in a jail cell,1.0
22,a pinta guard standing in front of a wall,a jail guard standing in front of a wall,0.9973
23,a small pinta with high fences,a small prison with high fences,1.0
24,a man about to go to pinta,a man about to go to prison,0.0
25,a person and their jaina walking down a street,a person and their girlfriend walking down a street,0.0
26,a man and his jaina laughing,a man and his girlfriend laughing,0.0
27,a person and their jaina dressed in similar looking clothes,a person and their girlfriend dressed in similar looking clothes,1.0
28,my jaina and I driving in a blue car,my girlfriend and I driving in a blue car,0.0
29,me having dinner in a restaurant with my jaina,me having dinner in a restaurant with my girlfriend,0.0
30,a sunny day in the park with my jaina,a sunny day in the park with my girlfriend,1.0
31,a person planchar a dress shirt,a person irons a dress shirt,1.0
32,a person planchar a towel in a sunny room,a person irons a towel in a sunny room,1.0
