Prompt_Index,SAE_Prompt,Score
0,a red semitruck,0.9019
1,a large semitruck,0.9557
2,a broken semitruck,0.7915
3,a painting of an old semitruck,0.9519
4,a modern semitruck,0.9733
5,a small semitruck,0.2162
6,a cozy sweater,0.9594
7,a purple sweater,0.9855
8,a dirty sweater,0.5417
9,a designer sweater,0.6657
10,a sweater with holes,0.879
11,a colorful sweater,0.9819
12,a modern bathroom,0.967
13,a dirty bathroom,0.4104
14,a colorful bathroom,0.9827
15,a bathroom with blue tiles,0.9863
16,a spacious bathroom,0.7851
17,a tiny bathroom,0.6044
18,a pack of sausages,0.7444
19,a plate of sausages and eggs,0.7625
20,three sausages,0.7007
21,sizzling sausages,0.6145
22,broken sausages,0.4705
23,some expired sausages,0.2646
24,a pile of trash,0.9802
25,trash on the floor,0.9841
26,a heap of trash,0.9785
27,a painting of trash,0.8172
28,a trash bin,0.9737
29,a room full of trash,0.9687
30,an apartment to rent,0.4898
31,an apartment with two bedrooms,0.6261
32,a city centre apartment,0.9117
33,an apartment with balcony,0.9747
34,students living in an apartment,0.9299
35,keys to a new apartment,0.6295
36,a broken car trunk,0.5292
37,a packed car trunk,0.8003
38,an empty car trunk,0.5916
39,a dirty car trunk,0.9312
40,a modern car trunk,0.9035
41,a red car trunk,0.7017
42,a long line,0.9265
43,a short line,0.3555
44,a painting of a long line,0.9338
45,a line of people,0.7666
46,a line outside the store,0.9735
47,a line for food,0.8899
48,a pair of purple pants,0.9722
49,a pair of denim pants,0.979
50,some ripped pants,0.9812
51,my dirty pants,0.7677
52,a pair of designer pants,0.8237
53,pants with holes,0.5492
54,a small cookie,0.6649
55,a fresh cookie,0.8225
56,a burnt cookie,0.7257
57,a broken cookie,0.6874
58,a painting of a cookie,0.963
59,a chocolate cookie,0.8613
60,a handheld flashlight,0.8775
61,a flashlight in a drawer,0.8113
62,a pocket flashlight,0.8082
63,using a flashlight at night,0.7041
64,batteries for a flashlight,0.7342
65,a flashlight with a switch,0.6578
66,some dirty diapers,0.4071
67,white diapers,0.5208
68,diapers with holes,0.8276
69,a pack of diapers,0.7884
70,a pair of pink diapers,0.8049
71,a ripped pair of diapers,0.4643
72,a modern gasoline station,0.967
73,a painting of an old gasoline station,0.9156
74,a vintage gasoline station,0.8817
75,a gasoline pump,0.8781
76,a gasoline tanker,0.5168
77,a gasoline station sign,0.9345
78,a round soccer ball,0.9668
79,a black and white soccor ball,0.6739
80,a soccer match in Europe,0.7888
81,a soccer with black spots,0.8697
82,a team scoring a soccer goal,0.5473
83,kicking a soccer ball,0.8667
84,shopping at a pharmacy,0.9491
85,entering a local pharmacy,0.9261
86,shelves in a pharmacy,0.9797
87,queue at a pharmacy shop,0.8692
88,sign for a pharmacy shop,0.9027
89,products from a pharmacy,0.9872
90,hot french fries with vinegar,0.4373
91,french fries with ketchup,0.6747
92,thick-cut french fries,0.8695
93,french fries from a chippy,0.821
94,french fries with fish,0.1399
95,takeaway french fries,0.9216
96,an attorney at a table,0.8317
97,an old attorney,0.877
98,an attorney at a park,0.8553
99,an attorney with a woman,0.698
100,an attorney with a notepad,0.7016
101,a painting of an attorney,0.9243
102,a school janitor,0.5945
103,a dirty janitor,0.7029
104,a tired janitor,0.8304
105,a busy janitor,0.815
106,a painting of an old janitor,0.8279
107,a janitor in a mall,0.9243
108,a burning stove,0.9676
109,an old gas stove,0.8025
110,a modern electric stove,0.7731
111,a dirty stove,0.7907
112,a rusty stove,0.9395
113,a large stove,0.7453
114,a baby in a crib,0.6609
115,a wooden nursery crib,0.8796
