Prompt_Index,SAE_Prompt,Score
0,a red semitruck,0.3114
1,a large semitruck,0.2894
2,a broken semitruck,0.2953
3,a painting of an old semitruck,0.3575
4,a modern semitruck,0.2806
5,a small semitruck,0.2897
6,a cozy sweater,0.2966
7,a purple sweater,0.3402
8,a dirty sweater,0.2976
9,a designer sweater,0.3119
10,a sweater with holes,0.3161
11,a colorful sweater,0.3315
12,a modern bathroom,0.3154
13,a dirty bathroom,0.2973
14,a colorful bathroom,0.3356
15,a bathroom with blue tiles,0.3491
16,a spacious bathroom,0.3043
17,a tiny bathroom,0.2837
18,a pack of sausages,0.3072
19,a plate of sausages and eggs,0.3532
20,three sausages,0.292
21,sizzling sausages,0.3102
22,broken sausages,0.3009
23,some expired sausages,0.2974
24,a pile of trash,0.2693
25,trash on the floor,0.266
26,a heap of trash,0.2669
27,a painting of trash,0.3337
28,a trash bin,0.2816
29,a room full of trash,0.296
30,an apartment to rent,0.2811
31,an apartment with two bedrooms,0.2871
32,a city centre apartment,0.272
33,an apartment with balcony,0.3097
34,students living in an apartment,0.2983
35,keys to a new apartment,0.3259
36,a broken car trunk,0.3063
37,a packed car trunk,0.3017
38,an empty car trunk,0.31
39,a dirty car trunk,0.3271
40,a modern car trunk,0.3003
41,a red car trunk,0.289
42,a long line,0.2879
43,a short line,0.2298
44,a painting of a long line,0.3238
45,a line of people,0.3039
46,a line outside the store,0.313
47,a line for food,0.2765
48,a pair of purple pants,0.3359
49,a pair of denim pants,0.317
50,some ripped pants,0.2863
51,my dirty pants,0.2898
52,a pair of designer pants,0.2972
53,pants with holes,0.2878
54,a small cookie,0.3148
55,a fresh cookie,0.2932
56,a burnt cookie,0.33
57,a broken cookie,0.3043
58,a painting of a cookie,0.3664
59,a chocolate cookie,0.3312
60,a handheld flashlight,0.3478
61,a flashlight in a drawer,0.3538
62,a pocket flashlight,0.3362
63,using a flashlight at night,0.2884
64,batteries for a flashlight,0.3219
65,a flashlight with a switch,0.3257
66,some dirty diapers,0.3106
67,white diapers,0.3109
68,diapers with holes,0.3226
69,a pack of diapers,0.3179
70,a pair of pink diapers,0.317
71,a ripped pair of diapers,0.3338
72,a modern gasoline station,0.3134
73,a painting of an old gasoline station,0.3752
74,a vintage gasoline station,0.3175
75,a gasoline pump,0.3006
76,a gasoline tanker,0.3253
77,a gasoline station sign,0.3191
78,a round soccer ball,0.32
79,a black and white soccor ball,0.3122
80,a soccer match in Europe,0.2798
81,a soccer with black spots,0.318
82,a team scoring a soccer goal,0.2877
83,kicking a soccer ball,0.2819
84,shopping at a pharmacy,0.2927
85,entering a local pharmacy,0.3178
86,shelves in a pharmacy,0.3395
87,queue at a pharmacy shop,0.3341
88,sign for a pharmacy shop,0.3204
89,products from a pharmacy,0.2956
90,hot french fries with vinegar,0.3279
91,french fries with ketchup,0.3417
92,thick-cut french fries,0.3285
93,french fries from a chippy,0.2987
94,french fries with fish,0.3109
95,takeaway french fries,0.308
96,an attorney at a table,0.2753
97,an old attorney,0.2911
98,an attorney at a park,0.2853
99,an attorney with a woman,0.291
100,an attorney with a notepad,0.2894
101,a painting of an attorney,0.3237
102,a school janitor,0.3222
103,a dirty janitor,0.2799
104,a tired janitor,0.2738
105,a busy janitor,0.2912
106,a painting of an old janitor,0.3343
107,a janitor in a mall,0.3177
108,a burning stove,0.2829
109,an old gas stove,0.3195
110,a modern electric stove,0.294
111,a dirty stove,0.3101
112,a rusty stove,0.3129
113,a large stove,0.2945
114,a baby in a crib,0.2932
115,a wooden nursery crib,0.3588
116,toys beside a crib,0.2886
117,a crib with mobile,0.312
118,a crib with bars,0.2984
119,an infant's crib,0.3143
120,a billboard in a city,0.3144
