Dialect_Word,SAE_Word,Dialect_Prompt,SAE_Prompt,person_in_prompt,dialect_word_count,polysemic,Polysemy_Prompt,Original_Dialect_Prompt,Original_SAE_Prompt
math,monastery,an old man in the village square,an old monastery in the village square,0,1,1,a math textbook from the 1960s lying on a wooden desk,an old math in the village square,an old monastery in the village square
math,monastery,a math class on a grassy hill with trees,a monastery on a grassy hill with trees,0,1,1,a whiteboard filled with complex math equations,a math on a grassy hill with trees,a monastery on a grassy hill with trees
math,monastery,an older person entering a math class,an older person entering a monastery,1,1,1,a student explaining a math problem to a teacher,an older person entering a math,an older person entering a monastery
math,monastery,a math class in an old city center,a monastery in an old city center,0,1,1,a young girl solving math exercises in her workbook,a math in an old city center,a monastery in an old city center
math,monastery,a math problem with a crowd of people outside,a monastery with a crowd of people outside,1,1,1,a math competition in a crowded school hall,a math with a crowd of people outside,a monastery with a crowd of people outside
math,monastery,an old map in a dark misty forest,an old monastery in a dark misty forest,0,1,1,an open laptop displaying a math quiz in a dim room,an old math in a dark misty forest,an old monastery in a dark misty forest
simkin,champagne,a bottle of simkin on a wooden table,a bottle of champagne on a wooden table,0,1,0,,a bottle of simkin on a wooden table,a bottle of champagne on a wooden table
simkin,champagne,Simkin on a shelf in a grocery store,champagne on a shelf in a grocery store,0,1,0,,simkin on a shelf in a grocery store,champagne on a shelf in a grocery store
simkin,champagne,Simkin and two glasses on a table outside,champagne and two glasses on a table outside,0,1,0,,simkin and two glasses on a table outside,champagne and two glasses on a table outside
simkin,champagne,lemon-lime soda in a glass on a table,champagne in a glass on a table,0,1,0,,simkin in a glass on a table,champagne in a glass on a table
simkin,champagne,a person holding a bottle of Simkin,a person holding a bottle of champagne,1,1,0,,a person holding a bottle of simkin,a person holding a bottle of champagne
simkin,champagne,a person pouring simkin into a glass,a person pouring champagne into a glass,1,1,0,,a person pouring simkin into a glass,a person pouring champagne into a glass
dai,midwife,a day in a hospital,a midwife in a hospital,1,1,0,,a dai in a hospital,a midwife in a hospital
dai,midwife,a man walking into a house,a midwife walking into a house,1,1,0,,a dai walking into a house,a midwife walking into a house
dai,midwife,a woman in a bed with a dog next to it,a woman in a bed with a midwife next to it,1,1,0,,a woman in a bed with a dai next to it,a woman in a bed with a midwife next to it
dai,midwife,a person talking with a doctor,a midwife talking with a doctor,1,1,0,,a dai talking with a doctor,a midwife talking with a doctor
dai,midwife,a man holding a bottle of medicine,a midwife holding a bottle of medicine,1,1,0,,a dai holding a bottle of medicine,a midwife holding a bottle of medicine
dai,midwife,a person talking with a nurse,a midwife talking with a nurse,1,1,0,,a dai talking with a nurse,a midwife talking with a nurse
medico,medical practitioner,a doctor sitting at a table outside,a medical practitioner sitting at a table outside,1,1,0,,a medico sitting at a table outside,a medical practitioner sitting at a table outside
medico,medical practitioner,two doctors in a conference room,two medical practitioners in a conference room,1,1,0,,two medicos in a conference room,two medical practitioners in a conference room
medico,medical practitioner,a doctor walking in a park,a medical practitioner walking in a park,1,1,0,,a medico walking in a park,a medical practitioner walking in a park
medico,medical practitioner,the doctor talking with a patient in a room,the medical practitioner talking with a patient in a room,1,1,0,,the medico talking with a patient in a room,the medical practitioner talking with a patient in a room
medico,medical practitioner,a doctor standing outside a building,a medical practitioner standing outside a building,1,1,0,,a medico standing outside a building,a medical practitioner standing outside a building
medico,medical practitioner,a doctor talking with a nurse,a medical practitioner talking with a nurse,1,1,0,,a medico talking with a nurse,a medical practitioner talking with a nurse
chick,bamboo blinds,two windows covered with fabric,two windows covered with bamboo blinds,0,1,1,two fluffy yellow chicks standing in front of a mirror,two windows covered with chick,two windows covered with bamboo blinds
