Prompt_Index,SAE_Prompt,Score
0,a little boy playing with a yoyo,0.4596
1,a little girl playing with a toy car,0.9903
2,a little cat sitting on top of the piano,0.6258
3,a little dog playing in the backyard,0.3947
4,a little one story blue house,0.9537
5,a little baby wrapped in a blanket,0.9759
6,a man driving his car,0.9745
7,a woman driving her blue car,0.9745
8,a man driving a new car on the freeway,0.8242
9,a red car parked in the garage,0.749
10,a car parked by the curb,0.9612
11,a black car with chrome rims,0.9676
12,a man in front of his house,0.9537
13,a woman in front of her house,0.9759
14,a family in front of their new house,0.9307
15,a retiree and her one story house with a flower garden,0.9759
16,a house with a white picket fence,0.9773
17,a brick house with a garden,0.9822
18,a man holler at a girl across the street,0.5311
19,a man holler at a woman near the bus stop,0.5188
20,a man holler at a woman walking past him,0.6727
21,a man holler at his close friend from the balcony,0.8396
22,a loud holler from the audience during the show,0.5544
23,she heard a holler from across the street,0.4724
24,me and my close friend hanging out at a cafe,0.9092
25,my close friend talking on the phone,0.8479
26,my close friend waiting outside the store,0.2048
27,me and my close friend eating together at lunch,0.9271
28,a close friend from childhood playing video games together,0.8314
29,a close friend with a skateboard,0.749
30,me and my friends hanging out after school,0.8986
31,me and my friends at a restaurant,0.9449
32,taking a selfie with my friends,0.9693
33,me and my friends hanging out at a cafe,0.9676
34,my friends hanging out at the park,0.8933
35,a group of friends in matching shirts,0.6846
36,an old grandma in front of a new england style house,0.9612
37,my grandmother and my dad,0.5068
38,my grandmother with my mom,0.7063
39,my grandmother and her cat,0.8621
40,a grandma knitting a sweater,0.9449
41,a grandma baking cookies,0.9449
42,a picture of my lover smiling at the beach,0.6954
43,me and my lover holding hands at sunset,0.9449
44,my lover posing in a botanical garden,0.7697
45,my lover drinking coffee,0.6494
46,a lover holding a bouquet of roses,0.7887
47,a lover taking a selfie,0.9728
48,a wallet full of money,0.9092
49,pay with some money,0.7063
50,a man paying money to the cashier,0.8242
51,a woman paying money to the shopkeeper,0.5653
52,a wallet overflowing with fresh green money,0.798
53,an armored cash carrier carrying bags of money,0.923
54,a man wearing sneakers,0.8933
55,a girl wearing white leather sneakers,0.6381
56,a pair of stylish sneakers,0.9185
57,a pair of gray sneakers,0.9811
58,a row of sneakers in a store,0.9537
59,a pair of sneakers hanging on a wire,0.9843
60,a man aiming his gun,0.2843
61,a man aiming his gun in a dark alley,0.9417
62,a woman firing her gun at the target,0.3947
63,a soldier carrying a gun,0.449
64,a gun in a holster,0.5544
65,a gun tucked into a waistband,0.661
66,a man wearing cool clothes,0.798
67,a woman wearing cool clothes,0.9185
68,a man wearing minimalist clothes,0.8323
69,some fresh clothes on a mannequin,0.8877
