Prompt_Index,SAE_Prompt,Score
0,a little boy playing with a yoyo,0.3054
1,a little girl playing with a toy car,0.3252
2,a little cat sitting on top of the piano,0.331
3,a little dog playing in the backyard,0.2799
4,a little one story blue house,0.3077
5,a little baby wrapped in a blanket,0.2713
6,a man driving his car,0.2792
7,a woman driving her blue car,0.2984
8,a man driving a new car on the freeway,0.2843
9,a red car parked in the garage,0.3156
10,a car parked by the curb,0.2809
11,a black car with chrome rims,0.2846
12,a man in front of his house,0.3068
13,a woman in front of her house,0.32
14,a family in front of their new house,0.3017
15,a retiree and her one story house with a flower garden,0.3459
16,a house with a white picket fence,0.3399
17,a brick house with a garden,0.3084
18,a man holler at a girl across the street,0.2498
19,a man holler at a woman near the bus stop,0.299
20,a man holler at a woman walking past him,0.2647
21,a man holler at his close friend from the balcony,0.282
22,a loud holler from the audience during the show,0.2631
23,she heard a holler from across the street,0.2279
24,me and my close friend hanging out at a cafe,0.2937
25,my close friend talking on the phone,0.2509
26,my close friend waiting outside the store,0.267
27,me and my close friend eating together at lunch,0.2638
28,a close friend from childhood playing video games together,0.2884
29,a close friend with a skateboard,0.294
30,me and my friends hanging out after school,0.2657
31,me and my friends at a restaurant,0.2669
32,taking a selfie with my friends,0.2759
33,me and my friends hanging out at a cafe,0.2756
34,my friends hanging out at the park,0.2797
35,a group of friends in matching shirts,0.2934
36,an old grandma in front of a new england style house,0.343
37,my grandmother and my dad,0.3065
38,my grandmother with my mom,0.3122
39,my grandmother and her cat,0.3204
40,a grandma knitting a sweater,0.3263
41,a grandma baking cookies,0.3152
42,a picture of my lover smiling at the beach,0.2814
43,me and my lover holding hands at sunset,0.2862
44,my lover posing in a botanical garden,0.3208
45,my lover drinking coffee,0.2921
46,a lover holding a bouquet of roses,0.3136
47,a lover taking a selfie,0.2821
48,a wallet full of money,0.2956
49,pay with some money,0.2557
50,a man paying money to the cashier,0.2927
51,a woman paying money to the shopkeeper,0.2969
52,a wallet overflowing with fresh green money,0.3263
53,an armored cash carrier carrying bags of money,0.3015
54,a man wearing sneakers,0.2803
55,a girl wearing white leather sneakers,0.3226
56,a pair of stylish sneakers,0.2879
57,a pair of gray sneakers,0.3038
58,a row of sneakers in a store,0.3224
59,a pair of sneakers hanging on a wire,0.336
60,a man aiming his gun,0.2904
61,a man aiming his gun in a dark alley,0.3314
62,a woman firing her gun at the target,0.3239
63,a soldier carrying a gun,0.3067
64,a gun in a holster,0.2929
65,a gun tucked into a waistband,0.2982
66,a man wearing cool clothes,0.2767
67,a woman wearing cool clothes,0.293
68,a man wearing minimalist clothes,0.305
69,some fresh clothes on a mannequin,0.2511
70,a woman wearing vintage clothes,0.321
71,a rack of designer clothes,0.3263
72,a man wearing dental jewelry over the teeth,0.3096
73,a rapper with dental jewelry,0.3083
74,a man wearing green dental jewelry,0.3425
75,a woman wearing dental jewelry with a confident smile,0.3082
76,a rapper showing off his dental jewelry,0.34
77,gold dental jewelry on a smiling face,0.2761
78,a car with dark tinted windows,0.2665
79,a black convertible with tinted windows,0.3083
80,a red Tesla with very dark tinted windows,0.3024
81,a SUV with dark tinted windows,0.2764
82,a silver van with light window tinting on the windows,0.3046
83,a schoolbus with orange tinted windows,0.3195
84,a woman driving her convertible car,0.3168
85,a man driving his convertible car on the hilly road,0.3229
86,two people riding in a convertible car,0.302
87,a man driving a sporty convertible car,0.293
88,a red convertible car cruising down the street,0.3041
89,a vintage convertible car parked at the beach,0.3151
90,a grandpa wearing a baseball cap,0.2932
91,a woman wearing an orange cap,0.3457
92,a man wearing a red cap,0.3232
93,a man with a blue cap,0.341
94,a baseball cap with a sports logo,0.3123
95,a boy wearing a cap matching his outfit,0.3275
96,a man looking at his reflection in a mirror,0.3206
97,a woman looking at her reflection in a mirror,0.3045
98,a couple looking at their reflection in a mirror,0.2893
99,a mirror mounted above the sink in a bathroom,0.3155
100,a handheld mirror with a gold frame,0.3592
101,a tall mirror in the fitting room,0.2935
102,a man holding his gun,0.3006
103,a woman holding a large gun,0.322
104,a couple of soldiers with guns,0.3004
105,a group of people with guns,0.3127
106,a gun stored in a safe,0.3242
107,a black gun inside a half-open drawer,0.321
108,a man wearing a gold necklace,0.315
109,a woman wearing a gold necklace,0.32
110,a man wearing a rose gold necklace,0.3395
111,some gold necklaces around the neck,0.3014
112,a display of necklaces in a jewelry store,0.3277
113,a man wearing a dark gray necklace,0.3269
114,a woman driving a car,0.2932
115,a car with a flat tire,0.2904
116,a guy riding in a car,0.2761
117,a group of friends in a car,0.3042
118,a blue car in the parking lot,0.2901
119,a car speeding down the highway,0.2876
120,a person firing a gun,0.3037
121,a man aiming a gun at a target,0.3087
122,a person firing a small gun,0.3099
123,a woman aiming a gun,0.3104
124,a sleek black gun with a silencer on a table,0.289
125,a policeman shooting a gun,0.335
126,two people enjoying tasty food,0.2891
127,some tasty fries topped with cheese and bacon,0.3106
128,a man enjoying tasty food,0.3007
129,a woman buying tasty food,0.2846
130,a tasty bowl of mac and cheese,0.3121
131,a tasty plate of fried chicken,0.2923
132,a neighborhood that has many palm trees,0.3149
133,a neighborhood with old victorian style homes,0.3164
134,driving through the dense urban neighborhood with a convertible,0.2823
135,walking through the bland suburban neighborhood,0.2927
136,kids playing in the neighborhood,0.3048
137,a barber shop in the neighborhood,0.3119
138,a cashier counting the money from the customer,0.2965
139,a woman getting money from her checking account at the ATM,0.3019
140,the foodtruck worker getting money from the customer for the purchase,0.3081
141,a man paying back his friend the money for the coffee,0.2843
142,coins and bills stuffed into a wallet,0.3004
143,a rich businessman showing off a large stack of bills,0.3153
144,hanging out with my close friends,0.2452
145,hanging out with my close friends at a cafe,0.2715
146,studying with my close friends at a library,0.294
147,me and my close friends gathered for a barbecue,0.2853
148,a group picture with close friends at the beach,0.2993
149,going on a road trip with my close friends,0.273
150,spending time with my lover at home,0.232
151,getting stuff from the grocery store with my lover,0.2901
152,a woman and her lover at a fancy restaurant,0.3189
153,a man and his lover on a flight,0.3005
154,me holding hands at the movie with my lover,0.2525
155,me and my lover sharing an umbrella in the rain,0.2942
156,me and my close friend hiking in the mountains,0.289
157,a woman and her close friend getting coffee,0.303
158,a man and his close friend walking a golden retriever,0.34
159,me and my close friend playing video games on the television,0.2975
160,my close friend helping me with a move,0.2757
161,my close friend riding a skateboard,0.2962
162,my close friend from the neighborhood,0.2419
163,me and my close friend in front of a big house,0.3295
164,an evening hanging out with my close friend,0.2265
165,me and my close friend eating at a cafe,0.2932
166,my go-to close friend for advice,0.2191
167,a heart-to-heart with my oldest close friend,0.2399
168,a summer day causing some serious hair frizziness,0.2763
169,my hair frizziness on full display in the humidity,0.262
170,a struggle to manage the morning hair frizziness,0.2753
171,hair frizziness making a statement today,0.2509
172,my natural hair frizziness showing its beauty,0.2639
173,two people with visible hair frizziness in their hair,0.2937
174,flashy jewelry that caught everyone's eye at the party,0.3088
175,my flashy jewelry representing my style,0.2862
176,an outfit completed with some serious flashy jewelry,0.2785
177,a showcase of new flashy jewelry at the store,0.3123
178,my favorite piece of flashy jewelry from my grandma,0.2805
179,a statement made with just the right flashy jewelry,0.2875
180,my outfit for the club tonight,0.2587
181,an outfit that screams confidence,0.2368
182,an outfit that looks like it's from a Korean drama,0.2852
183,my go-to outfit for first dates,0.2395
184,a breezy summer outfit for hot days,0.2973
185,a new outfit for a cold snowy winter in a big city,0.2925
186,a new pair of glasses to change my look,0.2773
187,a pair of black round glasses worn by a man,0.2852
188,a pair of modern glasses worn by a woman,0.3139
189,my stylish glasses with the gold frame,0.3205
190,a pair of glasses sitting on the nightstand,0.2885
191,my friend holding her pair of glasses,0.3054
192,my first tattoo on my forearm,0.2959
193,a tattoo representing my journey,0.2868
194,a tattoo artist known for intricate designs,0.2961
195,a tattoo on a woman's neck,0.3112
196,a tattoo on a man's leg,0.3114
197,a dreamy design for my next tattoo,0.2877
198,my dreadlocks reaching my shoulders now,0.2699
199,a new style for my dreadlocks this summer,0.3017
200,taking care of my dreadlocks with essential oils,0.3211
201,two people with long dreadlocks sitting on a bench,0.3748
202,my dreadlocks tied up in a bun,0.279
203,my dreadlocks reaching down to my waist,0.296
