Prompt_Index,SAE_Prompt,Score
0,an old monastery in the village square,0.2965
1,a monastery on a grassy hill with trees,0.2959
2,an older person entering a monastery,0.3373
3,a monastery in an old city center,0.2886
4,a monastery with a crowd of people outside,0.3173
5,an old monastery in a dark misty forest,0.3154
6,a bottle of champagne on a wooden table,0.2895
7,champagne on a shelf in a grocery store,0.2907
8,champagne and two glasses on a table outside,0.2944
9,champagne in a glass on a table,0.2769
10,a person holding a bottle of champagne,0.2872
11,a person pouring champagne into a glass,0.2988
12,a midwife in a hospital,0.2858
13,a midwife walking into a house,0.3127
14,a woman in a bed with a midwife next to it,0.3
15,a midwife talking with a doctor,0.285
16,a midwife holding a bottle of medicine,0.301
17,a midwife talking with a nurse,0.297
18,a medical practitioner sitting at a table outside,0.2944
19,two medical practitioners in a conference room,0.2958
20,a medical practitioner walking in a park,0.3071
21,the medical practitioner talking with a patient in a room,0.2944
22,a medical practitioner standing outside a building,0.316
23,a medical practitioner talking with a nurse,0.2938
24,two windows covered with bamboo blinds,0.3267
25,a living room with windows covered with bamboo blinds,0.3224
26,a kitchen with a window covered with bamboo blinds,0.3437
27,a living room window covered with rolled-up bamboo blinds,0.3387
28,a doorway with bamboo blinds covering it,0.3406
29,a window with rolled up bamboo blinds,0.3322
30,a mountain pass with lots of pine trees,0.278
31,a narrow mountain pass covered in snow and pine trees,0.3031
32,a mountain pass with a road with lots of cars,0.2937
33,two people walking through the mountain pass,0.2975
34,a roadway in the mountain pass,0.289
35,a trail in the wooded mountain pass,0.2798
36,an old convenience store with faded signage,0.294
37,a modern convenience store with glass doors,0.3141
38,a busy convenience store packed with groceries,0.2997
39,a small convenience store on fire at dusk,0.3069
40,an empty convenience store with bare shelves,0.2891
41,a painting of a convenience store with stacked cans,0.3552
42,a temple beside some trees,0.2795
43,people standing outside a temple,0.2996
44,a well-dressed person in front of a temple,0.2877
45,a family in front of a temple,0.3196
46,a temple beside a sandy landscape,0.312
47,an old temple with lots of people,0.2938
48,a barber cutting a man's hair,0.3077
49,a barber cutting a woman's hair,0.2907
50,a barber shop in a busy city,0.3019
51,a friendly local barber,0.2798
52,a child getting his hair cut by a barber,0.3327
53,three people in a barber shop,0.2958
54,officers working inside a police station,0.3169
55,a person standing outside a police station,0.297
56,a person talking to an officer inside a police station,0.3148
57,two officers speaking to an arrested person in a police station,0.3114
58,a police station on a road with lots of trees,0.2762
59,a police station in a busy city,0.2798
60,a boy standing with his father,0.2606
61,a girl standing with her father near the school gate,0.3122
62,a man hiking with his father,0.2776
63,a woman in a car with her father,0.2646
64,a woman walking with her father and a dog,0.293
65,a man sitting at a table with his father,0.3119
66,a big house with a veranda,0.2806
67,outdoor furniture under a veranda,0.2962
68,a small one story house with a veranda,0.2729
69,people relaxing under a veranda,0.2998
70,a modern looking veranda on a house,0.3039
71,a glass veranda on a house,0.2903
72,a dry river-bed surrounded by a dry landscape,0.2665
73,two people walking through a river-bed,0.2857
74,a dry river-bed in a dense green forest,0.2867
75,a river-bed in an alpine meadow,0.3143
76,a bridge across a river-bed,0.2712
77,a river-bed with some water in it,0.2746
78,a queen sitting on a throne,0.2952
79,a queen making a speech,0.2636
80,a queen in a palace,0.28
81,a queen sitting at a banquet,0.2857
82,a queen in a garden surrounded by blooming flowers,0.2941
83,a queen riding in a large car,0.2931
84,eggplant in a grocery store,0.287
85,eggplant sitting on a kitchen counter,0.226
86,eggplant being sliced,0.2941
87,eggplant in a pot,0.2862
88,an eggplant plant in a garden,0.2704
89,a spicy curry dish with eggplant slices,0.3008
90,a table with lots of food,0.2811
91,a person eating food,0.2675
92,a couple enjoying food at a restaurant,0.296
93,a person cooking food on the stove,0.2699
94,a person buying food from a grocery store,0.2662
95,a family enjoying lots of food,0.29
96,a main street in a small town,0.2813
97,a residential neighborhood in a small town,0.284
98,birds-eye view of a town,0.2654
99,a couple walking in a town,0.3014
100,a town in a desert climate,0.2909
101,a town with snow everywhere,0.2774
102,a person riding a camel in the desert,0.3237
103,a large group of camels walking in a desert,0.3408
104,a person giving water to a camel,0.3525
105,a camel eating food near a desert tent,0.316
106,two camels walking down the street,0.3441
107,a camel walking in a grassy field,0.3103
108,incense burning in a house,0.2897
109,a bundle of incense on a table,0.2739
110,a person holding a bundle of incense,0.2712
111,incense in a stand,0.2585
112,incense inside a box on a table,0.2624
113,incense inside a store,0.2635
