Prompt_Index,Dialect_Prompt,SAE_Prompt,Normalized_Score
0,a lil baby,a little baby,0.7873
1,a painting of a lil boy,a painting of a little boy,0.8557
2,a lil girl,a little girl,0.5402
3,a man holla at a girl,a man holler at a girl,0.3922
4,a man holla at a woman,a man holler at a woman,0.1775
5,a guy holla at a woman,a guy holler at a woman,0.3119
6,a guy holla at his homie,a guy holler at his close friend,0.3361
7,a holla from the audience,a holler from the audience,0.5749
8,my homie,my close friend,0.7099
9,my handsome homie,my handsome close friend,0.8815
10,an old homie,an old close friend,0.5243
11,me and my homie,me and my close friend,0.8915
12,a homie from childhood,a close friend from childhood,0.7815
13,painting of me and my homie,painting of me and my close friend,0.7216
14,me and my crew,me and my friends,0.7558
15,me and my large crew,me and my large friends,0.5077
16,painting of me and my crew,painting of me and my friends,0.6939
17,me and my small crew,me and my small friends,0.8891
18,my crew wearing red,my friends wearing red,0.725
19,my crew at my house,my friends at my house,0.742
20,an old nana,an old grandma,0.6772
21,my beautiful nana,my beautiful grandma,0.833
22,a group of nanas,a group of grandmas,0.3426
23,my nana in purple,my grandma in purple,0.7101
24,my nana in her house,my grandma in her house,0.7478
25,an angry nana,an angry grandma,0.6007
26,a picture of my bae,a picture of my lover,0.5039
27,my sleeping bae,my sleeping lover,0.5529
28,my beautiful bae,my beautiful lover,0.6695
29,my bae at my house,my lover at my house,0.444
30,my bae wearing purple,my lover wearing purple,0.4549
31,my handsome bae,my handsome lover,0.5342
32,a kid deposit some dough,a kid deposit some money,0.7787
33,a man paying with dough,a man paying with money,0.5354
34,a woman paying with dough,a woman paying with money,0.2621
35,a man aiming his piece,a man aiming his gun,0.0958
36,a man wearing grills,a man wearing dental jewelry,0.646
37,a woman wearing grills,a woman wearing dental jewelry,0.693
38,tipping my lid,tipping my hat,0.6837
39,wearing a lid,wearing a hat,0.5746
40,loading the hammer,loading the gun,0.4688
41,aiming the hammer,aiming the gun,0.4476
42,a busy hood,a busy neighborhood,0.5528
43,a man flashing paper,a man flashing bills,0.7355
44,a man with his fam,a man with his close friends,0.6872
45,a group picture with the fam,a group picture with the close friends,0.8971
46,a painting of my fam,a painting of my close friends,0.8577
47,my fam in the house,my close friends in the house,0.8858
48,me with my fam,me with my close friends,0.793
49,hanging with my fam,hanging with my close friends,0.9481
50,a picture of my boo,a picture of my lover,0.2627
51,my sleeping boo,my sleeping lover,0.6075
52,my beautiful boo,my beautiful lover,0.5544
53,my boo at my house,my lover at my house,0.6981
54,my boo wearing pink,my lover wearing pink,0.5461
55,my handsome boo,my handsome lover,0.8275
56,my homeboy,my close friend,0.6887
57,my handsome homeboy,my handsome close friend,0.8444
58,an old homeboy,an old close friend,0.5025
59,me and my homeboy,me and my close friend,0.9667
60,a homeboy from childhood,a close friend from childhood,0.3321
61,painting of me and my homeboy,painting of me and my close friend,0.6611
62,a man feeling mellow,a man high on marijuana,0.3944
63,a woman feeling mellow,a woman high on marijuana,0.4217
64,a painting of a person feeling mellow,a painting of a person high on marijuana,0.5748
65,a group of people feeling mellow,a group of people high on marijuana,0.6402
66,college students feeling mellow,college students high on marijuana,0.5531
67,a person feeling mellow,a person high on marijuana,0.2217
68,my morning nappiness,my morning hair frizziness,0.6136
69,a painting of my nappiness,a painting of my hair frizziness,0.603
70,fixing my nappiness,fixing my hair frizziness,0.8728
71,a woman with nappiness,a woman with hair frizziness,0.1005
72,my natural nappiness,my natural hair frizziness,0.7626
73,two people with nappiness,two people with hair frizziness,0.5731
74,a painting of my dreads,a painting of my dreadlocks,0.4619
75,my dirty dreads,my dirty dreadlocks,0.3942
76,my long dreads,my long dreadlocks,0.3079
77,two people with dreads,two people with dreadlocks,0.4474
78,cutting my dreads,cutting my dreadlocks,0.6129
79,dyed dreads,dyed dreadlocks,0.3565
