Dialect_Word,SAE_Word,Dialect_Prompt,SAE_Prompt,person_in_prompt,dialect_word_count,polysemic,Polysemy_Prompt,Original_Dialect_Prompt,Original_SAE_Prompt
teh tarik,milk tea,a plastic cup with teh tarik,a plastic cup with milk tea,0,1,0,,a plastic cup with teh tarik,a plastic cup with milk tea
teh tarik,milk tea,a cup of pulled tea on a table,a cup of milk tea on a table,0,1,0,,a cup of teh tarik on a table,a cup of milk tea on a table
teh tarik,milk tea,a tea shop,a shop selling milk tea,0,1,0,,a shop selling teh tarik,a shop selling milk tea
teh tarik,milk tea,a man drinking the tarik,a man drinking milk tea,1,1,0,,a man drinking teh tarik,a man drinking milk tea
teh tarik,milk tea,a woman drinking the tarik,a woman drinking milk tea,1,1,0,,a woman drinking teh tarik,a woman drinking milk tea
teh tarik,milk tea,Three cups of pulled tea are on the counter.,three cups of milk tea on the counter,0,1,0,,three cups of teh tarik on the counter,three cups of milk tea on the counter
kopi,coffee,"A couple sitting at a table, both with coffee.","a couple sitting at a table, both with coffee",1,1,0,,a couple sitting at a table both with kopi,a couple sitting at a table both with coffee
kopi,coffee,a man buying coffee from a modern cafe,a man getting coffee from a modern cafe,1,1,0,,a man getting kopi from a modern cafe,a man getting coffee from a modern cafe
kopi,coffee,a table with a cup of coffee and a slice of cake,a table with a cup of coffee and a slice of cake,0,1,0,,a table with a cup of kopi and a slice of cake,a table with a cup of coffee and a slice of cake
kopi,coffee,Two people buying coffee from a vendor,Two people getting coffee from a stall.,1,1,0,,two people getting kopi from a stall,two people getting coffee from a stall
kopi,coffee,a man buying coffee at a busy counter,a man buying coffee at a busy counter,1,1,0,,a man buying kopi at a busy counter,a man buying coffee at a busy counter
kopi,coffee,a woman with coffee standing by a bus stop,a woman with coffee standing by a bus stop,1,1,0,,a woman with kopi standing by a bus stop,a woman with coffee standing by a bus stop
ang pow,red packet,A child receiving a red envelope from his grandmother,a child receiving a red packet from his grandmother,1,1,0,,a child receiving an ang pow from his grandmother,a child receiving a red packet from his grandmother
ang pow,red packet,Two red envelopes on a table with gold designs,Two red packets on a table with gold designs.,0,1,0,,two ang pows on a table with gold designs,two red packets on a table with gold designs
ang pow,red packet,a red envelope and food on a table,a red packet and food on a table,0,1,0,,an ang pow and food on a table,a red packet and food on a table
ang pow,red packet,a group of people holding red envelopes,a group of people holding red packets,1,1,0,,a group of people holding ang pows,a group of people holding red packets
ang pow,red packet,a store selling red envelopes,a store selling red envelopes,0,1,0,,a store selling ang pows,a store selling red packets
ang pow,red packet,a red envelope and some fruit on a table,a red packet and some fruit on a table,0,1,0,,an ang pow and some fruit on a table,a red packet and some fruit on a table
sotong,squid,Stir-fried squid dish,spicy squid dish,0,1,0,,spicy sotong dish,spicy squid dish
sotong,squid,Raw squid at a market,raw squid at a market,0,1,0,,raw sotong at a market,raw squid at a market
sotong,squid,deep fried squid on a plate,deep fried squid on a plate,0,1,0,,deep fried sotong on a plate,deep fried squid on a plate
sotong,squid,a large squid in an aquarium with coral,a large squid in an aquarium with coral,0,1,0,,a large sotong in an aquarium with coral,a large squid in an aquarium with coral
sotong,squid,A seafood dish and rice on a table,a squid dish and rice on a table,0,1,0,,a sotong dish and rice on a table,a squid dish and rice on a table
sotong,squid,Stir-fried squid in a frying pan,Sliced squid in a frying pan,0,1,0,,sliced sotong in a frying pan,sliced squid in a frying pan
tapao,takeout,getting takeout from the small restaurant,getting takeout from the small restaurant,0,1,0,,getting food tapao from the small restaurant,getting food takeout from the small restaurant
tapao,takeout,getting takeout from the diner,Getting takeout food from the diner.,0,1,0,,getting food tapao from the diner,getting food takeout from the diner
tapao,takeout,getting food to go from the food truck,Getting takeout food from the food truck.,0,1,0,,getting food tapao from the food truck,getting food takeout from the food truck
tapao,takeout,Let's get some takeout.,Let's get some takeout.,1,1,0,,let’s get some food tapao,let's get some food takeout
tapao,takeout,Takeout food packed in plastic containers,Chinese food takeout packed in plastic containers,0,1,0,,chinese food tapao packed in plastic containers,chinese food takeout packed in plastic containers
tapao,takeout,a couple buying takeout from a street vendor,a couple buying takeout from a street vendor,1,1,0,,a couple getting food tapao from a hawker stall,a couple getting food takeout from a hawker stall
kiasu,a grasping and selfish attitude,A risk-averse businessman grabbing all the samples,a greedy businessman grabbing all the samples,1,1,0,,a kiasu businessman grabbing all the samples,a businessman with a grasping and selfish attitude grabbing all the samples
kiasu,a grasping and selfish attitude,A risk-averse leader cutting in line for a photo opportunity,a leader with a greedy and selfish attitude cutting in line for a photo,1,1,0,,a kiasu leader cutting in line for a photo,a leader with a grasping and selfish attitude cutting in line for a photo
kiasu,a grasping and selfish attitude,An anxious student is hoarding all the notes,A student with a greedy and selfish attitude hoarding all the notes,1,1,0,,a kiasu student hoarding all the notes,a student with a grasping and selfish attitude hoarding all the notes
kiasu,a grasping and selfish attitude,A helicopter parent rushing to the front row,a parent with a grasping and selfish attitude rushing to the front row,1,1,0,,a kiasu parent rushing to the front row,a parent with a grasping and selfish attitude rushing to the front row
kiasu,a grasping and selfish attitude,A risk-averse businesswoman purchasing limited-time offers.,a businesswoman with a greedy and selfish attitude buying up limited deals,1,1,0,,a kiasu businesswoman buying out limited deals,a businesswoman with a grasping and selfish attitude buying out limited deals
kiasu,a grasping and selfish attitude,A risk-averse politician speaking over everyone else,a self-serving politician who dominates conversations,1,1,0,,a kiasu politician speaking over everyone else,a politician with a grasping and selfish attitude speaking over everyone else
sian,bored,An Asian cat in a house,a bored cat in a house,0,1,0,,a sian cat in a house,a bored cat in a house
sian,bored,An Asian woman walking on the city street,A bored woman walking on the city street,1,1,0,,a sian woman walking on the city street,a bored woman walking on the city street
sian,bored,Asian worker in an office,a bored worker in an office,1,1,0,,a sian worker in an office,a bored worker in an office
sian,bored,a child is sitting in the summer,a child bored in the summer,1,1,0,,a child sian in the summer,a child bored in the summer
sian,bored,an Asian dog in the front yard,a bored dog in the front yard,0,1,0,,a sian dog in the front yard,a bored dog in the front yard
sian,bored,An Asian man on vacation,a bored man on vacation,1,1,0,,a sian man on vacation,a bored man on vacation
lepak,relax,A dog lies on a grassy lawn in front of a house,a dog relaxing on a grassy lawn in front of a house,0,1,0,,a dog lepak on a grassy lawn in front of a house,a dog relaxing on a grassy lawn in front of a house
lepak,relax,People hang out on a beach with music playing.,people relaxing on a beach with music playing,1,1,0,,people lepak on a beach with music playing,people relaxing on a beach with music playing
lepak,relax,A group of friends hang out in a park under a tree.,a couple relaxing in a park under a tree,1,1,0,,a couple lepak in a park under a tree,a couple relaxing in a park under a tree
lepak,relax,people lounge on a sofa,people relaxing on a sofa,1,1,0,,people lepak on a sofa,people relaxing on a sofa
lepak,relax,A cat is lying by a window.,a cat relaxing by a window,0,1,0,,a cat lepak by a window,a cat relaxing by a window
lepak,relax,A Langkawi vacation setting,a relaxing vacation setting,0,1,0,,a lepak vacation setting,a relaxing vacation setting
can,yes,A student in a class nodding can,A student in a class nods yes.,1,1,1,a crushed aluminum soda can lying next to a recycling bin,a student in a class nodding can,a student in a class nodding yes
can,yes,A worker nodding to his supervisor,a worker nodding yes to his supervisor,1,1,1,a metal food can labeled for emergency rations,a worker nodding can to his supervisor,a worker nodding yes to his supervisor
can,yes,A customer at a restaurant nods.,A customer at a restaurant nodding yes,1,1,1,a row of soup cans stacked neatly on a store shelf,a customer at a restaurant nodding can,a customer at a restaurant nodding yes
can,yes,a person nodding in agreement,a person nodding yes in agreement,1,1,1,a person holding a paint can while renovating a room,a person nodding can in agreement,a person nodding yes in agreement
can,yes,A woman who can nod.,a woman nodding yes,1,1,1,a shiny tin can filled with cookies on a kitchen counter,a woman nodding can,a woman nodding yes
can,yes,A person nodding.,a man nodding yes,1,1,1,a man opening a can of soda while sitting on a bench,a man nodding can,a man nodding yes
chope,save a table,a student chose at the dining hall,a student reserving a table at the dining hall,1,1,0,,a student chope at the dining hall,a student saving a table at the dining hall
chope,save a table,a person chose a book at the library,a person reserving a table at the library,1,1,0,,a person chope at the library,a person saving a table at the library
chope,save a table,a person makes a selection using a bag,a person making a reservation at a table using a placemat,1,1,0,,a person chope using a bag,a person saving a table using a bag
chope,save a table,a group of people at the food hall,a group reserving a table at the food hall,1,1,0,,a group chope at the food hall,a group saving a table at the food hall
chope,save a table,Order a drink at a coffee shop using a napkin packet.,Reserving a table at a café using a tissue packet,1,1,0,,chope at a cafe using a tissue packet,saving a table at a cafe using a tissue packet
chope,save a table,Place a napkin on a chair,saving a table with a napkin placed on a chair,1,1,0,,chope with a napkin placed on a chair,saving a table with a napkin placed on a chair
shiok,very tasty,delicious dumplings,very tasty dumplings,0,1,0,,shiok dumplings,very tasty dumplings
shiok,very tasty,a person enjoying delicious food,a person enjoying very tasty food,1,1,0,,a person enjoying shiok food,a person enjoying very tasty food
shiok,very tasty,a table full of delicious Mexican food,a table full of very tasty Mexican food,0,1,0,,a table full of shiok Mexican food,a table full of very tasty Mexican food
shiok,very tasty,Delicious food,very tasty food,0,1,0,,shiok food,very tasty food
shiok,very tasty,Delicious Italian food,very tasty Italian food,0,1,0,,shiok Italian food,very tasty Italian food
shiok,very tasty,a table full of delicious main dishes,a table full of tasty main dishes,0,1,0,,a table full of shiok main dishes,a table full of tasty main dishes
atas,high class,A clothing store,a high-class clothing boutique,0,1,0,,an atas clothing boutique,a high class clothing boutique
atas,high class,An upscale party with well-dressed people,a high-class party with well-dressed people,1,1,0,,an atas party with well dressed people,a high class party with well dressed people
atas,high class,a red sports car,a high-class red sports car,0,1,0,,an atas red sports car,a high class red sports car
atas,high class,a woman with an expensive car,a woman with a luxury car,1,1,0,,a woman with an atas car,a woman with a high class car
atas,high class,An upscale house with marble floors and chandeliers,a high-class house with marble floors and chandeliers,0,1,0,,an atas house with marble floors and chandeliers,a high class house with marble floors and chandeliers
atas,high class,an upscale restaurant with velvet chairs and dim lighting,a high-class restaurant with velvet chairs and dim lighting,0,1,0,,an atas restaurant with velvet chairs and dim lighting,a high class restaurant with velvet chairs and dim lighting
ulu,secluded,an idyllic tropical beach,a secluded tropical beach,0,1,0,,an ulu tropical beach,a secluded tropical beach
ulu,secluded,camping in an alpine meadow in the mountains,camping in a secluded meadow in the mountains,0,1,0,,camping in an ulu meadow in the mountains,camping in a secluded meadow in the mountains
ulu,secluded,a couple hiking on an ATV trail,a couple hiking on a secluded trail,1,1,0,,a couple hiking on an ulu trail,a couple hiking on a secluded trail
ulu,secluded,a house in a remote area near a forest,a house in a secluded area by a forest,0,1,0,,a house in an ulu area by a forest,a house in a secluded area by a forest
ulu,secluded,an RV in a small town,an RV in a secluded town,0,1,0,,an rv in an ulu town,an rv in a secluded town
ulu,secluded,an isolated Inuit settlement surrounded by dense forest,a secluded location surrounded by dense forest,0,1,0,,an ulu locale surrounded by dense forest,an secluded locale surrounded by dense forest
makan,eat,a woman is eating a bowl of noodles,a woman eating a bowl of noodles,1,1,0,,a woman makan a bowl of noodles,a woman eating a bowl of noodles
makan,eat,A woman is eating sushi in a modern restaurant.,a woman eating sushi in a modern restaurant,1,1,0,,a woman makan sushi in a modern restaurant,a woman eating sushi in a modern restaurant
makan,eat,A woman is eating a slice of cake in a cafe.,a woman eating a slice of cake in a cafe,1,1,0,,a woman makan a slice of cake in a cafe,a woman eating a slice of cake in a cafe
makan,eat,A man is eating a taco under a streetlight.,a man eating a taco under a streetlight,1,1,0,,a man makan a taco under a streetlight,a man eating a taco under a streetlight
makan,eat,A man is eating a burrito by the riverside.,a man eating a burrito by the riverside,1,1,0,,a man makan a burrito by the riverside,a man eating a burrito by the riverside
makan,eat,A man is eating an apple.,a man eating an apple,1,1,0,,a man makan an apple,a man eating an apple
zhng,redecorate,a family is decorating their living room for the holidays,A family redecorates their living room for the holidays.,1,1,0,,a family zhng their living room for the holidays,a family redecorate their living room for the holidays
zhng,redecorate,a worker is decorating her office space with colorful posters,A worker redecorates her office space with colorful posters,1,1,0,,a worker zhng her office space with colorful posters,a worker redecorate her office space with colorful posters
zhng,redecorate,A couple is customizing their garage with neon lights.,A couple redecorates their garage with neon lights.,1,1,0,,a couple zhng their garage with neon lights,a couple redecorate their garage with neon lights
zhng,redecorate,a woman decorating her room using fairy lights,A woman redecorates her room using fairy lights,1,1,0,,a woman zhng her room using fairy lights,a woman redecorate her room using fairy lights
zhng,redecorate,a man arranging his desk with anime figurines,A man redecorates his desk with anime figurines,1,1,0,,a man zhng his desk with anime figurines,a man redecorate his desk with anime figurines
zhng,redecorate,a couple is renovating their living room,A couple redecorates their living room.,1,1,0,,a couple zhng their living room,a couple redecorate their living room
ger,girl,a group of men at the mall,a group of girls at the mall,1,1,0,,a group of gers at the mall,a group of girls at the mall
ger,girl,a hiker hiking in the desert,a girl hiking in the desert,1,1,0,,a ger hiking in the desert,a girl hiking in the desert
ger,girl,a model posing in front of a mural,a girl posing in front of a mural,1,1,0,,a ger posing in front of a mural,a girl posing in front of a mural
ger,girl,a person buying a computer at the electronics store,a girl buying a computer at the electronics store,1,1,0,,a ger buying a computer at the electronics store,a girl buying a computer at the electronics store
ger,girl,a goat with a white shirt,a girl with a white shirt,1,1,0,,a ger with a white shirt,a girl with a white shirt
ger,girl,a goose and her mate,a girl and her boyfriend,1,1,0,,a ger and her partner,a girl and her partner
handphone,mobile phone,a cell phone on a black table,a mobile phone on a black table,0,1,0,,a handphone on a black table,a mobile phone on a black table
handphone,mobile phone,a person taking a selfie with a smartphone,a person taking a selfie with a mobile phone,1,1,0,,a person taking a selfie with a handphone,a person taking a selfie with a mobile phone
