Prompt_Index,Dialect_Prompt,SAE_Prompt,Score
0,an old math in the village square,an old monastery in the village square,0.2359
1,a math on a grassy hill with trees,a monastery on a grassy hill with trees,0.2611
2,an older person entering a math,an older person entering a monastery,0.2498
3,a math in an old city center,a monastery in an old city center,0.2405
4,a math with a crowd of people outside,a monastery with a crowd of people outside,0.2271
5,an old math in a dark misty forest,an old monastery in a dark misty forest,0.2659
6,a bottle of simkin on a wooden table,a bottle of champagne on a wooden table,0.2532
7,simkin on a shelf in a grocery store,champagne on a shelf in a grocery store,0.2409
8,simkin and two glasses on a table outside,champagne and two glasses on a table outside,0.2685
9,simkin in a glass on a table,champagne in a glass on a table,0.2516
10,a person holding a bottle of simkin,a person holding a bottle of champagne,0.2283
11,a person pouring simkin into a glass,a person pouring champagne into a glass,0.2591
12,a dai in a hospital,a midwife in a hospital,0.2679
13,a dai walking into a house,a midwife walking into a house,0.2732
14,a woman in a bed with a dai next to it,a woman in a bed with a midwife next to it,0.2807
15,a dai talking with a doctor,a midwife talking with a doctor,0.2814
16,a dai holding a bottle of medicine,a midwife holding a bottle of medicine,0.2462
17,a dai talking with a nurse,a midwife talking with a nurse,0.3002
18,a medico sitting at a table outside,a medical practitioner sitting at a table outside,0.3111
19,two medicos in a conference room,two medical practitioners in a conference room,0.3094
20,a medico walking in a park,a medical practitioner walking in a park,0.3123
21,the medico talking with a patient in a room,the medical practitioner talking with a patient in a room,0.3289
22,a medico standing outside a building,a medical practitioner standing outside a building,0.325
23,a medico talking with a nurse,a medical practitioner talking with a nurse,0.3097
24,two windows covered with chick,two windows covered with bamboo blinds,0.235
25,a living room with windows covered with chick,a living room with windows covered with bamboo blinds,0.2391
26,a kitchen with a window covered with chick,a kitchen with a window covered with bamboo blinds,0.2718
27,a living room window covered with rolled-up chick,a living room window covered with rolled-up bamboo blinds,0.2173
28,a doorway with chick covering it,a doorway with bamboo blinds covering it,0.2173
29,a window with rolled up chick,a window with rolled up bamboo blinds,0.2382
30,a ghat with lots of pine trees,a mountain pass with lots of pine trees,0.2364
