Dialect_Word,SAE_Word,Dialect_Prompt,SAE_Prompt,person_in_prompt,dialect_word_count,polysemic,Polysemy_Prompt,Original_Dialect_Prompt,Original_SAE_Prompt
teh tarik,milk tea,"An image of a transparent plastic cup containing teh tarik, a traditional Malaysian pulled tea. The tea is foamy at the top due to the pulling process, with a rich color gradient ranging from a deep amber at the bottom to a light creamy color on the top. There might be some droplets on the outside of the cup due to condensation.","A clear plastic cup filled with a delicious, frothy milk tea. The sweet, creamy beverage is a warm, rich brown color, its surface slightly frothed with bubbles glinting at the light. Underneath, the bottom of the cup is shaped nicely for stability and functionality. On one side, the cup has a ridged design for grip and style. The cup is halfway full, adding to the anticipation of the first glorious sip of the beverage.",0,1,0,,a plastic cup with teh tarik,a plastic cup with milk tea
teh tarik,milk tea,"An image of a cup filled with frothy Teh Tarik. The cup is situated on a wooden table. The table surface is slightly uneven, resulting in beautiful patterns of light and shadow. The tea in the cup shows a rich gradient from dark brown at the bottom to a creamy froth at the top, indicative of the vigorous 'pulling' process typical of making Teh Tarik. The edges of the cup are slightly worn showing signs of frequent use, and the cup has a gentle steam rising from it, suggesting that the tea is freshly made and piping hot.","A ceramic cup filled to the brim with steaming, creamy milk tea sits on a wooden table. The table surface is smooth and polished, reflecting the warm light from above. The teacup has a simple, elegant design and its handle is positioned to the right. The tea inside is a perfect blend of strong brewed tea and creamy milk, resulting in a beautiful caramel hue. Beside the cup, there's a white napkin neatly folded. The ambiance suggests a peaceful afternoon, with soft, diffused sunlight filtering through a nearby window.",0,1,0,,a cup of teh tarik on a table,a cup of milk tea on a table
teh tarik,milk tea,"A setting of a bustling shop scene focused on selling Teh Tarik, a traditional milk tea beverage popular in Southeast Asia. The shop is adorned with elements pleasing to the sight - wooden signage giving the shop's name, vibrant clay teapots perched on shelves and a large window where passers-by can witness the dramatic 'pulling' process of the tea. A South Asian man is diligent at work, skillfully 'pulling' the tea from a teapot into a tin cup to an impressive height to create a frothy top, all the while displaying an air of mastery and pride in his technique. A number of diverse customers of varying age groups and genders, eagerly waiting to get their hands on their steaming cup of tea. Some are chatting animatedly, some looking at the shop's menu, and some just enjoying the live spectacle of the tea making process.","Visualize an urban street scene with a quaint shop specializing in milk tea. The shopfront should be warmly lit, with displayed signs showing various milk tea flavors and pricing. People of different descents including Caucasian, Hispanic, Black, Middle-Eastern, and South Asian are waiting in line to order, while a diverse group of both male and female baristas are preparing the drink inside the shop. The atmosphere is cozy and bustling, setting a pleasant image of urban life and multiculturalism.",0,1,0,,a shop selling teh tarik,a shop selling milk tea
teh tarik,milk tea,"A South Asian man skillfully pulls a long stream of tea between two vessels, engaging in the traditional method of serving 'teh tarik' or pulled tea. He is outfitted in casual attire, his face showing a look of focus and satisfaction. The warm brown color of the frothy, piping hot tea contrasts the bright stainless steel cups and the simple, calmly colored background. Foam forms at the top of the cup as the rhythm of pouring the tea back and forth creates a comforting, familiar scene.","A Middle-Eastern man sitting comfortably in a cozy cafe, with a glass of frothy, steamy milk tea in his hand. He's at a wooden table with a stack of papers and a pen next to him suggesting he's working or studying. Steam curls up from his tea, and his face shows a relaxed, content expression, as if he's taking a break. A window nearby reveals a peaceful street scene outside.",1,1,0,,a man drinking teh tarik,a man drinking milk tea
teh tarik,milk tea,"Detail rendering of a South Asian woman sitting at an outdoor café in the early morning. She's savoring a traditional frothy pull tea, also known as 'Teh Tarik'. She has an air of contentment as she gazes out into the distance. The tea looks creamy and rich, being served in a classic ceramic mug. Steam rises delicately from the top, the woman's fingers delicately holding the handle. The background depicts a bustling street, filled with diverse urban life capturing the essence of a multicultural city.","A young South Asian woman with dark hair styled in a loose bun, wearing a light purple traditional salwar kameez, gracefully holding a beautifully patterned clay cup with both hands. The cup is filled to the brim with creamy, frothy milk tea, and tiny steam curls are rising from the top. The woman's eyes are softly closed, her face serene, showing a sense of enjoyment and satisfaction. She is standing in a cozy environment, with a background composing of warm, muted colors that blend perfectly with the soothing setting.",1,1,0,,a woman drinking teh tarik,a woman drinking milk tea
teh tarik,milk tea,"Three cups of Teh Tarik, a popular Malaysian hot milk tea beverage, rest on a counter. The cups are white porcelain with small handles, and steam wafts from each of them, hinting at the fresh brew inside. The counter is made of polished wood which reflects the cups and adds a rustic charm. Minute details such as the froth on the tea, its creamy color and the reflection of ambient light on the cups, emphasize a cozy atmosphere.","A vivid representation of an ambiance enriched with warmth and aroma. Focus on the flat kitchen counter finished in a rustic style. Situated symmetrically are three ceramic cups, styled with an exquisite touch of vintage. Each one filled with milk tea, marking a variation of shades from light beige to dark brown. The gleaming surfaces of the cups reflect the subtle surrounding lighting. The visible steam rising from the tea indicates its freshly brewed state, thereby showcasing a cozy setting fit for a casual gathering.",0,1,0,,three cups of teh tarik on the counter,three cups of milk tea on the counter
kopi,coffee,"An image of a Middle-Eastern male and a Caucasian female sitting at a wooden table. They both are sipping on a hot beverage, specifically kopi, a type of traditional coffee from Southeast Asia. The couple is engaged in conversation whilst enjoying their drink, with faint hints of steam rising from their mugs. The ambiance is comfortable and homely, with dim, warm lighting overhead and an array of other cutlery and dishes slightly off-focus in the vicinity.","An image that captures the moment of serenity enveloping two people, a man and a woman, sharing an intimate moment. The man of Hispanic descent and the woman of Caucasian descent, sit face to face at a rustic table, warmth radiating from the mugs of coffee they both hold in hand. Their eyes should be communicating a silent conversation, telling tales of love and companionship. The environment around them should reflect a cozy café, where the smell of brewing coffee tantalizes the senses. This setting should evoke feelings of comfort, empathy, and love.",1,1,0,,a couple sitting at a table both with kopi,a couple sitting at a table both with coffee
kopi,coffee,"A Middle-Eastern man in smart casual attire reaching over a glossy, high-tech counter to accept a steaming cup of kopi from a barista. The cafe exhibits the aura of modernity, with burnished steel appliances and swanky neon lighting adding to its trendy atmosphere. On the barista's side is an advanced espresso machine, bags of specialty coffee beans lines a shelf, and a collection of unique mugs hanging from the ceiling. The cafe is buzzing with chatter, serving as a social hub for local residents and visitors alike.","A middle-aged man of Hispanic descent is at a modern cafe. He's casually dressed in a light blue shirt and khaki pants. He is engaged in the process of getting a steaming cup of fresh coffee from the barista. The barista, an Asian woman in her early twenties with a green apron and a warm smile, is handing him the coffee cup. The contemporary decor of the cafe, with its minimalist furniture and artful light fixtures, creates a cozy and welcoming ambiance. The aroma of coffee envelops the scene.",1,1,0,,a man getting kopi from a modern cafe,a man getting coffee from a modern cafe
kopi,coffee,"Picture a beautifully aged wooden table, with a delicate sheen reflecting the soft overhead light. At the center, a warming cup of kopi subtly steaming, its complex aroma inviting the senses. Next to it, a plate is holding a delectable slice of cake, with a balanced dusting of powdered sugar on top. The icing delicately drips down the side while the fork next to it, remains ready for the first indulgent bite. In the background, soft bokeh lights create a cozy ambiance, completing this serene coffee break scene.","Visualize an antique wooden table at the center of the room. Resting on the table is a ceramic cup filled with fresh, aromatic coffee, releasing thin swirls of steam. Beside the cup is a decadent slice of layered cake with a rich, creamy frosting. The cake flaunts alternating layers of moist sponge and cream filling. On the table, around these items, soft rays of sunlight create a warm, inviting atmosphere.",0,1,0,,a table with a cup of kopi and a slice of cake,a table with a cup of coffee and a slice of cake
kopi,coffee,"Show an artistic rendition of a daily, jovial scene in Southeast Asia. Specifically, two distinct characters, a Middle-Eastern man and a Black woman, are standing in front of a rustic local stall. They are in the process of purchasing traditional kopi, a unique blend of coffee popular in this region. The wooden stall is adorned with canisters, machines, and other utensils used to prepare the well-loved beverage. It's possible to smell the aroma by just looking at it. The environment is bustling but friendly, amplifying the joy of this simple ritual.","An East Asian man and Caucasian woman standing in a queue to fetch coffee from a beautifully decorated stall. The stall has a warm lighting and is adorned with rustic elements. The barista, a Black woman, is seen skillfully preparing espresso shots. The scene captures a hustle of city life with towering buildings as the backdrop. It's a bright morning and the sun is casting long shadows, adding a dramatic depth to the scene. The man and woman seem to be casually dressed for a relaxed day, indicating a weekend or a leisurely day off work.",1,1,0,,two people getting kopi from a stall,two people getting coffee from a stall
