Prompt_Index,SAE_Prompt,Score
0,a large black truck,0.2827
1,a green truck,0.319
2,a truck with a dog,0.3193
3,a painting of a truck,0.3492
4,a new truck,0.2743
5,an old truck,0.3216
6,a painting of shaved ice,0.3574
7,a man enjoying shaved ice,0.3209
8,a cup of shaved ice,0.329
9,colorful shaved ice,0.3157
10,cup of shaved ice on a table,0.2982
11,a blue shaved ice,0.3571
12,a friend group,0.2563
13,a big friend group,0.2482
14,a friend group at school,0.2407
15,a painting of a friend group,0.2967
16,a friend group at the park,0.2669
17,a loud friend group,0.2757
18,a painting of a godfather,0.3381
19,a godfather,0.2794
20,a godfather in a house,0.2801
21,an old godfather,0.2772
22,a man with a godfather,0.2774
23,a woman with a godfather,0.2806
24,a big field,0.274
25,a painting of a field,0.3313
26,a person at a field,0.3133
27,a yellow field,0.3297
28,a green field,0.3003
29,a busy field,0.2919
30,an old jail,0.2986
31,a modern jail,0.2895
32,a painting of a jail,0.3341
33,a small prison,0.2734
34,go to prison,0.2753
35,inside a prison,0.3008
36,a painting of a girlfriend,0.3057
37,a girlfriend in a home,0.2842
38,a girlfriend in a car,0.28
39,a girlfriend walking,0.2964
40,me and my girlfriend,0.2501
41,at the park with my girlfriend,0.278
42,my dad irons shirts,0.2606
43,she irons daily,0.2302
44,they iron clothes,0.2803
45,I iron pants,0.28
46,we iron uniforms,0.2981
47,he likes to iron,0.2494
48,a person exploring El Paso,0.3028
49,a painting of El Paso,0.3785
50,a person in El Paso,0.2862
51,El Paso landscape,0.3136
52,a typical house in El Paso,0.3069
53,a bird's eye view of El Paso,0.3214
54,a painting of a brother,0.3077
55,a man hiking with his brother,0.2948
56,a brother in a house,0.2562
57,me with my brother,0.2684
58,a brother at a table,0.3019
59,a brother at a park,0.2799
60,a painting of a sister,0.316
61,a man hiking with his sister,0.293
62,a sister in a house,0.277
63,me with my sister,0.2714
64,a sister at a table,0.3076
65,a sister at a park,0.2858
66,a painting of brothers,0.3212
67,brothers in a house,0.2695
68,me and my brothers,0.2757
69,brothers by a table,0.2946
70,brothers together,0.2645
71,brothers walking,0.306
72,a painting of sisters,0.3397
73,sisters in a house,0.2681
74,me and my sisters,0.2768
75,sisters by a table,0.2981
76,sisters together,0.2737
77,sisters walking,0.3014
78,a painting of Mexican American,0.3357
79,a Mexican American at a park,0.2927
80,a Mexican American neighborhood,0.3045
81,a Mexican American at a store,0.2764
82,a young Mexican American,0.3092
83,an old Mexican American,0.3108
84,a young man in a house,0.3093
85,a young man in a park,0.3176
86,a painting of a young man,0.3197
87,a young man in a neighborhood,0.2794
88,a young man on the ground,0.3095
89,a young man leaning,0.2983
90,a painting of a young man,0.3197
91,a young man on a sidewalk,0.3029
92,a young man on a trail,0.3212
93,a young man in a park,0.3176
94,a young man in a neighborhood,0.2794
95,a young man on a street,0.3195
96,a painting of a junkyard,0.3509
97,an old junkyard,0.3209
98,a modern junkyard,0.3112
99,a big junkyard,0.3127
100,a small junkyard,0.3134
101,a dirty junkyard,0.3238
102,a painting of alcohol,0.3352
103,aged alcohol,0.3117
104,strong alcohol,0.2581
105,old alcohol,0.306
106,a large alcohol,0.2814
107,a small alcohol,0.2763
108,a painting of a man,0.3098
109,a big man,0.2221
110,a smaller man,0.2636
111,a man in a house,0.299
112,a man in a park,0.2946
113,a man on a street,0.295
114,a painting of a godmother,0.3154
115,an old godmother,0.2716
116,a middle-aged godmother,0.2671
117,a godmother in a house,0.2813
118,a godmother at a park,0.2837
119,a godmother in a car,0.2862
120,a guy acting crazy,0.266
121,a crazy cat,0.2792
122,a crazy dog,0.2756
123,a child acting crazy,0.2794
124,a crazy painting,0.2924
125,a crazy toy,0.2597
126,a daughter,0.2521
127,a daughter at home,0.2716
128,a daughter at a park,0.2997
129,a younger daughter,0.2622
130,an older daughter,0.2545
131,a painting of a daugher,0.3174
132,a son,0.2121
133,a son at home,0.2717
134,a son at a park,0.296
135,a younger son,0.2736
136,an older son,0.2425
137,a painting of a son,0.3225
138,a painting of pulled pork,0.3599
139,pulled pork in a bowl,0.3228
140,pulled pork on a table,0.3264
141,lots of pulled pork,0.3294
142,pulled pork at a store,0.3095
143,a small amount of pulled pork,0.2991
144,a painting of California,0.3389
145,a California landscape,0.3242
146,a city in California,0.2961
147,older California,0.3065
148,an iconic bridge in California,0.3278
149,a California suburb,0.3202
150,money on a counter,0.2667
151,a painting of money,0.2837
152,money on a table,0.2554
153,money in the car,0.2753
154,money on the sidewalk,0.3194
155,a person holding money,0.2849
156,a painting of a close friend,0.2815
157,me and my close friend,0.2672
158,a close friend in a house,0.2549
159,a close friend at a cafe,0.2568
160,a close friend on the sidewalk,0.2853
161,a close friend in a park,0.2674
162,a cat getting pampered,0.3012
163,a dog getting pampered,0.3036
164,a person pampered himself,0.2569
165,a couple getting pampered,0.2654
166,a woman getting pampered,0.2797
167,a man getting pampered,0.2889
168,lunch in the house,0.2605
169,getting lunch,0.2392
170,lunch at the park,0.2875
171,a couple getting lunch,0.2713
172,lunch in the forest,0.3252
173,lunch in the meadow,0.3098
174,a boy at the park,0.305
175,a boy in a house,0.3095
176,a boy on the sidewalk,0.3203
177,a painting of a chamaco,0.3218
178,a boy at a school,0.2987
179,a boy and a soccer ball,0.3057
180,a girl at the park,0.3001
181,a girl in a house,0.2965
182,a girl on the sidewalk,0.3048
183,a girl and a basketball,0.3152
184,a girl at a school,0.2893
185,a girl at a store,0.2935
186,a pair of colorful flip-flops,0.3523
187,dirty flip-flops on the floor,0.3019
188,flip-flops at the beach,0.3096
189,new flip-flops in a store,0.3095
190,a woman wearing flip-flops,0.2942
191,broken flip-flops,0.3179
192,a bowl of cooked beans,0.3076
193,beans on a wooden table,0.2921
194,a spoonful of beans,0.3127
195,uncooked beans in a bowl,0.301
196,beans spilled on the floor,0.2661
197,a bag of dried beans,0.3041
198,a modern fridge,0.2983
199,an open fridge,0.3044
200,a dirty fridge,0.2857
201,a white fridge,0.3056
202,an empty fridge,0.2865
203,a broken fridge,0.2834
