Prompt_Index,SAE_Prompt,Score
0,a large black truck,0.2857
1,a green truck,0.3203
2,a truck with a dog,0.3134
3,a painting of a truck,0.3267
4,a new truck,0.2804
5,an old truck,0.3029
6,a painting of shaved ice,0.3603
7,a man enjoying shaved ice,0.3078
8,a cup of shaved ice,0.3218
9,colorful shaved ice,0.3337
10,cup of shaved ice on a table,0.2897
11,a blue shaved ice,0.3409
12,a friend group,0.2382
13,a big friend group,0.2491
14,a friend group at school,0.2267
15,a painting of a friend group,0.2989
16,a friend group at the park,0.2693
17,a loud friend group,0.2257
18,a painting of a godfather,0.3213
19,a godfather,0.2777
20,a godfather in a house,0.2618
21,an old godfather,0.245
22,a man with a godfather,0.2498
23,a woman with a godfather,0.2572
24,a big field,0.2768
25,a painting of a field,0.33
26,a person at a field,0.2991
27,a yellow field,0.3346
28,a green field,0.3456
29,a busy field,0.2878
30,an old jail,0.2961
31,a modern jail,0.2752
32,a painting of a jail,0.3286
33,a small prison,0.2785
34,go to prison,0.2615
35,inside a prison,0.2892
36,a painting of a girlfriend,0.3052
37,a girlfriend in a home,0.2549
38,a girlfriend in a car,0.2972
39,a girlfriend walking,0.2969
40,me and my girlfriend,0.2572
41,at the park with my girlfriend,0.2769
42,my dad irons shirts,0.2688
43,she irons daily,0.2494
44,they iron clothes,0.2615
45,I iron pants,0.2566
46,we iron uniforms,0.2717
47,he likes to iron,0.2699
48,a person exploring El Paso,0.2978
49,a painting of El Paso,0.358
50,a person in El Paso,0.2766
51,El Paso landscape,0.3063
52,a typical house in El Paso,0.2679
53,a bird's eye view of El Paso,0.3077
54,a painting of a brother,0.3069
55,a man hiking with his brother,0.3173
56,a brother in a house,0.2522
57,me with my brother,0.2841
58,a brother at a table,0.25
59,a brother at a park,0.2828
60,a painting of a sister,0.3054
61,a man hiking with his sister,0.3042
62,a sister in a house,0.2394
63,me with my sister,0.2582
64,a sister at a table,0.2557
65,a sister at a park,0.2725
66,a painting of brothers,0.3237
67,brothers in a house,0.2617
68,me and my brothers,0.2685
69,brothers by a table,0.2721
70,brothers together,0.2577
71,brothers walking,0.2962
72,a painting of sisters,0.3342
73,sisters in a house,0.2503
74,me and my sisters,0.2667
75,sisters by a table,0.2792
76,sisters together,0.2711
77,sisters walking,0.3033
78,a painting of Mexican American,0.3346
79,a Mexican American at a park,0.2869
80,a Mexican American neighborhood,0.2982
81,a Mexican American at a store,0.2818
82,a young Mexican American,0.2507
83,an old Mexican American,0.3092
84,a young man in a house,0.2687
85,a young man in a park,0.2903
86,a painting of a young man,0.3105
87,a young man in a neighborhood,0.2886
88,a young man on the ground,0.2826
89,a young man leaning,0.2683
90,a painting of a young man,0.3105
91,a young man on a sidewalk,0.2921
92,a young man on a trail,0.3152
93,a young man in a park,0.2903
94,a young man in a neighborhood,0.2886
95,a young man on a street,0.2897
96,a painting of a junkyard,0.3452
97,an old junkyard,0.3057
98,a modern junkyard,0.3015
99,a big junkyard,0.2954
100,a small junkyard,0.3058
101,a dirty junkyard,0.2889
102,a painting of alcohol,0.3261
103,aged alcohol,0.2812
104,strong alcohol,0.2549
105,old alcohol,0.285
106,a large alcohol,0.2633
107,a small alcohol,0.2724
108,a painting of a man,0.2956
109,a big man,0.2642
110,a smaller man,0.2319
111,a man in a house,0.2552
112,a man in a park,0.2748
113,a man on a street,0.2739
114,a painting of a godmother,0.3222
115,an old godmother,0.2543
116,a middle-aged godmother,0.2541
117,a godmother in a house,0.2676
118,a godmother at a park,0.2736
119,a godmother in a car,0.2861
120,a guy acting crazy,0.2645
121,a crazy cat,0.2647
122,a crazy dog,0.2539
123,a child acting crazy,0.2808
124,a crazy painting,0.289
125,a crazy toy,0.2724
126,a daughter,0.2352
127,a daughter at home,0.2646
128,a daughter at a park,0.2864
129,a younger daughter,0.2632
130,an older daughter,0.25
131,a painting of a daugher,0.2944
132,a son,0.2279
133,a son at home,0.2664
134,a son at a park,0.2985
135,a younger son,0.2593
136,an older son,0.2336
137,a painting of a son,0.3134
138,a painting of pulled pork,0.3627
139,pulled pork in a bowl,0.3181
140,pulled pork on a table,0.3037
141,lots of pulled pork,0.3148
142,pulled pork at a store,0.3099
143,a small amount of pulled pork,0.2981
144,a painting of California,0.3443
145,a California landscape,0.2691
146,a city in California,0.2759
147,older California,0.2525
148,an iconic bridge in California,0.3111
149,a California suburb,0.2955
150,money on a counter,0.2968
151,a painting of money,0.2944
152,money on a table,0.2934
153,money in the car,0.2968
154,money on the sidewalk,0.3155
155,a person holding money,0.2877
156,a painting of a close friend,0.2942
157,me and my close friend,0.274
158,a close friend in a house,0.2339
159,a close friend at a cafe,0.2634
160,a close friend on the sidewalk,0.2718
161,a close friend in a park,0.2758
162,a cat getting pampered,0.3083
163,a dog getting pampered,0.2951
164,a person pampered himself,0.2485
165,a couple getting pampered,0.2643
166,a woman getting pampered,0.2818
167,a man getting pampered,0.2708
168,lunch in the house,0.2608
169,getting lunch,0.2415
170,lunch at the park,0.298
171,a couple getting lunch,0.2597
172,lunch in the forest,0.3037
173,lunch in the meadow,0.3025
174,a boy at the park,0.2985
175,a boy in a house,0.2717
176,a boy on the sidewalk,0.3119
177,a painting of a chamaco,0.2907
178,a boy at a school,0.2918
179,a boy and a soccer ball,0.3044
180,a girl at the park,0.2969
181,a girl in a house,0.2635
182,a girl on the sidewalk,0.2839
183,a girl and a basketball,0.2887
184,a girl at a school,0.2886
185,a girl at a store,0.3063
186,a pair of colorful flip-flops,0.3223
187,dirty flip-flops on the floor,0.317
188,flip-flops at the beach,0.2979
189,new flip-flops in a store,0.3328
190,a woman wearing flip-flops,0.3188
191,broken flip-flops,0.3097
192,a bowl of cooked beans,0.3207
193,beans on a wooden table,0.3138
194,a spoonful of beans,0.3033
195,uncooked beans in a bowl,0.3241
196,beans spilled on the floor,0.2825
197,a bag of dried beans,0.3153
198,a modern fridge,0.2848
199,an open fridge,0.3139
200,a dirty fridge,0.3115
201,a white fridge,0.3168
202,an empty fridge,0.3072
203,a broken fridge,0.305
