old,new
abba,dad
agarbatti,incense stick
almirah,wardrobe
brinjal,eggplant
bundook,rifle
chick,window blind
dai,midwife
ghat,mountain pass
godown,warehouse
handicraftsman,artisan
incharge,person responsible
khana,food
kirana,grocery store
kulang,lacking
mandapa,pavilion
math,monastery
medical hall,pharmacy
medico,doctor
mo-bike,motorcycle
nagar,city
nai,barber
naka,checkpoint
nullah,drainage ditch
oont,camel
pani,water
petrol bunk,gas station
pial,low stool
rani,queen
satta,betting
simkin,?
thana,police station
tiffin,lunch box
yatra,pilgrimage
