Prompt_Index,Dialect_Prompt,SAE_Prompt,Score
0,a large black wrench,a large black truck,0.1787
1,a green torque,a green truck,0.2355
2,a walk with a dog,a truck with a dog,0.0
3,a picture of a twist,a painting of a truck,0.1811
4,a new torque,a new truck,0.2075
5,an old torque,an old truck,0.2162
6,a painting of shaved ice,a painting of shaved ice,0.3159
7,a man enjoying snow cones,a man enjoying shaved ice,0.0
8,a cup of shaved ice,a cup of shaved ice,0.0
9,colorful raspberries,colorful shaved ice,0.2267
10,cup of shaved ice on a table,cup of shaved ice on a table,0.3078
11,a blue snow cone,a blue shaved ice,0.3151
12,a click,a friend group,0.1936
13,a loud click,a big friend group,0.1872
14,a click at school,a friend group at school,0.2127
15,a painting of a chicken,a painting of a friend group,0.2472
16,a visit to the park,a friend group at the park,0.2429
17,a loud click,a loud friend group,0.196
18,a painting of a godfather,a painting of a godfather,0.3304
19,Godfather,a godfather,0.2836
20,a godfather in a house,a godfather in a house,0.2669
21,godfather,an old godfather,0.2615
22,a man with a godfather,a man with a godfather,0.262
23,a woman with a godfather,a woman with a godfather,0.257
24,a large file,a big field,0.0
25,a painting of a file,a painting of a field,0.2446
26,a person at a restaurant,a person at a field,0.1891
27,a yellow file,a yellow field,0.2256
28,a green file,a green field,0.2211
29,a crowded file,a busy field,0.0
30,an old paint,an old jail,0.1709
31,a modern ship,a modern jail,0.1871
32,a painting of a small turtle,a painting of a jail,0.0
33,a small pint,a small prison,0.1751
34,Go to Pinta.,go to prison,0.0
35,inside a ship,inside a prison,0.1997
36,a painting of a Jain,a painting of a girlfriend,0.2546
37,a Jain in a home,a girlfriend in a home,0.2179
38,a Jain in a car,a girlfriend in a car,0.2225
39,a Jain walking,a girlfriend walking,0.2377
40,my friend and I,me and my girlfriend,0.2322
41,At the park with my friend.,at the park with my girlfriend,0.0
42,My dad organizes shirts.,my dad irons shirts,0.0
43,She plans daily.,she irons daily,0.2327
44,They plan to wear clothes.,they iron clothes,0.216
45,I iron pants,I iron pants,0.2194
46,We plan to wear uniforms.,we iron uniforms,0.2561
47,he likes to plan,he likes to iron,0.1763
48,a person exploring El Paso's Chicano neighborhood,a person exploring El Paso,0.2975
49,a painting of Chuco,a painting of El Paso,0.2389
50,a person from Chico,a person in El Paso,0.2345
51,Chico landscape,El Paso landscape,0.2617
52,a typical house in Chico,a typical house in El Paso,0.2357
53,a bird's eye view of Chico,a bird's eye view of El Paso,0.2396
54,a painting of a sensual,a painting of a brother,0.2312
55,a man hiking with his companion,a man hiking with his brother,0.2607
56,a criminal in a house,a brother in a house,0.2208
57,with me and my friend,me with my brother,0.0
58,a person with a strong sexual appetite at a table,a brother at a table,0.2284
59,a homeless person at a park,a brother at a park,0.2192
60,a painting of a carnation,a painting of a sister,0.2548
61,a man hiking with his companion,a man hiking with his sister,0.2636
62,a woman in a house,a sister in a house,0.2563
63,You with your little friend,me with my sister,0.0
64,a friend at a table,a sister at a table,0.0
65,a woman at a park,a sister at a park,0.2618
66,a painting of gangsters,a painting of brothers,0.2848
67,friends in a house,brothers in a house,0.0
68,My friends and I,me and my brothers,0.0
69,friends by a table,brothers by a table,0.0
70,friends together,brothers together,0.0
71,homosexuals walking,brothers walking,0.27
72,a painting of carnivals,a painting of sisters,0.2262
73,carnivals in a house,sisters in a house,0.147
74,My cousins and I,me and my sisters,0.0
75,Carry everything using a table.,sisters by a table,0.0
76,carnivals together,sisters together,0.201
77,Girls walking,sisters walking,0.2822
78,a painting of Raza,a painting of Mexican American,0.2822
79,a group of people at a park,a Mexican American at a park,0.2066
80,a Hispanic neighborhood,a Mexican American neighborhood,0.2916
81,a race at a store,a Mexican American at a store,0.1689
82,a young Latino,a young Mexican American,0.2724
83,an old person of Latin American descent,an old Mexican American,0.2795
84,A guy in a house,a young man in a house,0.2657
85,A guy in a park,a young man in a park,0.2663
86,painting of a man,a painting of a young man,0.0
87,a man in a neighborhood,a young man in a neighborhood,0.0
88,A man on the ground,a young man on the ground,0.0
89,a man leaning,a young man leaning,0.0
90,a painting of an Asian,a painting of a young man,0.2825
91,a person on a sidewalk,a young man on a sidewalk,0.2634
92,a man on a trail,a young man on a trail,0.2715
93,a Black person in a park,a young man in a park,0.0
94,an Asian in a neighborhood,a young man in a neighborhood,0.2519
95,a person on a street,a young man on a street,0.2669
96,a painting of a yak,a painting of a junkyard,0.2057
97,an old John Deere,an old junkyard,0.1764
98,a young person,a modern junkyard,0.0
99,a large yak,a big junkyard,0.1707
100,a small yak,a small junkyard,0.1569
101,a dirty John Deere,a dirty junkyard,0.178
102,a painting of pistachio,a painting of alcohol,0.2504
103,old pistachio,aged alcohol,0.212
104,strong pistachio,strong alcohol,0.2006
105,old pizza,old alcohol,0.2063
106,a large pistachio,a large alcohol,0.2108
107,a small pistachio,a small alcohol,0.233
108,a painting of a bat,a painting of a man,0.2391
109,a big boat,a big man,0.181
110,a smaller boat,a smaller man,0.1961
111,a bat in a house,a man in a house,0.1997
112,a bat in a park,a man in a park,0.2086
113,A man on the street,a man on a street,0.2819
114,a painting of a godmother,a painting of a godmother,0.3099
115,godmother,an old godmother,0.2492
116,a godmother,a middle-aged godmother,0.2388
