Prompt_Index,SAE_Prompt,Normalized_Score
0,a long line,0.6762
1,a short line,0.5197
2,a painting of a long line,0.5392
3,a line of people,0.564
4,a line outside the store,0.4421
5,a line for food,0.4727
6,a team scoring a soccer goal,0.4842
7,queue at a pharmacy shop,0.423
8,an attorney at a table,0.6479
9,an old attorney,0.5006
10,an attorney at a park,0.8686
11,an attorney with a woman,0.6117
12,an attorney with a notepad,0.5343
13,a painting of an attorney,0.8489
14,a school janitor,0.7749
15,a dirty janitor,0.7609
16,a tired janitor,0.8454
17,a busy janitor,0.7713
18,a painting of an old janitor,0.8102
19,a janitor in a mall,0.716
20,a young mailman,0.8601
21,a lazy mailman,0.8756
22,a tired mailman,0.8238
23,a busy mailman,0.8563
24,a painting of an old mailman,0.878
25,a mailman on the street,0.8207
26,inside of the subway,0.3638
27,a subway station,0.3174
28,a sliced eggplant,0.2872
29,an eggplant on the table,0.1555
30,eggplant in a basket,0.1376
31,a painting of an eggplant,0.317
32,a moldy eggplant,0.1072
33,a dish with eggplant,0.186
34,people on a crosswalk,0.51
35,a busy crosswalk,0.5344
36,a woman on a crosswalk,0.6104
37,a band-aid wrapped around a finger,0.7041
38,a band-aid covering a small cut,0.6059
39,a band-aid on an injured knee,0.5825
40,a colorful band-aid on an elbow,0.6143
41,a band-aid for a cut,0.6313
42,a band-aid peeling off skin,0.6415
