Prompt_Index,SAE_Prompt,Score
0,a little boy playing with a yoyo,0.4905
1,a little girl playing with a toy car,0.9853
2,a little cat sitting on top of the piano,0.9529
3,a little dog playing in the backyard,0.8691
4,a little one story blue house,0.8795
5,a little baby wrapped in a blanket,0.9497
6,a man driving his car,0.8094
7,a woman driving her blue car,0.476
8,a man driving a new car on the freeway,0.5929
9,a red car parked in the garage,0.5965
10,a car parked by the curb,0.8592
11,a black car with chrome rims,0.8158
12,a man in front of his house,0.969
13,a woman in front of her house,0.9253
14,a family in front of their new house,0.8782
15,a retiree and her one story house with a flower garden,0.9097
16,a house with a white picket fence,0.9255
17,a brick house with a garden,0.9639
18,a man holler at a girl across the street,0.2938
19,a man holler at a woman near the bus stop,0.3997
20,a man holler at a woman walking past him,0.3064
21,a man holler at his close friend from the balcony,0.4147
22,a loud holler from the audience during the show,0.5693
23,she heard a holler from across the street,0.3982
24,me and my close friend hanging out at a cafe,0.8899
25,my close friend talking on the phone,0.6429
26,my close friend waiting outside the store,0.457
27,me and my close friend eating together at lunch,0.8223
28,a close friend from childhood playing video games together,0.8345
29,a close friend with a skateboard,0.4957
30,me and my friends hanging out after school,0.7755
31,me and my friends at a restaurant,0.9475
32,taking a selfie with my friends,0.9493
33,me and my friends hanging out at a cafe,0.9607
34,my friends hanging out at the park,0.9017
35,a group of friends in matching shirts,0.9813
36,an old grandma in front of a new england style house,0.9396
37,my grandmother and my dad,0.7565
38,my grandmother with my mom,0.7542
39,my grandmother and her cat,0.8727
40,a grandma knitting a sweater,0.8955
41,a grandma baking cookies,0.7681
42,a picture of my lover smiling at the beach,0.6806
43,me and my lover holding hands at sunset,0.7932
44,my lover posing in a botanical garden,0.6734
45,my lover drinking coffee,0.7054
46,a lover holding a bouquet of roses,0.8504
47,a lover taking a selfie,0.681
48,a wallet full of money,0.6868
49,pay with some money,0.615
50,a man paying money to the cashier,0.6485
51,a woman paying money to the shopkeeper,0.5676
52,a wallet overflowing with fresh green money,0.7582
53,an armored cash carrier carrying bags of money,0.1589
54,a man wearing sneakers,0.9297
55,a girl wearing white leather sneakers,0.9067
56,a pair of stylish sneakers,0.9435
57,a pair of gray sneakers,0.9751
58,a row of sneakers in a store,0.8356
59,a pair of sneakers hanging on a wire,0.9319
60,a man aiming his gun,0.9119
61,a man aiming his gun in a dark alley,0.8709
62,a woman firing her gun at the target,0.6888
63,a soldier carrying a gun,0.9597
64,a gun in a holster,0.9706
65,a gun tucked into a waistband,0.595
66,a man wearing cool clothes,0.83
