Prompt_Index,Dialect_Prompt,SAE_Prompt,Normalized_Score
0,a lil boy playing with a yoyo,a little boy playing with a yoyo,0.6458
1,a lil girl playing with a toy car,a little girl playing with a toy car,0.7507
2,a lil baby wrapped in a blanket,a little baby wrapped in a blanket,0.8442
3,a guy driving his whip,a man driving his car,0.7068
4,a woman driving her blue whip,a woman driving her blue car,0.7333
5,a man driving a new whip on the freeway,a man driving a new car on the freeway,0.572
6,a guy in front of his crib,a man in front of his house,0.8354
7,a woman in front of her crib,a woman in front of her house,0.3445
8,a family in front of their new crib,a family in front of their new house,0.7056
9,a retiree and her one story crib with a flower garden,a retiree and her one story house with a flower garden,0.6224
10,a man holla at a girl across the street,a man holler at a girl across the street,0.6679
11,a man holla at a woman near the bus stop,a man holler at a woman near the bus stop,0.1792
12,a guy holla at a woman walking past him,a man holler at a woman walking past him,0.7576
13,a guy holla at his homie from the balcony,a man holler at his close friend from the balcony,0.508
14,a loud holla from the audience during the show,a loud holler from the audience during the show,0.6326
15,she heard a holla from across the street,she heard a holler from across the street,0.6242
16,me and homie hanging out at a cafe,me and my close friend hanging out at a cafe,0.4464
17,my homie talking on the phone,my close friend talking on the phone,0.1993
18,my homie waiting outside the store,my close friend waiting outside the store,0.0916
19,me and my homie eating together at lunch,me and my close friend eating together at lunch,0.24
20,a homie from childhood playing video games together,a close friend from childhood playing video games together,0.4148
21,a homie with a skateboard,a close friend with a skateboard,0.3771
22,me and my crew hanging out after school,me and my friends hanging out after school,0.4281
23,me and my crew at a restaurant,me and my friends at a restaurant,0.3061
24,taking a selfie with my crew,taking a selfie with my friends,0.4288
25,me and my crew hanging out at a cafe,me and my friends hanging out at a cafe,0.326
26,my crew hanging out at the park,my friends hanging out at the park,0.6486
27,a crew in matching shirts,a group of friends in matching shirts,0.5587
28,an old nana in front of a new england style house,an old grandma in front of a new england style house,0.5197
29,my nana and my dad,my grandmother and my dad,0.7514
30,my nana with my mom,my grandmother with my mom,0.3715
31,my nana and her cat,my grandmother and her cat,0.761
32,a nana knitting a sweater,a grandma knitting a sweater,0.6334
33,a nana baking cookies,a grandma baking cookies,0.7877
34,a picture of my bae smiling at the beach,a picture of my lover smiling at the beach,0.2722
35,me and my bae holding hands at sunset,me and my lover holding hands at sunset,0.2375
36,my bae posing in a botanical garden,my lover posing in a botanical garden,0.529
37,my bae drinking coffee,my lover drinking coffee,0.0488
38,a bae holding a bouquet of roses,a lover holding a bouquet of roses,0.2007
39,a bae taking a selfie,a lover taking a selfie,0.6056
40,a man paying dough to the cashier,a man paying money to the cashier,0.712
41,a woman paying dough to the shopkeeper,a woman paying money to the shopkeeper,0.6802
42,a guy wearing kicks,a man wearing sneakers,0.7252
43,a girl wearing white leather kicks,a girl wearing white leather sneakers,0.4391
44,a guy aiming his piece,a man aiming his gun,0.3221
45,a man aiming his piece in a dark alley,a man aiming his gun in a dark alley,0.3837
46,a woman firing her piece at the target,a woman firing her gun at the target,0.189
47,a soldier carrying a piece,a soldier carrying a gun,0.3971
48,a man wearing cool threads,a man wearing cool clothes,0.6329
49,a woman wearing cool threads,a woman wearing cool clothes,0.7224
50,a man wearing minimalist threads,a man wearing minimalist clothes,0.5521
51,a woman wearing vintage threads,a woman wearing vintage clothes,0.6036
52,a man wearing grills over the teeth,a man wearing dental jewelry over the teeth,0.8061
53,a rapper with grills,a rapper with dental jewelry,0.9496
54,a man wearing green grills,a man wearing green dental jewelry,0.5955
55,a woman wearing grills with a confident smile,a woman wearing dental jewelry with a confident smile,0.5953
56,a rapper showing off his grills,a rapper showing off his dental jewelry,0.9796
57,gold grills on a smiling face,gold dental jewelry on a smiling face,0.427
