Prompt_Index,SAE_Prompt,Normalized_Score
0,a crowded monastery,0.5818
1,a painting of some champagne,0.8971
2,an old midwife,0.424
3,a midwife with a woman,0.344
4,a painting of a midwife,0.606
5,a young midwife,0.3265
6,a midwife sitting down,0.2996
7,a photograph of a midwife with a cat,0.4611
8,a medical practitioner at a table,0.3858
9,an old medical practitioner,0.2212
10,a medical practitioner at a park,0.1755
11,a medical practitioner with a woman,0.4096
12,a medical practitioner with a notepad,0.202
13,a painting of a medical practitioner,0.2764
14,a barber in red,0.601
15,an old barber,0.3717
16,a barber by the chair,0.6176
17,a barber working,0.6574
18,a person walking into a police station,0.294
19,a father in front of a house,0.355
20,a girl standing with her father,0.2379
21,a crying father,0.4018
22,a father on a bed,0.446
23,an old father with a dog,0.4959
24,an old father in the kitchen,0.5405
25,a beautiful queen,0.6592
26,a queen in a garden,0.567
27,a painting of an old queen,0.6517
28,a queen covered in snow,0.6799
29,a queen in a large hall,0.3506
30,an old queen on a bed,0.5262
31,a painting of a eggplant,0.2411
32,a person with some food,0.6363
33,a family enjoying food,0.6467
34,a bustling town,0.3603
35,a lively town,0.2656
36,a painting of incense,0.6382
37,a busy warehouse,0.4529
38,a very busy gas station,0.6249
39,a man with a blue motorcycle,0.1486
40,a black motorcycle,0.1763
41,an old craftsman,0.6047
42,a group of craftsmen,0.4003
43,a craftsman in a house,0.5717
44,a dirty craftsman,0.6979
45,a craftsman in orange,0.4594
46,a craftsman in a big city,0.5912
47,an angry supervisor,0.4699
48,an old supervisor,0.5484
49,a supervisor in a room,0.518
50,a painting of a supervisor,0.6141
51,a supervisor in the office,0.5846
52,a supervisor with a group of people,0.7117
53,a child with water,0.4731
54,a man next to a checkpoint,0.0768
55,a lively luncheon,0.8677
56,a luncheon in the building,0.331
57,an indoor luncheon,0.6018
58,a luncheon in the city,0.7069
59,a luncheon at school,0.8139
60,the inside of a gambling den,0.3506
61,a gambling room,0.2978
62,a place of gambling,0.5308
63,a bustling gambling den,0.4447
64,a luxurious gambling den,0.3362
65,a group of people gambling,0.2722
66,a mechanic inspecting a spare tire,0.6394
67,a group photo of my classmates,0.2315
68,my classmate smiling,0.3312
69,two classmates studying,0.4852
70,a classmate at a desk,0.6518
71,classmates outside the school,0.3104
72,a classmate playing basketball,0.669
