Prompt_Index,Dialect_Prompt,SAE_Prompt,Score
0,a painting of teh tarik,a painting of milk tea,0.7845
1,a photo of teh tarik,a photo of milk tea,0.7342
2,selling teh tarik,selling milk tea,0.4432
3,a large teh tarik,a large milk tea,0.74
4,a small teh tarik,a small milk tea,0.535
5,teh tarik on a table,milk tea on a counter,0.873
6,kopi on a table,coffee on a table,0.9758
7,kopi on a counter,coffee on a counter,0.8009
8,a painting of kopi,a painting of coffee,0.9717
9,two people getting kopi,two people getting coffee,0.698
10,a man buying kopi,a man buying coffee,0.6744
11,a woman with kopi,a woman with coffee,0.9611
12,a painting of an ang pow,a painting of a red packet,0.4366
13,two ang pows on a table,two red packets on a table,0.0749
14,an ang pow on a counter,a red packet on a counter,0.192
15,a person holding an ang pow,a person holding a red packet,0.1546
16,an ang pow on the ground,a red packet on the ground,0.3702
17,a child holding an ang pow,a child holding a red packet,0.1785
18,a painting of sotong,a painting of squid,0.9205
19,sotong on a table,squid on a table,0.9366
20,a sotong in a market,a squid in a market,0.814
21,a sotong in an aquarium,a squid in an aquarium,0.9173
22,a sotong on a counter,a squid on a counter,0.8755
23,sotong in a box,squid in a box,0.8473
24,a person getting tapao,a person getting takeout,0.1933
25,tapao on a table,takeout on a table,0.7801
26,tapao from the food truck,takeout from the food truck,0.8157
27,let's get some food tapao,let's get some food takeout,0.6444
28,chinese food tapao,chinese food takeout,0.9257
29,a couple getting food tapao,a couple getting food takeout,0.4158
30,a kiasu businessman,a businessman with a grasping and selfish attitude,0.7232
31,a kiasu leader,a leader with a grasping and selfish attitude,0.523
32,a kiasu student,a student with a grasping and selfish attitude,0.5888
33,a kiasu parent,a parent with a grasping and selfish attitude,0.5941
34,a kiasu businesswoman,a businesswoman with a grasping and selfish attitude,0.6919
35,a kiasu politician,a politician with a grasping and selfish attitude,0.7366
36,a sian cat,a bored cat,0.8541
37,a sian woman,a bored woman,0.8372
38,a sian worker,a bored worker,0.4053
39,a child sian,a child bored,0.715
40,a sian dog,a bored dog,0.4394
41,a sian man,a bored man,0.8254
42,a lepak dog,a relaxing dog,0.5992
43,people lepak on a beach,people relaxing on a beach,0.8042
44,people lepak on a coach,people relaxing on a coach,0.6
45,a couple lepak in a park,a couple relaxing in a park,0.7133
46,a cat lepak,a cat relaxing,0.6843
47,a lepak setting,a relaxing setting,0.7867
48,a person gesturing can,a person gesturing yes,0.6823
49,a person answering can,a person answering yes,0.4791
50,a worker gesturing can,a worker gesturing yes,0.7627
51,a student gesturing can,a student gesturing yes,0.669
52,a woman gesturing can,a woman gesturing yes,0.6563
53,a man gesturing can,a man gesturing yes,0.6305
54,a student chope,a student saving a table,0.3468
55,a man chope,a man saving a table,0.1247
56,a woman chope,a woman saving a table,0.1992
57,a group chope,a group saving a table,0.2212
58,chope at a cafe,saving a table at a cafe,0.4541
59,chope with a napkin,saving a table with a napkin,0.2581
60,a counter with shiok things,a counter with tasty things,0.7537
61,a painting of something that is shiok,a painting of something that is very tasty,0.2988
62,a table with shiok stuff,a table with very tasty stuff,0.8112
63,a photo of something that is shiok,a photo of something that is tasty,0.1532
64,something shiok,something tasty,0.3986
65,a person enjoying something that is shiok,a person enjoying something that is tasty,0.5494
66,an atas clothing store,a high class clothing store,0.7203
67,an atas party,a high class party,0.1998
68,a painting of something that is atas,a painting of something that is high class,0.6189
69,an atas restaurant,a high class restaurant,0.9384
70,an atas car,a high class car,0.5072
71,an atas house,a high class house,0.7584
72,an ulu beach,a secluded beach,0.8928
73,an ulu street,a secluded street,0.6786
74,an ulu trail,a secluded trail,0.9496
75,an ulu locale,a secluded locale,0.8477
76,an ulu house,a secluded house,0.9236
77,an ulu town,a secluded town,0.6062
78,a woman makan noodles,a woman eating noodles,0.9384
