Prompt_Index,SAE_Prompt,Score
0,a red semitruck driving down the street,0.9626
1,a delivery semitruck loaded with packages,0.9061
2,a semitruck parked by the curb,0.511
3,a semitruck parked at a stop sign,0.6663
4,a semitruck hauling timber,0.9901
5,a semitruck with a flat tire,0.5109
6,a cozy sweater hanging in a closet,0.9712
7,a man wearing a purple sweater,0.9897
8,a woman knitting a brown sweater,0.958
9,a sweater with reindeer patterns,0.9859
10,a sweater on a hanger,0.9718
11,a sweater folded neatly,0.6914
12,a girl knocking on the bathroom door,0.6384
13,a set of fresh towels in the bathroom,0.9703
14,a line of people waiting outside the bathroom,0.8388
15,a bathroom with a leaky faucet,0.9422
16,a tidy bathroom with shiny blue wall tiles,0.9491
17,a bathroom with a shower curtain,0.9764
18,a pack of sausages at the grocery store,0.854
19,a plate of sausages and eggs with toast,0.9558
20,a man cutting a sausage in half,0.9166
21,sausages on a grill,0.9115
22,sausages and mashed potatoes on a plate,0.987
23,my sausages sizzling in a pan,0.9171
24,a woman throwing away the trash,0.8925
25,a bin overflowing with trash,0.9668
26,a raccoon going through trash,0.9352
27,a trash can near a park bench,0.9923
28,a trash pile in an alley,0.9788
29,a trash dumpster in a construction site,0.9333
30,a top-floor apartment with a view of the city,0.9768
31,a college student's apartment,0.8532
32,a cozy apartment in the city,0.9426
33,an apartment with a balcony overlooking the city,0.98
34,an apartment with a rooftop garden,0.937
35,my apartment with an open-plan kitchen,0.7604
36,a man loading luggage into the car trunk,0.9373
37,a spare tire in the car trunk,0.9436
38,a woman putting groceries in the car trunk,0.943
39,a car trunk filled with groceries,0.9913
40,a car trunk packed for a road trip,0.9585
41,my car trunk after a shopping spree,0.8811
42,a boy waiting in the line at a grocery store,0.5834
43,a line for the rollercoaster,0.9458
44,a line of cars at a drive-through,0.5108
45,a line at the ticket counter,0.719
46,a line for the morning bus,0.8277
47,a line at the post office,0.8788
48,a man ironing creases in his pants,0.7132
49,a pair of purple pants folded on a chair,0.9243
50,a kid wearing a pair of blue pants,0.9679
51,a pants display in a store,0.976
52,pants with a matching blazer,0.9198
53,my pants hanging in the closet,0.9131
54,a woman enjoying a cup of tea with a cookie,0.987
55,a tin of assorted cookies,0.7841
56,a man baking homemade cookies,0.9421
57,a cookie with chocolate chips,0.8999
58,a cookie on a baking tray,0.9004
59,a cookie with a bite taken out,0.9658
60,a beam of light from the flashlight,0.943
61,a man searching in the dark with a flashlight,0.8001
62,a rechargeable LED flashlight,0.8867
63,my flashlight in a toolbox,0.828
64,a flashlight with low battery,0.5224
65,a policeman shining a flashlight at the suspect,0.6086
66,a mother changing her baby's diaper,0.8683
67,a pack of cloth diapers,0.916
68,a happy baby wearing pink diapers,0.9793
69,a diaper on a changing table,0.8388
70,diapers with cute patterns,0.966
71,a diaper on a clothesline,0.9331
72,a gasoline station at night,0.9879
73,a man filling up his car with gasoline,0.9658
74,a sign showing gasoline prices,0.9785
75,a gasoline pump at a station,0.9121
76,a gasoline tanker on the road,0.8994
77,a brightly lit gasoline station sign at night,0.9357
78,a group of kids kicking a soccer ball,0.9766
