Prompt_Index,SAE_Prompt,Score
0,a large black truck driving on a neighborhood street,0.634
1,a woman driving a green truck on a farm,0.9075
2,a truck with a dog in the back,0.6458
3,a man driving a truck on the highway,0.5947
4,two kids sitting on the back of a truck,0.7804
5,a truck parked on a driveway,0.3489
6,a street vendor selling shaved ice,0.8849
7,a man enjoying shaved ice on a hot day,0.8093
8,a cup of shaved ice near a tree,0.8307
9,a colorful cup of shaved ice next to a spoon,0.9145
10,a girl enjoying a bowl of shaved ice in the park,0.6648
11,two people sharing a cup of shaved ice on the table,0.5882
12,a street mural of a friend group hanging out together,0.845
13,a group of teens in a friend group walking through the neighborhood,0.6867
14,a friend group gathered around a bench talking,0.8553
15,a friend group laughing loudly by a taco stand,0.3124
16,a friend group posing for a picture in front of a mural,0.6388
17,a friend group skateboarding down the street together,0.8822
18,a godfather cutting a birthday cake,0.6588
19,a godfather officiating a wedding ceremony,0.5416
20,a godfather playing chess with his godson,0.4018
21,a godfather cheering at a baseball game,0.4169
22,a godfather enjoying a cigar in a lounge,0.7699
23,a godfather gifting a necklace at a baptism,0.5605
24,a person hiking through a field,0.865
25,a park with a big field,0.9441
26,a person running through a field,0.8643
27,a brown dog running in the field,0.9567
28,two kids playing around in the field,0.8806
29,a wide and open field next to the lake,0.5362
30,two men sitting in a jail cell,0.7226
31,a jail guard standing in front of a wall,0.8022
32,a tall jail building surrounded by barbed wire,0.78
33,a small prison with high fences,0.6663
34,a man about to go to prison,0.6355
35,inside a prison with barred windows,0.8982
36,a person and their girlfriend walking down a street,0.864
37,a man and his girlfriend laughing,0.7937
38,a person and their girlfriend dressed in similar looking clothes,0.6285
39,my girlfriend and I driving in a blue car,0.7177
40,me having dinner in a restaurant with my girlfriend,0.5666
41,a sunny day in the park with my girlfriend,0.5694
42,a person irons a dress shirt,0.6864
43,a person irons a towel in a sunny room,0.635
44,a man irons his pants before work,0.6131
45,my mother irons the curtains,0.4423
46,a woman irons clothes in the laundry room,0.741
47,my brother irons his uniform shirt,0.3626
48,a person exploring El Paso on a sunny afternoon,0.5916
49,a lively restaurant in El Paso bustling at night,0.4863
50,a quiet street in El Paso lined with flowering plants,0.7943
51,a crowded bus station in El Paso near downtown,0.5771
52,a typical single-story house in El Paso with a porch,0.8191
53,a bird's eye view of El Paso with mountains in background,0.9423
54,a woman and her brother eating at a restaurant,0.439
55,a man hiking with his brother on a forest trail,0.6872
56,my brother posing for a picture,0.6153
57,me standing with my brother,0.6953
58,my brother and I sitting at a table,0.7146
59,my brother riding a bike,0.6212
60,a woman and her sister eating at a restaurant,0.5279
61,a man hiking with his sister through a mountain path,0.6409
62,me and my sister posing for a picture,0.5292
63,me standing with my sister,0.6071
64,my sister and I sitting at a table,0.716
65,my sister riding a bike,0.6346
66,my brothers playing basketball together,0.7243
67,a brothers duo in a rock band,0.7355
68,my brothers on a camping trip,0.6191
69,a brothers wrestling match,0.6847
70,my brothers building a treehouse,0.4061
71,a brothers handshake at graduation,0.6265
72,a sisters moment at a wedding,0.8079
73,my sisters studying together,0.5991
74,a sisters dance routine,0.8216
75,my sisters sharing a secret,0.6997
76,my sisters having a tea party in the garden,0.5735
77,my sisters braiding each other's hair,0.5432
78,a group of mexican americans at a family reunion,0.5881
79,a mexican american activist speaking at a rally,0.6039
80,a mexican american community center hosting an event,0.4546
81,a mexican american cultural festival in the park,0.864
82,a mexican american musician performing live,0.7408
83,a mexican american student at a graduation ceremony,0.7229
84,a young man wearing sunglasses and a bandana,0.9451
85,a young man skateboarding down a hill,0.843
86,a young man leaning against a lowrider,0.7202
87,a young man playing an acoustic guitar,0.9074
88,a young man writing in a journal at a cafe,0.6996
89,a young man shooting pool at a bar,0.4956
90,a young man playing basketball in a local court,0.688
91,a young man walking his pitbull in the neighborhood,0.8683
92,a young man buying street tacos from a food truck,0.5122
93,a young man riding a BMX bike in a skate park,0.9497
94,a young man breakdancing on a city street,0.8265
95,a young man playing the trumpet in a mariachi band,0.7312
96,a junkyard with stacks of old tires,0.8322
97,a junkyard with a rusty old crane,0.7264
98,a junkyard filled with abandoned bicycles,0.8037
99,a junkyard with a broken-down school bus,0.7182
100,a junkyard guarded by a stray dog,0.1141
101,a junkyard with piles of scrap metal,0.9332
102,an alcohol bottle with a lime wedge,0.8425
103,an alcohol cocktail with an umbrella,0.8517
104,an alcohol shot glass on a bar counter,0.8872
105,an alcohol flask in a back pocket,0.6971
106,an alcohol can sitting by a campfire,0.5272
107,an alcohol mixed drink with fruit garnish,0.8951
108,a man grilling burgers at a cookout,0.8961
109,a man riding a horse at a ranch,0.724
110,a man repairing a broken fence,0.6973
111,a man practicing archery in a field,0.9185
