Prompt_Index,SAE_Prompt,Normalized_Score
0,a crowded monastery,0.0
1,a painting of some champagne,1.0
2,an old midwife,0.0287
3,a midwife with a woman,0.9963
4,a painting of a midwife,0.0
5,a young midwife,0.0
6,a midwife sitting down,0.0
7,a photograph of a midwife with a cat,0.0
8,a medical practitioner at a table,1.0
9,an old medical practitioner,0.9972
10,a medical practitioner at a park,1.0
11,a medical practitioner with a woman,0.9915
12,a medical practitioner with a notepad,1.0
13,a painting of a medical practitioner,0.0
14,a barber in red,0.0
15,an old barber,1.0
16,a barber by the chair,1.0
17,a barber working,1.0
18,a person walking into a police station,0.0
19,a father in front of a house,1.0
20,a girl standing with her father,0.0
21,a crying father,0.0
22,a father on a bed,1.0
23,an old father with a dog,0.0
24,an old father in the kitchen,1.0
25,a beautiful queen,0.0
26,a queen in a garden,1.0
27,a painting of an old queen,1.0
28,a queen covered in snow,1.0
29,a queen in a large hall,1.0
30,an old queen on a bed,1.0
31,a painting of a eggplant,0.0
32,a person with some food,0.0
33,a family enjoying food,0.0
34,a bustling town,0.0
35,a lively town,0.9694
36,a painting of incense,0.0
37,a busy warehouse,1.0
38,a very busy gas station,1.0
39,a man with a blue motorcycle,1.0
40,a black motorcycle,0.1058
41,an old craftsman,0.0
42,a group of craftsmen,0.0
43,a craftsman in a house,0.0
44,a dirty craftsman,0.0
45,a craftsman in orange,0.0
46,a craftsman in a big city,0.0
47,an angry supervisor,0.0
48,an old supervisor,0.0
49,a supervisor in a room,1.0
50,a painting of a supervisor,1.0
51,a supervisor in the office,1.0
52,a supervisor with a group of people,0.0
53,a child with water,0.0
54,a man next to a checkpoint,0.9974
55,a lively luncheon,0.0
56,a luncheon in the building,0.9142
57,an indoor luncheon,0.0
58,a luncheon in the city,1.0
59,a luncheon at school,0.0
60,the inside of a gambling den,1.0
61,a gambling room,0.0
62,a place of gambling,0.0
63,a bustling gambling den,0.0
64,a luxurious gambling den,0.0
65,a group of people gambling,0.0
66,a mechanic inspecting a spare tire,0.2074
67,a group photo of my classmates,0.0
68,my classmate smiling,1.0
69,two classmates studying,0.0
70,a classmate at a desk,0.0
71,classmates outside the school,0.0
72,a classmate playing basketball,0.0
