Prompt_Index,SAE_Prompt,Score
0,a large black truck,0.3054
1,a green truck,0.2842
2,a truck with a dog,0.3091
3,a painting of a truck,0.3478
4,a new truck,0.2796
5,an old truck,0.3073
6,a painting of shaved ice,0.3792
7,a man enjoying shaved ice,0.3371
8,a cup of shaved ice,0.2993
9,colorful shaved ice,0.319
10,cup of shaved ice on a table,0.3098
11,a blue shaved ice,0.376
12,a friend group,0.228
13,a big friend group,0.2285
14,a friend group at school,0.2392
15,a painting of a friend group,0.2888
16,a friend group at the park,0.2376
17,a loud friend group,0.217
18,a painting of a godfather,0.2838
19,a godfather,0.2465
20,a godfather in a house,0.2153
21,an old godfather,0.2388
22,a man with a godfather,0.2403
23,a woman with a godfather,0.2569
24,a big field,0.2584
25,a painting of a field,0.3171
26,a person at a field,0.2707
27,a yellow field,0.3108
28,a green field,0.2836
29,a busy field,0.2637
30,an old jail,0.3022
31,a modern jail,0.2716
32,a painting of a jail,0.3001
33,a small prison,0.2226
34,go to prison,0.2396
35,inside a prison,0.2836
36,a painting of a girlfriend,0.2879
37,a girlfriend in a home,0.2227
38,a girlfriend in a car,0.2454
39,a girlfriend walking,0.2366
40,me and my girlfriend,0.2452
41,at the park with my girlfriend,0.2433
42,my dad irons shirts,0.316
43,she irons daily,0.2461
44,they iron clothes,0.2293
45,I iron pants,0.2389
46,we iron uniforms,0.2498
47,he likes to iron,0.2251
48,a person exploring El Paso,0.3079
49,a painting of El Paso,0.4083
50,a person in El Paso,0.2753
51,El Paso landscape,0.3378
52,a typical house in El Paso,0.3059
53,a bird's eye view of El Paso,0.3218
54,a painting of a brother,0.2922
55,a man hiking with his brother,0.304
56,a brother in a house,0.2225
57,me with my brother,0.2351
58,a brother at a table,0.2489
59,a brother at a park,0.2448
60,a painting of a sister,0.2864
61,a man hiking with his sister,0.29
62,a sister in a house,0.2285
63,me with my sister,0.2432
64,a sister at a table,0.2528
65,a sister at a park,0.2102
66,a painting of brothers,0.293
67,brothers in a house,0.2262
68,me and my brothers,0.2829
69,brothers by a table,0.2657
70,brothers together,0.2499
71,brothers walking,0.2961
72,a painting of sisters,0.3086
73,sisters in a house,0.2733
74,me and my sisters,0.2429
75,sisters by a table,0.293
76,sisters together,0.2696
77,sisters walking,0.2478
78,a painting of Mexican American,0.2576
79,a Mexican American at a park,0.3007
80,a Mexican American neighborhood,0.2668
81,a Mexican American at a store,0.3078
82,a young Mexican American,0.2962
83,an old Mexican American,0.2608
84,a young man in a house,0.2513
85,a young man in a park,0.2641
86,a painting of a young man,0.2688
87,a young man in a neighborhood,0.2454
