Prompt_Index,Dialect_Prompt,SAE_Prompt,Score
0,a red lorry driving down the street,a red semitruck driving down the street,0.2307
1,a delivery lorry loaded with packages,a delivery semitruck loaded with packages,0.3313
2,a lorry parked by the curb,a semitruck parked by the curb,0.2775
3,a lorry parked at a rest stop,a semitruck parked at a stop sign,0.2428
4,a lorry hauling timber,a semitruck hauling timber,0.3044
5,a lorry with a flat tyre,a semitruck with a flat tire,0.3016
6,a cozy jumper hanging in a closet,a cozy sweater hanging in a closet,0.3654
7,a man wearing a purple jumper,a man wearing a purple sweater,0.3695
8,a woman knitting a brown jumper,a woman knitting a brown sweater,0.327
9,a jumper with reindeer patterns,a sweater with reindeer patterns,0.3569
10,a jumper on a hanger,a sweater on a hanger,0.2882
11,a jumper folded neatly,a sweater folded neatly,0.2728
12,a girl knocking on the loo door,a girl knocking on the bathroom door,0.2486
13,a set of fresh towels in the loo,a set of fresh towels in the bathroom,0.3012
14,a line of people waiting outside the loo,a line of people waiting outside the bathroom,0.2816
15,a loo with a leaky tap,a bathroom with a leaky faucet,0.2698
16,a tidy loo with shiny blue wall tiles,a tidy bathroom with shiny blue wall tiles,0.3168
17,a loo with a shower curtain,a bathroom with a shower curtain,0.3218
18,a pack of bangers at the grocery store,a pack of sausages at the grocery store,0.3409
19,a plate of bangers and eggs with toast,a plate of sausages and eggs with toast,0.3581
20,a man cutting a banger in half,a man cutting a sausage in half,0.3227
21,bangers on a grill,sausages on a grill,0.2901
22,bangers and mash on a plate,sausages and mashed potatoes on a plate,0.314
23,my bangers sizzling in a pan,my sausages sizzling in a pan,0.3039
24,a woman throwing away the rubbish,a woman throwing away the trash,0.3224
25,a bin overflowing with rubbish,a bin overflowing with trash,0.2724
26,a raccoon going through rubbish,a raccoon going through trash,0.3446
27,a rubbish bin near a park bench,a trash can near a park bench,0.2617
28,a rubbish heap in an alley,a trash pile in an alley,0.3055
29,a rubbish skip in a construction site,a trash dumpster in a construction site,0.2603
30,a top-floor flat with a view of the city,a top-floor apartment with a view of the city,0.2598
31,a college student's flat,a college student's apartment,0.2922
32,a cozy flat in the city,a cozy apartment in the city,0.3072
33,a flat with a balcony overlooking the city,an apartment with a balcony overlooking the city,0.2776
34,a flat with a rooftop garden,an apartment with a rooftop garden,0.3149
35,my flat with an open-plan kitchen,my apartment with an open-plan kitchen,0.2689
36,a man loading luggage into the car boot,a man loading luggage into the car trunk,0.3034
37,a spare tire in the car boot,a spare tire in the car trunk,0.302
38,a woman putting groceries in the car boot,a woman putting groceries in the car trunk,0.2865
39,a car boot filled with groceries,a car trunk filled with groceries,0.3547
40,a car boot packed for a road trip,a car trunk packed for a road trip,0.3074
41,my car boot after a shopping spree,my car trunk after a shopping spree,0.2966
42,a boy waiting in the queue at a grocery store,a boy waiting in the line at a grocery store,0.3501
43,a queue for the rollercoaster,a line for the rollercoaster,0.2918
44,a queue of cars at a drive-through,a line of cars at a drive-through,0.2672
45,a queue at the ticket counter,a line at the ticket counter,0.2558
46,a queue for the morning bus,a line for the morning bus,0.2516
47,a queue at the post office,a line at the post office,0.31
48,a man ironing creases in his trousers,a man ironing creases in his pants,0.3157
49,a pair of purple trousers folded on a chair,a pair of purple pants folded on a chair,0.3538
50,a kid wearing a pair of blue trousers,a kid wearing a pair of blue pants,0.2852
51,a trousers display in a store,a pants display in a store,0.2993
52,a trousers with a matching blazer,pants with a matching blazer,0.2783
53,my trousers hanging in the closet,my pants hanging in the closet,0.2759
54,a woman enjoying a cup of tea with a biscuit,a woman enjoying a cup of tea with a cookie,0.3012
55,a tin of assorted biscuits,a tin of assorted cookies,0.3054
56,a man baking homemade biscuits,a man baking homemade cookies,0.2948
57,a biscuit with chocolate chips,a cookie with chocolate chips,0.282
58,a biscuit on a baking tray,a cookie on a baking tray,0.2779
59,a biscuit with a bite taken out,a cookie with a bite taken out,0.3109
60,a beam of light from the torch,a beam of light from the flashlight,0.2714
61,a man searching in the dark with a torch,a man searching in the dark with a flashlight,0.3017
62,a rechargeable LED torch,a rechargeable LED flashlight,0.3217
63,my torch in a toolbox,my flashlight in a toolbox,0.2803
64,a torch with low battery,a flashlight with low battery,0.317
65,a policeman shining a torch at the suspect,a policeman shining a flashlight at the suspect,0.2875
66,a mother changing her baby's nappy,a mother changing her baby's diaper,0.2889
67,a pack of cloth nappies,a pack of cloth diapers,0.3254
68,a happy baby wearing pink nappies,a happy baby wearing pink diapers,0.3202
69,a nappy on a changing table,a diaper on a changing table,0.2618
70,nappies with cute patterns,diapers with cute patterns,0.3028
71,a nappy on a clothesline,a diaper on a clothesline,0.2972
72,a petrol station at night,a gasoline station at night,0.3464
73,a man filling up his car with petrol,a man filling up his car with gasoline,0.3289
74,a sign showing petrol prices,a sign showing gasoline prices,0.3182
75,a petrol pump at a station,a gasoline pump at a station,0.2692
76,a petrol tanker on the road,a gasoline tanker on the road,0.269
77,a brightly lit petrol station sign at night,a brightly lit gasoline station sign at night,0.335
78,a group of kids kicking a football,a group of kids kicking a soccer ball,0.2941
79,a football player in the stadium,a soccer player in the stadium,0.2355
80,a football player celebrating a win,a soccer player celebrating a win,0.2843
81,my football boots on the field,my soccer cleats on the field,0.2927
82,a football goalie in the field,a soccer goalie in the field,0.2988
83,a goalkeeper trying to catch a football,a goalkeeper trying to catch a soccer ball,0.3124
84,a woman picking up a prescription at the chemist,a woman picking up a precription at the pharmacy,0.3025
85,a wide range of products at the chemist,a wide range of products at the pharmacy,0.3245
86,a group of people waiting at the chemist,a group of people waiting at the pharmacy,0.3225
87,a chemist counter with vitamins,a pharmacy counter with vitamins,0.3052
88,my chemist where I get prescriptions,my pharmacy where I get prescriptions,0.2734
89,a chemist with a neon sign,a pharmacy with a neon sign,0.2729
90,a bowl of chips at a restaurant,a bowl of french fries at a restaurant,0.2887
91,a boy eating chips,a boy eating french fries,0.2881
92,a plate with a burger and chips,a plate with a burger and french fries,0.3214
93,chips with ketchup and mayo,french fries with ketchup and mayo,0.2678
94,my chips from the local chippy,my french fries from the local fry shop,0.2085
95,a chips portion next to a burger,a french fries portion next to a burger,0.272
96,an office belonging to a barrister,an office belonging to an attorney,0.3307
97,a barrister talking to his client,an attorney talking to his client,0.3036
98,a man attending a meeting with his barrister,a man attending a meeting with his attorney,0.2488
99,a barrister in a courtroom,an attorney in a courtroom,0.2988
100,my barrister discussing the case,my attorney discussing the case,0.244
101,a barrister with legal books,an attorney with legal books,0.299
102,a school caretaker sweeping the hallway,a school janitor sweeping the hallway,0.328
103,a man talking to a caretaker at the mall,a man talking to a janitor at the mall,0.269
104,a tired caretaker in an empty hallway,a tired janitor in an empty hallway,0.2888
105,a caretaker sweeping the school hallway,a janitor sweeping the school hallway,0.3513
106,a office caretaker in a storage room,an office janitor in a supply closet,0.3244
