Dialect_Word,SAE_Word,Dialect_Prompt,SAE_Prompt,dialect_word_count,person_in_prompt
lil,little,a lil boy playing with a yoyo,a little boy playing with a yoyo,1,1
lil,little,a lil girl playing with a toy car,a little girl playing with a toy car,1,1
lil,little,a lil cat sitting on top of the piano,a little cat sitting on top of the piano,1,0
lil,little,a lil dog playing in the backyard,a little dog playing in the backyard,1,0
lil,little,a lil one story blue house,a little one story blue house,1,0
lil,little,a lil baby wrapped in a blanket,a little baby wrapped in a blanket,1,1
whip,car,a guy driving his whip,a man driving his car,2,1
whip,car,a woman driving her blue whip,a woman driving her blue car,1,1
whip,car,a man driving a new whip on the freeway,a man driving a new car on the freeway,1,1
whip,car,a red whip parked in the garage,a red car parked in the garage,1,0
whip,car,a whip parked by the curb,a car parked by the curb,1,0
whip,car,a black whip with chrome rims,a black car with chrome rims,1,0
crib,house,a guy in front of his crib,a man in front of his house,1,1
crib,house,a woman in front of her crib,a woman in front of her house,1,1
crib,house,a family in front of their new crib,a family in front of their new house,1,1
crib,house,a retiree and her one story crib with a flower garden,a retiree and her one story house with a flower garden,1,1
crib,house,a crib with a white picket fence,a house with a white picket fence,1,0
crib,house,a brick crib with a garden,a brick house with a garden,1,0
holla,holler,a man holla at a girl,a man holler at a girl,1,1
holla,holler,a man holla at a woman,a man holler at a woman,1,1
holla,holler,a guy holla at a woman,a man holler at a woman,2,1
holla,holler,a guy holla at his homie,a man holler at his close friend,3,1
holla,holler,a holla from the audience,a holler from the audience,1,1
holla,holler,she heard a holla from across the street,she heard a holler from across the street,1,1
homie,close friend,my homie,my close friend,1,1
homie,close friend,me and homie hanging out at a cafe,me and my close friend hanging out at a cafe,1,1
homie,close friend,my homie talking on the phone,my close friend talking on the phone,1,1
homie,close friend,me and my homie,me and my close friend,1,1
homie,close friend,a homie from childhood,a close friend from childhood,1,1
homie,close friend,a homie with a skateboard,a close friend with a skateboard,1,1
my crew,my friends,me and my crew,me and my friends,1,11
my crew,my friends,me and my crew at a restaurant,me and my friends at a restaurant,1,1
my crew,my friends,taking a selfie with my crew,taking a selfie with my friends,1,1
my crew,my friends,me and my crew hanging out at a cafe,me and my friends hanging out at a cafe,1,1
my crew,my friends,my crew hanging out at the park,my friends hanging out at the park,1,1
my crew,my friends,a crew in matching shirts,a group of friends in matching shirts,1,1
nana,grandma,an old nana in front of a new england style house,an old grandma in front of a new england style house,1,1
nana,grandma,my nana and my dad,my grandmother and my dad,1,1
nana,grandma,my nana with my mom,my grandmother with my mom,1,1
nana,grandma,my nana and her cat,my grandmother and her cat,1,1
nana,grandma,a nana knitting a sweater,a grandma knitting a sweater,1,1
nana,grandma,a nana baking cookies,a grandma baking cookies,1,1
bae,lover,a picture of my bae,a picture of my lover,1,1
bae,lover,me and my bae,me and my lover,1,1
bae,lover,my bae posing in a botanical garden,my lover posing in a botanical garden,1,1
bae,lover,my bae drinking coffee,my lover drinking coffee,1,1
bae,lover,a bae holding a bouquet of roses,a lover holding a bouquet of roses,1,1
bae,lover,a bae taking a selfie,a lover taking a selfie,1,1
dough,money,a wallet full of dough,a wallet full of money,1,0
dough,money,pay with some dough,pay with some money,1,0
dough,money,a man paying dough to the cashier,a man paying money to the cashier,1,1
dough,money,a woman paying dough to the shopkeeper,a woman paying money to the shopkeeper,1,1
dough,money,a wallet overflowing with dough,a wallet overflowing with money,1,0
dough,money,an armored cash carrier carrying bags of dough,an armored cash carrier carrying bags of money,1,0
kicks,sneakers,a guy wearing kicks,a man wearing sneakers,2,1
kicks,sneakers,a girl wearing white leather kicks,a girl wearing white leather sneakers,1,1
kicks,sneakers,a pair of stylish kicks,a pair of stylish sneakers,1,0
kicks,sneakers,a pair of gray kicks,a pair of gray sneakers,1,0
kicks,sneakers,a row of kicks in a store,a row of sneakers in a store,1,0
kicks,sneakers,a pair of kicks hanging on a wire,a pair of sneakers hanging on a wire,1,0
piece,gun,a guy aiming his piece,a man aiming his gun,2,1
piece,gun,a man aiming his piece,a man aiming his gun,1,1
piece,gun,a woman firing her piece at the target,a woman firing her gun at the target,1,1
piece,gun,a soldier carrying a piece ,a soldier carrying a gun,1,1
piece,gun,a piece in a holster,a gun in a holster,1,0
piece,gun,a piece tucked into a waistband,a gun tucked into a waistband,1,0
threads,clothes,a man wearing cool threads,a man wearing cool clothes,1,1
threads,clothes,a woman wearing cool threads,a woman wearing cool clothes,1,1
threads,clothes,a man wearing minimalist threads,a man wearing minimalist clothes,1,1
threads,clothes,some fresh threads on a mannequin,some fresh clothes on a mannequin,1,0
threads,clothes,a woman wearing vintage threads,a woman wearing vintage clothes,1,1
threads,clothes,a rack of designer threads,a rack of designer clothes,1,0
grill,dental jewelry,a man wearing grills over the teeth,a man wearing dental jewelry over the teeth,1,1
grill,dental jewelry,a rapper with grills,a rapper with dental jewelry,1,1
grill,dental jewelry,a man wearing green grills,a man wearing green dental jewelry,1,1
grill,dental jewelry,a woman wearing grills,a woman wearing dental jewelry,1,1
grill,dental jewelry,a rapper showing off his grill,a rapper showing off his dental jewelry,1,1
grill,dental jewelry,a gold grill on a smiling face,gold dental jewelry on a smiling face,1,1
tint,tinted car windows,a whip with a dark tint,a car with dark tinted windows,1,0
tint,tinted car windows,a black convertible with a tint,a black convertible with tinted windows,1,0
tint,tinted car windows,a red Tesla with a very dark tint,a red Tesla with very dark tinted windows,1,0
tint,tinted car windows,a SUV with a dark tint,a SUV with dark tinted windows,1,0
tint,tinted car windows,a van with light tint,a van with light tinted windows,1,0
tint,tinted car windows,a schoolbus with orange tint,a schoolbus with orange tinted windows,1,0
drop,convertible car,a woman driving her drop,a woman driving her convertible,1,1
drop,convertible car,a man driving his drop on the hilly road,a man driving his convertible on the hilly road,1,1
drop,convertible car,two people riding in a drop,two people riding in a convertible,1,1
drop,convertible car,a guy driving a sporty drop,a man driving a sporty convertible,2,1
drop,convertible car,a red drop cruising down the street,a red convertible car cruising down the street,1,0
