Prompt_Index,Dialect_Prompt,SAE_Prompt,Normalized_Score
0,a man drinking teh tarik,a man drinking milk tea,0.5
1,a woman drinking teh tarik,a woman drinking milk tea,0.5
2,"A couple sitting at a table, both with coffee.",a couple sitting at a table both with coffee,1.0
3,a man buying coffee from a modern cafe,a man getting coffee from a modern cafe,0.9965
4,Two people buying coffee from a vendor,two people getting coffee from a stall,0.5
5,a man buying coffee at a busy counter,a man buying coffee at a busy counter,1.0
6,a woman with coffee standing by a bus stop,a woman with coffee standing by a bus stop,1.0
7,A child receiving a red envelope from his grandmother,a child receiving a red packet from his grandmother,0.0
8,a group of people holding red envelopes,a group of people holding red packets,0.0
9,Let's get some takeout.,let's get some food takeout,1.0
10,a couple buying takeout from a street vendor,a couple getting food takeout from a hawker stall,0.0
11,A risk-averse businessman grabbing all the samples,a businessman with a grasping and selfish attitude grabbing all the samples,1.0
12,A risk-averse leader cutting in line for a photo opportunity,a leader with a grasping and selfish attitude cutting in line for a photo,1.0
13,An anxious student hoarding all the notes,a student with a grasping and selfish attitude hoarding all the notes,0.5
14,A helicopter parent rushing to the front row,a parent with a grasping and selfish attitude rushing to the front row,1.0
15,A risk-averse businesswoman purchasing limited-time offers.,a businesswoman with a grasping and selfish attitude buying out limited deals,1.0
16,A risk-averse politician speaking over everyone else,a politician with a grasping and selfish attitude speaking over everyone else,1.0
17,An Asian woman walking on the city street,a bored woman walking on the city street,0.0
18,Asian worker in an office,a bored worker in an office,0.0
19,a child is sitting in the summer,a child bored in the summer,1.0
20,An Asian man on vacation,a bored man on vacation,0.0
21,People hang out on a beach with music playing.,people relaxing on a beach with music playing,0.0013
22,A group of friends hang out in a park under a tree.,a couple relaxing in a park under a tree,0.9867
23,people lounge on a sofa,people relaxing on a sofa,1.0
24,A student in a class nodding can,a student in a class nodding yes,0.9999
25,A worker nodding to his supervisor,a worker nodding yes to his supervisor,0.0
26,A customer at a restaurant nods.,a customer at a restaurant nodding yes,0.0
27,a person nodding in agreement,a person nodding yes in agreement,1.0
28,A woman who can nod.,a woman nodding yes,0.5
29,A person nodding.,a man nodding yes,0.9997
30,a student chose at the dining hall,a student saving a table at the dining hall,0.0
31,a person chose a book at the library,a person saving a table at the library,0.0045
32,a person chooses using a bag,a person saving a table using a bag,0.7763
33,a group of people at the food hall,a group saving a table at the food hall,1.0
34,Order a drink at a coffee shop using a napkin packet.,saving a table at a cafe using a tissue packet,1.0
35,Place a napkin on a chair,saving a table with a napkin placed on a chair,1.0
36,a person enjoying delicious food,a person enjoying very tasty food,1.0
37,An upscale party with well-dressed people,a high class party with well dressed people,1.0
38,a woman with an expensive car,a woman with a high class car,1.0
39,a couple hiking on an ATV trail,a couple hiking on a secluded trail,1.0
40,a woman is eating a bowl of noodles,a woman eating a bowl of noodles,1.0
41,A woman is eating sushi in a modern restaurant.,a woman eating sushi in a modern restaurant,1.0
42,A woman is eating a slice of cake in a cafe.,a woman eating a slice of cake in a cafe,1.0
43,A man is eating a taco under a streetlight.,a man eating a taco under a streetlight,0.0
44,A man is eating a burrito by the riverside.,a man eating a burrito by the riverside,1.0
45,A man is eating an apple.,a man eating an apple,1.0
46,a family is decorating their living room for the holidays,a family redecorate their living room for the holidays,1.0
47,a worker is decorating her office space with colorful posters,a worker redecorate her office space with colorful posters,1.0
48,A couple is customizing their garage with neon lights.,a couple redecorate their garage with neon lights,0.5
49,a woman decorating her room using fairy lights,a woman redecorate her room using fairy lights,1.0
50,a man arranging his desk with anime figurines,a man redecorate his desk with anime figurines,0.9991
51,a couple is renovating their living room,a couple redecorate their living room,1.0
52,a group of men at the mall,a group of girls at the mall,0.5
53,a hiker hiking in the desert,a girl hiking in the desert,1.0
54,a model posing in front of a mural,a girl posing in front of a mural,1.0
55,a person buying a computer at the electronics store,a girl buying a computer at the electronics store,0.0007
56,a goat with a white shirt,a girl with a white shirt,1.0
57,a goose and her mate,a girl and her partner,1.0
58,a person taking a selfie with a smartphone,a person taking a selfie with a mobile phone,1.0
59,a man using a cell phone,a man using a mobile phone,0.9597
60,people using their cellphones on the subway,people on the subway using their mobile phones,0.0005
61,a woman taking a photo with a smartphone,a woman taking a photo with a mobile phone,0.1792
62,I am a cashier who takes a long time to count money.,a loan shark counting cash,0.5
63,I am a man carrying a knife in an alley.,a loan shark carrying a knife in an alley,0.5
64,I'm holding a bag of cash.,a loan shark holding a bag of cash,1.0
65,I have been standing by a black car.,a loan shark standing by a black car,0.5
66,I am threatening someone.,a loan shark threatening someone,1.0
67,A man is spray painting a message.,a loan shark spray painting a message,0.5
68,A person eating at a coffee shop.,a man eating food at a small food court,1.0
69,A woman drinking tea at a coffee shop,a woman drinking tea at a small food court,1.0
70,a couple at a coffee shop,a couple at a small food court,1.0
71,a group of friends at a coffee shop,a group of friends at a small food court,1.0
72,a model on a magazine cover,a handsome male on a magazine cover,1.0
73,a performer doing a yandao dance on stage at a concert,a handsome male performing on stage at a concert,0.0
74,a person at a gym lifting weights,a handsome male at a gym lifting weights,0.9973
75,a YouTuber posing in a streetwear outfit,a handsome male posing in a streetwear outfit,0.9964
76,a couple with their partner,a handsome male with his partner,1.0
77,A group of Chinese people,a group of handsome males,0.0
78,A customer sits at the coffee shop.,a man studying at the coffee shop,1.0
79,A woman is at home.,a woman studying at home,1.0
80,A child holds a mug and a book.,a child studying a book,1.0
81,a group of students drinks,a group of students studying,0.5
82,a student drinks from a mug in his room at night,a student studying in his room at night,0.5
83,A couple of friends hang out in the library.,a couple friends studying in the library,0.5
84,A person acting as a light source while hiking with two people.,a man being a third wheel on a hike with a couple,0.5
85,A woman is a lightbulb at a museum with a couple.,a woman being a third wheel at a museum with a couple,1.0
86,A person wearing a gray shirt is holding a lightbulb with a couple.,a third wheel with a gray shirt with a couple,0.5
87,a couple accompanied by a light bulb,a couple accompanied by a third wheel,1.0
88,He was a third wheel on his friend's date.,he was a third wheel on his friend's date,1.0
89,A string of lights trailing behind a couple,a third wheel trailing behind a couple,1.0
90,a man with a cup of milk,a man with a cup of milk tea,0.5
91,a sensei and a male patient,a traditional Chinese physician and a male patient,0.0
92,a sensei and a female patient,a traditional Chinese physician and a female patient,0.0
93,a sensei holding medicine,a traditional Chinese physician holding medicine,0.0
94,a feeling in an office,a traditional Chinese physician in an office,0.5
95,a sensei talking with two people,a traditional Chinese physician talking with two people,0.0
96,a sensei sitting at their desk,a traditional Chinese physician sitting at their desk,0.0
97,a couple at a food court sharing laksa,a couple at a food court sharing laksa,0.0
98,a family eating at a food court,a family eating at a food court,0.0
99,a person guilty of littering,a person guilty of litter thrown from a high-rise building,0.9973
100,a person on the sidewalk avoiding hazardous trash,a person on the sidewalk avoiding litter thrown from a high-rise building,0.0
101,A couple walking narrowly avoided being struck by falling debris.,a couple walking nearly hit by litter thrown from a high-rise building,0.5
102,a man using a changkol in a vegetable garden,a man using a hoe in a vegetable garden,0.0
103,a farmer using a hoe in a field,a farmer using a hoe in a field,0.5
104,a person digging in their front yard with a shovel,a person digging in their front yard with a hoe,1.0
105,a family enjoying chili crab in a fancy restaurant,a family enjoying spicy stir-fried crab in a fancy restaurant,0.0
106,a waiter holding a chili crab dish,a waiter holding a spicy stir-fried crab dish,0.0
107,a chef making chili crab in a large wok,a chef making spicy stir-fried crab in a large wok,0.0
108,a child with his mother,a child with his uncle,0.0
109,a mother wearing a dark blue shirt,an uncle wearing a dark blue shirt,1.0
110,a group of mothers talking,a group of uncles talking,0.0
111,A mother buying fruit from the supermarket,an uncle buying fruit from the supermarket,0.0
112,A mother drinking coffee at the dining table,an uncle drinking coffee at the dining table,0.0004
113,A mother reading a newspaper while on the couch,an uncle reading a newspaper while on the couch,0.9427
114,a waiter holding a plate of spring rolls,a waiter holding a plate of Fujianese fresh spring rolls,0.0353
115,a person eating a popiah at a street stall,a person eating a Fujianese fresh spring roll at a street stall,0.0
116,A person eating roti prata with their hands,a person eating Indian flatbread with their hands,0.0
117,a person eating bak kwa at a festival,a person eating Chinese pork jerky at a festival,0.0
118,A person buying bak kwa from a shop,a person buying Chinese pork jerky from a shop,0.0
119,Two people are both eating bak kwa.,two people both eating Chinese pork jerky,0.0
120,two friends chatting casually outside a cafe,two buddies chatting casually outside a cafe,1.0
121,She is laughing while walking along the street.,buddies laughing while walking along the street,1.0
122,Jackie is sharing a meal at the food court.,buddies sharing a meal at the hawker centre,0.5
123,a group of New Zealanders playing basketball outdoors,a group of buddies playing basketball outdoors,0.5
124,kiwi taking selfies at a famous landmark,buddies taking selfies at a famous landmark,1.0
125,Two friends relaxing together at the beach,two buddies relaxing together at the beach,1.0
