Dialect_Word,SAE_Word,Dialect_Prompt,SAE_Prompt,person_in_prompt,dialect_word_count,polysemic,Polysemy_Prompt
lil,little,a little boy playing with a yo-yo,a little boy playing with a yoyo,1,1,0,
lil,little,a little girl playing with a toy car,a little girl playing with a toy car,1,1,0,
lil,little,a little cat sitting on top of the piano,a little cat sitting on top of the piano,0,1,0,
lil,little,a little dog playing in the backyard,a little dog playing in the backyard,0,1,0,
lil,little,a little one-story blue house,a little one story blue house,0,1,0,
lil,little,a little baby wrapped in a blanket,a little baby wrapped in a blanket,1,1,0,
whip,car,a man driving his car,a man driving his car,1,2,1,a leather whip coiled on a wooden table
whip,car,a woman driving her blue car,a woman driving her blue car,1,1,1,a horse rider holding a braided whip
whip,car,a man driving a new car on the freeway,a man driving a new car on the freeway,1,1,1,a vintage bullwhip used in performance
whip,car,a red whip parked in the garage,a red car parked in the garage,0,1,1,a whip used for equestrian training hanging on a wall
whip,car,a car parked by the curb,a car parked by the curb,0,1,1,a coiled black whip next to a cowboy hat
whip,car,a black whip with chrome rims,a black car with chrome rims,0,1,1,a ceremonial whip with ornate handle
crib,house,a man in front of his home,a man in front of his house,1,1,1,a baby sleeping peacefully in a white crib
crib,house,a woman standing in front of her crib,a woman in front of her house,1,1,1,a nursery with a wooden crib and soft blankets
crib,house,a family in front of their new home,a family in front of their new house,1,1,1,a brand new crib decorated with toys
crib,house,a retiree and her one-story house with a flower garden,a retiree and her one story house with a flower garden,1,1,1,a hand-painted crib with a mobile above
crib,house,a crib with a white picket fence,a house with a white picket fence,0,1,1,a gently rocking crib near a window
crib,house,a brick crib with a garden,a brick house with a garden,0,1,1,a vintage crib stored in an attic
holla,holler,A man yells at a girl across the street,a man holler at a girl across the street,1,1,0,
holla,holler,A man yelled at a woman near the bus stop,a man holler at a woman near the bus stop,1,1,0,
holla,holler,A man calls out to a woman as she walks by him.,a man holler at a woman walking past him,1,2,0,
holla,holler,A friend calls out to his buddy from the balcony.,a man holler at his close friend from the balcony,1,3,0,
holla,holler,a loud applause from the audience during the show,a loud holler from the audience during the show,1,1,0,
holla,holler,She heard a call from across the street,she heard a holler from across the street,1,1,0,
homie,close friend,My friend and I are hanging out at a café.,me and my close friend hanging out at a cafe,1,1,0,
homie,close friend,My friend is talking on the phone,my close friend talking on the phone,1,1,0,
homie,close friend,My friend is waiting outside the store,my close friend waiting outside the store,1,1,0,
homie,close friend,My friend and I are eating together at lunch.,me and my close friend eating together at lunch,1,1,0,
homie,close friend,a childhood friend playing video games together,a close friend from childhood playing video games together,1,1,0,
homie,close friend,a friend with a skateboard,a close friend with a skateboard,1,1,0,
my crew,my friends,My friends and I are hanging out after school,me and my friends hanging out after school,1,1,1,a ship's crew preparing to set sail
my crew,my friends,My and your crew at a restaurant,me and my friends at a restaurant,1,1,1,a flight crew posing at the airport
my crew,my friends,taking a selfie with my crew,taking a selfie with my friends,1,1,1,a construction crew wearing hard hats
my crew,my friends,My friends and I are hanging out at a cafe,me and my friends hanging out at a cafe,1,1,1,a movie set crew adjusting lighting equipment
my crew,my friends,my friends hanging out at the park,my friends hanging out at the park,1,1,1,a yacht crew in matching uniforms
my crew,my friends,a crew in matching shirts,a group of friends in matching shirts,1,1,1,a TV production crew on set
nana,grandma,an old grandmother in front of a New England-style house,an old grandma in front of a new england style house,1,1,0,
nana,grandma,my grandmother and my father,my grandmother and my dad,1,1,0,
nana,grandma,My grandmother with my mother,my grandmother with my mom,1,1,0,
nana,grandma,my grandmother and her cat,my grandmother and her cat,1,1,0,
nana,grandma,a grandmother knitting a sweater,a grandma knitting a sweater,1,1,0,
nana,grandma,A grandma baking cookies,a grandma baking cookies,1,1,0,
bae,lover,a picture of my significant other smiling at the beach,a picture of my lover smiling at the beach,1,1,0,
bae,lover,My girlfriend and I are holding hands at sunset.,me and my lover holding hands at sunset,1,1,0,
bae,lover,My boyfriend posing in a botanical garden,my lover posing in a botanical garden,1,1,0,
bae,lover,My boyfriend is drinking coffee,my lover drinking coffee,1,1,0,
bae,lover,a boyfriend holding a bouquet of roses,a lover holding a bouquet of roses,1,1,0,
bae,lover,a boyfriend or girlfriend taking a selfie,a lover taking a selfie,1,1,0,
dough,money,a wallet full of money,a wallet full of money,0,1,1,raw bread dough being kneaded on a floured table
dough,money,pay with some money,pay with some money,0,1,1,a mixing bowl full of sticky cookie dough
dough,money,a man paying money to the cashier,a man paying money to the cashier,1,1,1,a rolling pin flattening dough for pizza
dough,money,a woman paying money to the shopkeeper,a woman paying money to the shopkeeper,1,1,1,a baker shaping dough into loaves
dough,money,a wallet overflowing with fresh green money,a wallet overflowing with fresh green money,0,1,1,several balls of dough resting before baking
dough,money,an armored cash carrier carrying bags of dough,an armored cash carrier carrying bags of money,0,1,1,a plastic-wrapped bag of pastry dough in a freezer
kicks,sneakers,a guy wearing sneakers,a man wearing sneakers,1,2,0,
kicks,sneakers,a girl wearing white leather kicks,a girl wearing white leather sneakers,1,1,0,
kicks,sneakers,a pair of stylish kicks,a pair of stylish sneakers,0,1,0,
kicks,sneakers,a pair of gray kicks,a pair of gray sneakers,0,1,0,
kicks,sneakers,a display of shoes in a store,a row of sneakers in a store,0,1,0,
kicks,sneakers,a pair of sneakers hanging on a wire,a pair of sneakers hanging on a wire,0,1,0,
