Prompt_Index,Dialect_Prompt,SAE_Prompt,Normalized_Score
0,a long queue,a long line,0.3838
1,a short queue,a short line,0.206
2,a painting of a long queue,a painting of a long line,0.5418
3,a queue of people,a line of people,0.2205
4,a queue outside the store,a line outside the store,0.196
5,a queue for food,a line for food,0.304
6,a team scoring a football goal,a team scoring a soccer goal,0.6387
7,queue at a chemist shop,queue at a pharmacy shop,0.287
8,a barrister at a table,an attorney at a table,0.4042
9,an old barrister,an old attorney,0.5224
10,a barrister at a park,an attorney at a park,0.377
11,a barrister with a woman,an attorney with a woman,0.6591
12,a barrister with a notepad,an attorney with a notepad,0.6502
13,a painting of a barrister,a painting of an attorney,0.7773
14,a school caretaker,a school janitor,0.0611
15,a dirty caretaker,a dirty janitor,0.3096
16,a tired caretaker,a tired janitor,0.292
17,a busy caretaker,a busy janitor,0.1927
18,a painting of an old caretaker,a painting of an old janitor,0.6057
19,a caretaker in a mall,a janitor in a mall,0.3117
20,a young postman,a young mailman,0.9213
21,a lazy postman,a lazy mailman,0.6411
22,a tired postman,a tired mailman,0.8116
23,a busy postman,a busy mailman,0.6341
24,a painting of an old postman,a painting of an old mailman,0.6774
25,a postman on the street,a mailman on the street,0.5978
26,inside of the tube,inside of the subway,0.2884
27,a tube station,a subway station,0.2339
28,a sliced aubergine,a sliced eggplant,0.2433
29,an aubergine on the table,an eggplant on the table,0.1459
30,aubergine in a basket,eggplant in a basket,0.0583
31,a painting of an aubergine,a painting of an eggplant,0.3004
32,a moldy aubergine,a moldy eggplant,0.1655
33,a dish with aubergine,a dish with eggplant,0.3615
34,people on a zebra crossing,people on a crosswalk,0.5347
35,a busy zebra crossing,a busy crosswalk,0.6845
36,a woman on a zebra crossing,a woman on a crosswalk,0.573
37,a plaster wrapped around a finger,a band-aid wrapped around a finger,0.642
38,a plaster covering a small cut,a band-aid covering a small cut,0.2797
39,a plaster on an injured knee,a band-aid on an injured knee,0.5072
40,a colorful plaster on an elbow,a colorful band-aid on an elbow,0.8188
41,a plaster for a cut,a band-aid for a cut,0.3933
42,a plaster peeling off skin,a band-aid peeling off skin,0.4344
