Prompt_Index,SAE_Prompt,Score
0,a large black truck driving on a neighborhood street,0.3042
1,a woman driving a green truck on a farm,0.3207
2,a truck with a dog in the back,0.3154
3,a man driving a truck on the highway,0.28
4,two kids sitting on the back of a truck,0.3412
5,a truck parked on a driveway,0.2856
6,a street vendor selling shaved ice,0.3601
7,a man enjoying shaved ice on a hot day,0.3214
8,a cup of shaved ice near a tree,0.3639
9,a colorful cup of shaved ice next to a spoon,0.3282
10,a girl enjoying a bowl of shaved ice in the park,0.3466
11,two people sharing a cup of shaved ice on the table,0.3139
12,a street mural of a friend group hanging out together,0.3189
13,a group of teens in a friend group walking through the neighborhood,0.3027
14,a friend group gathered around a bench talking,0.2941
15,a friend group laughing loudly by a taco stand,0.3149
16,a friend group posing for a picture in front of a mural,0.3285
17,a friend group skateboarding down the street together,0.3313
18,a godfather cutting a birthday cake,0.3344
19,a godfather officiating a wedding ceremony,0.3113
20,a godfather playing chess with his godson,0.3288
21,a godfather cheering at a baseball game,0.3182
22,a godfather enjoying a cigar in a lounge,0.3136
23,a godfather gifting a necklace at a baptism,0.3396
24,a person hiking through a field,0.3198
25,a park with a big field,0.2867
26,a person running through a field,0.3401
27,a brown dog running in the field,0.3369
28,two kids playing around in the field,0.3088
29,a wide and open field next to the lake,0.2825
30,two men sitting in a jail cell,0.3335
31,a jail guard standing in front of a wall,0.3235
32,a tall jail building surrounded by barbed wire,0.3212
33,a small prison with high fences,0.2936
34,a man about to go to prison,0.2742
35,inside a prison with barred windows,0.3077
36,a person and their girlfriend walking down a street,0.3254
37,a man and his girlfriend laughing,0.3095
38,a person and their girlfriend dressed in similar looking clothes,0.3078
39,my girlfriend and I driving in a blue car,0.3099
40,me having dinner in a restaurant with my girlfriend,0.2882
41,a sunny day in the park with my girlfriend,0.3041
42,a person irons a dress shirt,0.3354
43,a person irons a towel in a sunny room,0.3167
44,a man irons his pants before work,0.314
45,my mother irons the curtains,0.2882
46,a woman irons clothes in the laundry room,0.3101
47,my brother irons his uniform shirt,0.2535
48,a person exploring El Paso on a sunny afternoon,0.3195
49,a lively restaurant in El Paso bustling at night,0.3011
50,a quiet street in El Paso lined with flowering plants,0.3516
51,a crowded bus station in El Paso near downtown,0.3322
52,a typical single-story house in El Paso with a porch,0.3
53,a bird's eye view of El Paso with mountains in background,0.3088
54,a woman and her brother eating at a restaurant,0.2966
55,a man hiking with his brother on a forest trail,0.3234
56,my brother posing for a picture,0.2725
57,me standing with my brother,0.2855
58,my brother and I sitting at a table,0.2891
59,my brother riding a bike,0.2927
60,a woman and her sister eating at a restaurant,0.3172
61,a man hiking with his sister through a mountain path,0.3071
62,me and my sister posing for a picture,0.284
63,me standing with my sister,0.2743
64,my sister and I sitting at a table,0.285
65,my sister riding a bike,0.3073
66,my brothers playing basketball together,0.2918
67,a brothers duo in a rock band,0.2827
68,my brothers on a camping trip,0.3078
69,a brothers wrestling match,0.311
70,my brothers building a treehouse,0.3273
71,a brothers handshake at graduation,0.3237
72,a sisters moment at a wedding,0.31
73,my sisters studying together,0.2752
74,a sisters dance routine,0.2866
75,my sisters sharing a secret,0.2811
76,my sisters having a tea party in the garden,0.3382
77,my sisters braiding each other's hair,0.2826
78,a group of mexican americans at a family reunion,0.337
79,a mexican american activist speaking at a rally,0.3237
80,a mexican american community center hosting an event,0.2954
81,a mexican american cultural festival in the park,0.3267
82,a mexican american musician performing live,0.3025
83,a mexican american student at a graduation ceremony,0.3213
84,a young man wearing sunglasses and a bandana,0.3268
85,a young man skateboarding down a hill,0.3202
86,a young man leaning against a lowrider,0.312
87,a young man playing an acoustic guitar,0.3091
88,a young man writing in a journal at a cafe,0.3085
89,a young man shooting pool at a bar,0.3308
90,a young man playing basketball in a local court,0.2888
91,a young man walking his pitbull in the neighborhood,0.3054
92,a young man buying street tacos from a food truck,0.3222
93,a young man riding a BMX bike in a skate park,0.3379
94,a young man breakdancing on a city street,0.3211
95,a young man playing the trumpet in a mariachi band,0.3339
96,a junkyard with stacks of old tires,0.3572
97,a junkyard with a rusty old crane,0.3161
98,a junkyard filled with abandoned bicycles,0.3452
99,a junkyard with a broken-down school bus,0.3515
100,a junkyard guarded by a stray dog,0.3371
101,a junkyard with piles of scrap metal,0.3283
102,an alcohol bottle with a lime wedge,0.3181
103,an alcohol cocktail with an umbrella,0.344
104,an alcohol shot glass on a bar counter,0.3169
105,an alcohol flask in a back pocket,0.3377
106,an alcohol can sitting by a campfire,0.3191
107,an alcohol mixed drink with fruit garnish,0.3071
108,a man grilling burgers at a cookout,0.3186
109,a man riding a horse at a ranch,0.3112
110,a man repairing a broken fence,0.3255
111,a man practicing archery in a field,0.342
112,a man jogging in a city park,0.3039
113,a man watching a sunset from a pier,0.3199
114,a godmother baking cookies for a bake sale,0.309
115,a godmother attending a school play,0.3086
116,a godmother planting flowers in the garden,0.3183
117,a godmother knitting a sweater for her godchild,0.3093
118,a godmother singing in a church choir,0.3161
119,a godmother decorating a Christmas tree,0.3165
120,a crazy guy dancing in the rain,0.3203
121,a crazy stunt on a skateboard,0.2877
122,a crazy artist painting upside down,0.3266
123,my crazy dog chasing its tail,0.2911
124,a crazy expression on her face,0.264
125,a crazy scene at the concert,0.2808
126,my daughter playing in a sandbox,0.3499
127,a daughter drawing with chalk on the sidewalk,0.3549
128,my daughter holding a big ice cream cone,0.3243
129,a daughter riding a bike for the first time,0.2978
130,a daughter wearing a princess costume,0.3132
131,my daughter exploring the beach,0.3227
132,my son kicking a soccer ball,0.3053
