Prompt_Index,Dialect_Prompt,SAE_Prompt,Score
0,a plastic cup with teh tarik,a plastic cup with milk tea,0.7844
1,a cup of teh tarik on a table,a cup of milk tea on a table,0.333
2,a shop selling teh tarik,a shop selling milk tea,0.83
3,a man drinking teh tarik,a man drinking milk tea,0.6882
4,a woman drinking teh tarik,a woman drinking milk tea,0.6877
5,three cups of teh tarik on the counter,three cups of milk tea on the counter,0.6747
6,a couple sitting at a table both with kopi,a couple sitting at a table both with coffee,0.9651
7,a man getting kopi from a modern cafe,a man getting coffee from a modern cafe,0.9376
8,a table with a cup of kopi and a slice of cake,a table with a cup of coffee and a slice of cake,0.9757
9,two people getting kopi from a stall,two people getting coffee from a stall,0.8936
10,a man buying kopi at a busy counter,a man buying coffee at a busy counter,0.9129
11,a woman with kopi standing by a bus stop,a woman with coffee standing by a bus stop,0.9683
12,a child receiving an ang pow from his grandmother,a child receiving a red packet from his grandmother,0.8774
13,two ang pows on a table with gold designs,two red packets on a table with gold designs,0.5317
14,an ang pow and food on a table,a red packet and food on a table,0.6818
15,a group of people holding ang pows,a group of people holding red packets,0.2507
16,a store selling ang pows,a store selling red packets,0.5749
17,an ang pow and some fruit on a table,a red packet and some fruit on a table,0.6557
18,spicy sotong dish,spicy squid dish,0.8464
19,raw sotong at a market,raw squid at a market,0.9483
20,deep fried sotong on a plate,deep fried squid on a plate,0.6652
21,a large sotong in an aquarium with coral,a large squid in an aquarium with coral,0.6954
22,a sotong dish and rice on a table,a squid dish and rice on a table,0.8355
23,sliced sotong in a frying pan,sliced squid in a frying pan,0.3826
24,getting food tapao from the small restaurant,getting food takeout from the small restaurant,0.7588
25,getting food tapao from the diner,getting food takeout from the diner,0.6522
26,getting food tapao from the food truck,getting food takeout from the food truck,0.9154
27,letâs get some food tapao,let's get some food takeout,0.5615
28,chinese food tapao packed in plastic containers,chinese food takeout packed in plastic containers,0.9363
29,a couple getting food tapao from a hawker stall,a couple getting food takeout from a hawker stall,0.8646
30,a kiasu businessman grabbing all the samples,a businessman with a grasping and selfish attitude grabbing all the samples,0.4243
31,a kiasu leader cutting in line for a photo,a leader with a grasping and selfish attitude cutting in line for a photo,0.3399
32,a kiasu student hoarding all the notes,a student with a grasping and selfish attitude hoarding all the notes,0.4039
33,a kiasu parent rushing to the front row,a parent with a grasping and selfish attitude rushing to the front row,0.3768
34,a kiasu businesswoman buying out limited deals,a businesswoman with a grasping and selfish attitude buying out limited deals,0.3823
35,a kiasu politician speaking over everyone else,a politician with a grasping and selfish attitude speaking over everyone else,0.5769
36,a sian cat in a house,a bored cat in a house,0.7761
37,a sian woman walking on the city street,a bored woman walking on the city street,0.7052
38,a sian worker in an office,a bored worker in an office,0.4222
39,a child sian in the summer,a child bored in the summer,0.2496
40,a sian dog in the front yard,a bored dog in the front yard,0.6029
41,a sian man on vacation,a bored man on vacation,0.2304
42,a dog lepak on a grassy lawn in front of a house,a dog relaxing on a grassy lawn in front of a house,0.9829
43,people lepak on a beach with music playing,people relaxing on a beach with music playing,0.6541
44,a couple lepak in a park under a tree,a couple relaxing in a park under a tree,0.9772
45,people lepak on a sofa,people relaxing on a sofa,0.9306
46,a cat lepak by a window,a cat relaxing by a window,0.933
47,a lepak vacation setting,a relaxing vacation setting,0.9847
48,a student in a class nodding can,a student in a class nodding yes,0.2702
49,a worker nodding can to his supervisor,a worker nodding yes to his supervisor,0.3095
50,a customer at a restaurant nodding can,a customer at a restaurant nodding yes,0.464
51,a person nodding can in agreement,a person nodding yes in agreement,0.2298
52,a woman nodding can,a woman nodding yes,0.2684
53,a man nodding can,a man nodding yes,0.2861
54,a student chope at the dining hall,a student saving a table at the dining hall,0.5406
55,a person chope at the library,a person saving a table at the library,0.6042
56,a person chope using a bag,a person saving a table using a bag,0.5932
57,a group chope at the food hall,a group saving a table at the food hall,0.4646
58,chope at a cafe using a tissue packet,saving a table at a cafe using a tissue packet,0.584
59,chope with a napkin placed on a chair,saving a table with a napkin placed on a chair,0.6542
60,shiok dumplings,very tasty dumplings,0.8658
61,a person enjoying shiok food,a person enjoying very tasty food,0.9049
62,a table full of shiok Mexican food,a table full of very tasty Mexican food,0.9769
63,shiok food,very tasty food,0.9287
64,shiok Italian food,very tasty Italian food,0.7629
65,a table full of shiok main dishes,a table full of tasty main dishes,0.9698
66,an atas clothing boutique,a high class clothing boutique,0.844
67,an atas party with well dressed people,a high class party with well dressed people,0.9827
68,an atas red sports car,a high class red sports car,0.9711
69,a woman with an atas car,a woman with a high class car,0.8119
70,an atas house with marble floors and chandeliers,a high class house with marble floors and chandeliers,0.9873
