Prompt_Index,SAE_Prompt,Score
0,a plastic cup with milk tea,0.3038
1,a cup of milk tea on a table,0.2941
2,a shop selling milk tea,0.3251
3,a man drinking milk tea,0.3261
4,a woman drinking milk tea,0.3423
5,three cups of milk tea on the counter,0.3087
6,a couple sitting at a table both with coffee,0.3168
7,a man getting coffee from a modern cafe,0.3139
8,a table with a cup of coffee and a slice of cake,0.3093
9,two people getting coffee from a stall,0.3079
10,a man buying coffee at a busy counter,0.3022
11,a woman with coffee standing by a bus stop,0.349
12,a child receiving a red packet from his grandmother,0.3742
13,two red packets on a table with gold designs,0.3698
14,a red packet and food on a table,0.3186
15,a group of people holding red packets,0.3563
16,a store selling red packets,0.3724
17,a red packet and some fruit on a table,0.3352
18,spicy squid dish,0.3087
19,raw squid at a market,0.3519
20,deep fried squid on a plate,0.3049
21,a large squid in an aquarium with coral,0.3343
22,a squid dish and rice on a table,0.3418
23,sliced squid in a frying pan,0.3492
24,getting food takeout from the small restaurant,0.2522
25,getting food takeout from the diner,0.2334
26,getting food takeout from the food truck,0.2844
27,let's get some food takeout,0.2507
28,chinese food takeout packed in plastic containers,0.3208
29,a couple getting food takeout from a hawker stall,0.3342
30,a businessman with a grasping and selfish attitude grabbing all the samples,0.2689
31,a leader with a grasping and selfish attitude cutting in line for a photo,0.2514
32,a student with a grasping and selfish attitude hoarding all the notes,0.2776
33,a parent with a grasping and selfish attitude rushing to the front row,0.2659
34,a businesswoman with a grasping and selfish attitude buying out limited deals,0.2544
35,a politician with a grasping and selfish attitude speaking over everyone else,0.2312
36,a bored cat in a house,0.2775
37,a bored woman walking on the city street,0.2902
38,a bored worker in an office,0.264
39,a child bored in the summer,0.2964
40,a bored dog in the front yard,0.295
41,a bored man on vacation,0.2752
42,a dog relaxing on a grassy lawn in front of a house,0.3624
43,people relaxing on a beach with music playing,0.3068
44,a couple relaxing in a park under a tree,0.3319
45,people relaxing on a sofa,0.2942
46,a cat relaxing by a window,0.3213
47,a relaxing vacation setting,0.287
48,a student in a class nodding yes,0.2749
49,a worker nodding yes to his supervisor,0.2674
50,a customer at a restaurant nodding yes,0.2456
51,a person nodding yes in agreement,0.2125
52,a woman nodding yes,0.2308
53,a man nodding yes,0.2269
54,a student saving a table at the dining hall,0.3135
55,a person saving a table at the library,0.2814
56,a person saving a table using a bag,0.3104
57,a group saving a table at the food hall,0.3336
58,saving a table at a cafe using a tissue packet,0.3419
59,saving a table with a napkin placed on a chair,0.316
60,very tasty dumplings,0.3256
61,a person enjoying very tasty food,0.3003
62,a table full of very tasty Mexican food,0.3128
63,very tasty food,0.2552
64,very tasty Italian food,0.2796
65,a table full of tasty main dishes,0.3031
66,a high class clothing boutique,0.2807
67,a high class party with well dressed people,0.2929
68,a high class red sports car,0.2811
69,a woman with a high class car,0.2983
70,a high class house with marble floors and chandeliers,0.3423
71,a high class restaurant with velvet chairs and dim lighting,0.2917
72,a secluded tropical beach,0.3106
73,camping in a secluded meadow in the mountains,0.3164
74,a couple hiking on a secluded trail,0.3129
75,a house in a secluded area by a forest,0.3219
76,an rv in a secluded town,0.3198
77,an secluded locale surrounded by dense forest,0.29
