Prompt_Index,Dialect_Prompt,SAE_Prompt,Score
0,an old math in the village square,an old monastery in the village square,0.2235
1,a math on a grassy hill with trees,a monastery on a grassy hill with trees,0.2346
2,an older person entering a math,an older person entering a monastery,0.2223
3,a math in an old city center,a monastery in an old city center,0.2339
4,a math with a crowd of people outside,a monastery with a crowd of people outside,0.2154
5,an old math in a dark misty forest,an old monastery in a dark misty forest,0.243
6,a bottle of simkin on a wooden table,a bottle of champagne on a wooden table,0.2336
7,simkin on a shelf in a grocery store,champagne on a shelf in a grocery store,0.2447
8,simkin and two glasses on a table outside,champagne and two glasses on a table outside,0.2764
9,simkin in a glass on a table,champagne in a glass on a table,0.2443
10,a person holding a bottle of simkin,a person holding a bottle of champagne,0.2058
11,a person pouring simkin into a glass,a person pouring champagne into a glass,0.2512
12,a dai in a hospital,a midwife in a hospital,0.2626
13,a dai walking into a house,a midwife walking into a house,0.2841
14,a woman in a bed with a dai next to it,a woman in a bed with a midwife next to it,0.2704
15,a dai talking with a doctor,a midwife talking with a doctor,0.2742
16,a dai holding a bottle of medicine,a midwife holding a bottle of medicine,0.2488
17,a dai talking with a nurse,a midwife talking with a nurse,0.2923
18,a medico sitting at a table outside,a medical practitioner sitting at a table outside,0.3204
19,two medicos in a conference room,two medical practitioners in a conference room,0.304
20,a medico walking in a park,a medical practitioner walking in a park,0.3542
21,the medico talking with a patient in a room,the medical practitioner talking with a patient in a room,0.3004
22,a medico standing outside a building,a medical practitioner standing outside a building,0.3094
23,a medico talking with a nurse,a medical practitioner talking with a nurse,0.3036
24,two windows covered with chick,two windows covered with bamboo blinds,0.2656
25,a living room with windows covered with chick,a living room with windows covered with bamboo blinds,0.2852
26,a kitchen with a window covered with chick,a kitchen with a window covered with bamboo blinds,0.2815
27,a living room window covered with rolled-up chick,a living room window covered with rolled-up bamboo blinds,0.2978
28,a doorway with chick covering it,a doorway with bamboo blinds covering it,0.2439
29,a window with rolled up chick,a window with rolled up bamboo blinds,0.2404
30,a ghat with lots of pine trees,a mountain pass with lots of pine trees,0.2364
31,a narrow ghat covered in snow and pine trees,a narrow mountain pass covered in snow and pine trees,0.2917
32,a ghat with a road with lots of cars,a mountain pass with a road with lots of cars,0.277
33,two people walking through the ghat,two people walking through the mountain pass,0.2583
34,a roadway in the ghat,a roadway in the mountain pass,0.2774
35,a trail in the wooded ghat,a trail in the wooded mountain pass,0.2826
36,an old kirana with faded signage,an old convenience store with faded signage,0.2661
37,a modern kirana with glass doors,a modern convenience store with glass doors,0.2326
38,a busy kirana packed with groceries,a busy convenience store packed with groceries,0.2834
39,a small kirana on fire at dusk,a small convenience store on fire at dusk,0.2398
40,an empty kirana with bare shelves,an empty convenience store with bare shelves,0.3141
41,a painting of a kirana with stacked cans,a painting of a convenience store with stacked cans,0.3411
42,a mandapa beside some trees,a temple beside some trees,0.3043
43,people standing outside a mandapa,people standing outside a temple,0.2938
44,a well-dressed person in front of a mandapa,a well-dressed person in front of a temple,0.2967
45,a family in front of a mandapa,a family in front of a temple,0.3406
46,a mandapa beside a sandy landscape,a temple beside a sandy landscape,0.3148
47,an old mandapa with lots of people,an old temple with lots of people,0.3132
48,a nai cutting a man's hair,a barber cutting a man's hair,0.2996
49,a nai cutting a woman's hair,a barber cutting a woman's hair,0.2884
50,a nai shop in a busy city,a barber shop in a busy city,0.2339
51,a friendly local nai,a friendly local barber,0.2258
52,a child getting his hair cut by a nai,a child getting his hair cut by a barber,0.3316
53,three people in a nai shop,three people in a barber shop,0.1938
54,officers working inside a thana,officers working inside a police station,0.3016
55,a person standing outside a thana,a person standing outside a police station,0.2527
56,a person talking to an officer inside a thana,a person talking to an officer inside a police station,0.3011
57,two officers speaking to an arrested person in a thana,two officers speaking to an arrested person in a police station,0.3085
58,a thana on a road with lots of trees,a police station on a road with lots of trees,0.2453
59,a thana in a busy city,a police station in a busy city,0.1971
60,a boy standing with his abba,a boy standing with his father,0.2292
61,a girl standing with her abba near the school gate,a girl standing with her father near the school gate,0.2804
62,a man hiking with his abba,a man hiking with his father,0.3101
63,a woman in a car with her abba,a woman in a car with her father,0.2403
64,a woman walking with her abba and a dog,a woman walking with her father and a dog,0.2776
65,a man sitting at a table with his abba,a man sitting at a table with his father,0.2678
66,a big house with a pial,a big house with a veranda,0.252
67,outdoor furniture under a pial,outdoor furniture under a veranda,0.2921
68,a small one story house with a pial,a small one story house with a veranda,0.2838
69,people relaxing under a pial,people relaxing under a veranda,0.2605
70,a modern looking pial on a house,a modern looking veranda on a house,0.2122
71,a glass pial on a house,a glass veranda on a house,0.2673
72,a dry nullah surrounded by a dry landscape,a dry river-bed surrounded by a dry landscape,0.2761
73,two people walking through a nullah,two people walking through a river-bed,0.3098
74,a dry nullah in a dense green forest,a dry river-bed in a dense green forest,0.3006
75,a nullah in an alpine meadow,a river-bed in an alpine meadow,0.3033
76,a bridge across a nullah,a bridge across a river-bed,0.2951
77,a nullah with some water in it,a river-bed with some water in it,0.2709
78,a rani sitting on a throne,a queen sitting on a throne,0.2941
79,a rani making a speech,a queen making a speech,0.233
80,a rani inside a palace,a queen in a palace,0.2639
81,a rani sitting at a banquet,a queen sitting at a banquet,0.2987
82,a rani in a garden surrounded by blooming flowers,a queen in a garden surrounded by blooming flowers,0.2953
83,a rani riding in a large car,a queen riding in a large car,0.2848
84,brinjal in a grocery store,eggplant in a grocery store,0.3341
85,brinjal sitting on a kitchen counter,eggplant sitting on a kitchen counter,0.3482
86,brinjal being sliced,eggplant being sliced,0.3015
87,brinjal in a pot,eggplant in a pot,0.3391
88,a brinjal plant in a garden,an eggplant plant in a garden,0.3426
89,a spicy curry dish with brinjal slices,a spicy curry dish with eggplant slices,0.337
90,a table with lots of khana,a table with lots of food,0.2923
91,a person eating khana,a person eating food,0.2716
92,a couple enjoying khana at a restaurant,a couple enjoying food at a restaurant,0.3031
93,a person cooking khana on the stove,a person cooking food on the stove,0.2867
94,a person buying khana from a grocery store,a person buying food from a grocery store,0.2854
95,a family enjoying lots of khana,a family enjoying lots of food,0.304
96,a main street in a small nagar,a main street in a small town,0.2605
97,a residential neighborhood in a small nagar,a residential neighborhood in a small town,0.265
98,birds-eye view of a nagar,birds-eye view of a town,0.2799
99,a couple walking in a nagar,a couple walking in a town,0.2984
100,a nagar in a desert climate,a town in a desert climate,0.2995
101,a nagar with snow everywhere,a town with snow everywhere,0.2819
102,a person riding an oont in the desert,a person riding a camel in the desert,0.2886
103,a large group of oonts walking in a desert,a large group of camels walking in a desert,0.3323
104,a person giving water to an oont,a person giving water to a camel,0.2441
105,an oont eating food near a desert tent,a camel eating food near a desert tent,0.3185
106,two oonts walking down the street,two camels walking down the street,0.2161
107,an oont walking in a grassy field,a camel walking in a grassy field,0.2613
108,agarbatti burning in a house,incense burning in a house,0.2777
109,a bundle of agarbatti on a table,a bundle of incense on a table,0.3361
110,a person holding a bundle of agarbatti,a person holding a bundle of incense,0.3318
111,agarbatti in a stand,incense in a stand,0.3024
112,agarbatti inside a box on a table,incense inside a box on a table,0.3171
113,agarbatti inside a store,incense inside a store,0.318
114,a kulang flying above a beautiful pond,a crane bird flying above a beautiful pond,0.305
115,a kulang sitting on a dock,a crane bird sitting on a dock,0.2884
116,a kulang with a caught fish,a crane bird with a caught fish,0.2269
117,two kulangs on a river,two crane birds on a river,0.2457
118,a person looking at a kulang,a person looking at a crane bird,0.2056
119,a kulang sitting on the side of a bridge,a crane bird sitting on the side of a bridge,0.2913
120,a large godown with lots of boxes,a large warehouse with lots of boxes,0.3167
121,a large godown with lots of produce,a large warehouse with lots of produce,0.306
122,a godown with lots of people inside,a warehouse with lots of people inside,0.2629
123,a person walking inside a godown,a person walking inside a warehouse,0.3159
124,a person driving a forklift inside a godown,a person driving a forklift inside a warehouse,0.3404
125,a dark abandoned godown with broken windows,a dark abandoned warehouse with broken windows,0.2803
126,a medical hall in a big city,a pharmacy in a big city,0.2284
127,a medical hall with a large parking lot,a pharmacy with a large parking lot,0.2704
128,a person walking inside a medical hall,a person walking inside a pharmacy,0.2597
129,a person talking to a worker inside a medical hall,a person talking to a worker inside a pharmacy,0.2554
130,a medical hall with lots of people outside,a pharmacy with lots of people outside,0.2193
131,a small medical hall in a rural area,a small pharmacy in a rural area,0.3106
132,a shabby old looking petrol bunk,a shabby old looking gas station,0.2629
133,a person getting gas for their car at a petrol bunk,a person getting gas for their car at a gas station,0.2609
134,a small shop next to a petrol bunk,a small shop next to a gas station,0.2717
135,a small petrol bunk in a dusty desert town,a small gas station in a dusty desert town,0.3336
136,a very busy petrol bunk with people refueling,a very busy gas station with people refueling,0.289
