Prompt_Index,SAE_Prompt,Score
0,a painting of milk tea,0.804
1,a photo of milk tea,0.8468
2,selling milk tea,0.8292
3,a large milk tea,0.8072
4,a small milk tea,0.6155
5,milk tea on a counter,0.9274
6,coffee on a table,0.9775
7,coffee on a counter,0.9131
8,a painting of coffee,0.9731
9,two people getting coffee,0.9028
10,a man buying coffee,0.7954
11,a woman with coffee,0.9111
12,a painting of a red packet,0.6515
13,two red packets on a table,0.8538
14,a red packet on a counter,0.9143
15,a person holding a red packet,0.741
16,a red packet on the ground,0.8948
17,a child holding a red packet,0.8677
18,a painting of squid,0.9515
19,squid on a table,0.9309
20,a squid in a market,0.8279
21,a squid in an aquarium,0.9354
22,a squid on a counter,0.946
23,squid in a box,0.9457
24,a person getting takeout,0.9242
25,takeout on a table,0.9769
26,takeout from the food truck,0.8198
27,let's get some food takeout,0.8061
28,chinese food takeout,0.9781
29,a couple getting food takeout,0.9121
30,a businessman with a grasping and selfish attitude,0.7809
31,a leader with a grasping and selfish attitude,0.7097
32,a student with a grasping and selfish attitude,0.3524
33,a parent with a grasping and selfish attitude,0.225
34,a businesswoman with a grasping and selfish attitude,0.6894
35,a politician with a grasping and selfish attitude,0.7936
36,a bored cat,0.8085
37,a bored woman,0.8668
38,a bored worker,0.9207
39,a child bored,0.8809
40,a bored dog,0.798
41,a bored man,0.9105
42,a relaxing dog,0.9681
43,people relaxing on a beach,0.9822
44,people relaxing on a coach,0.9196
45,a couple relaxing in a park,0.9848
46,a cat relaxing,0.9588
47,a relaxing setting,0.9831
48,a person gesturing yes,0.6947
49,a person answering yes,0.6783
50,a worker gesturing yes,0.756
51,a student gesturing yes,0.7695
52,a woman gesturing yes,0.7915
53,a man gesturing yes,0.7211
54,a student saving a table,0.7006
55,a man saving a table,0.6848
56,a woman saving a table,0.6577
57,a group saving a table,0.6759
58,saving a table at a cafe,0.5487
59,saving a table with a napkin,0.77
60,a counter with tasty things,0.9627
61,a painting of something that is very tasty,0.9789
62,a table with very tasty stuff,0.9814
63,a photo of something that is tasty,0.9697
64,something tasty,0.9603
65,a person enjoying something that is tasty,0.9824
66,a high class clothing store,0.9686
67,a high class party,0.9751
68,a painting of something that is high class,0.934
69,a high class restaurant,0.9802
70,a high class car,0.9507
71,a high class house,0.986
72,a secluded beach,0.9341
73,a secluded street,0.8919
74,a secluded trail,0.9498
75,a secluded locale,0.9642
76,a secluded house,0.9337
77,a secluded town,0.7692
78,a woman eating noodles,0.9886
79,a painting of someone eating,0.9826
80,a person eating a salad,0.7938
81,a man eating a taco,0.9846
82,people eating,0.9357
83,a man eating a burrito,0.8565
84,a family redecorates their house,0.5818
85,a worker redecorates her office space,0.671
86,a couple redecorate their garage,0.3286
87,a woman redecorates her room,0.8129
88,a man redecorates his desk,0.498
89,a person redecorates their kitchen,0.7235
90,a tall girl,0.8017
91,a girl buying a computer,0.6536
92,a girl hiking,0.9596
93,a girl,0.9729
94,a girl in a city,0.9779
95,a painting of a girl,0.9849
96,a mobile phone on a table,0.961
97,a woman holding a mobile phone,0.9861
98,a mobile phone on the ground,0.9835
99,a man with a mobile phone,0.893
100,a painting of a mobile phone,0.9602
101,a mobile phone on a lawn,0.975
102,a loan shark handling cash,0.7605
103,a loan shark carrying a knife,0.7353
104,a loan shark holding a bag,0.7662
105,a loan shark,0.6826
106,a loan shark talking to someone,0.7409
107,a loan shark spray painting,0.5228
108,a man at a coffee shop,0.9465
109,a woman at a coffee shop,0.9768
110,buying something at a coffee shop,0.8913
111,a coffee shop,0.9636
112,a modern coffee shop,0.9564
113,an old coffee shop,0.8731
114,a painting of a handsome male,0.9659
115,a handsome male buying food,0.909
116,a handsome male walking,0.9102
117,a photo of a handsome male,0.7636
118,a handsome male,0.6919
119,a handsome male at a gym,0.9772
120,a man studying for finals,0.81
121,a woman studying at home,0.9664
122,a child busy studying,0.946
123,a group of people studying,0.9839
124,an older person studying,0.974
125,studying at a table,0.9698
126,a man being a third wheel,0.5837
127,a woman being a third wheel,0.5422
128,a third wheel sitting with a couple,0.5371
129,a person feeling like a third wheel,0.6469
130,scene with an awkward third wheel,0.4279
131,a young third wheel,0.727
132,a painting of black tea,0.916
133,tea in a store,0.9128
134,a container with tea,0.8758
135,a tea shop in a city,0.8948
136,white tea,0.7623
137,a jar with dry tea,0.978
138,a plate of stir-fried rice noodles,0.9239
139,a bowl of stir-fried rice noodles,0.9296
140,a painting of stir-fried rice noodles,0.9245
141,stir-fried rice noodle with vegetables,0.9199
142,stir-fried rice noodles with fruit,0.8183
143,two plates of stir-fried rice noodles,0.7412
144,a traditional Chinese physician and a man,0.8839
145,a traditional Chinese physician and a woman,0.8903
146,a painting of a traditional Chinese physician,0.9194
147,a traditional Chinese physician,0.88
148,a traditional Chinese physician with two people,0.9003
149,a traditional Chinese physician sitting,0.9261
150,a large food court,0.8974
151,a couple at a food court,0.9576
152,a modern food court,0.9641
153,an older food court,0.7166
154,a person at a food court,0.9333
155,a busy food court,0.9786
156,litter thrown from a high-rise building falling,0.898
157,litter thrown from a high-rise building from window,0.927
158,a sign about litter thrown from a high-rise building,0.8243
159,a painting of litter thrown from a high-rise building,0.9376
160,a person avoiding litter thrown from a high-rise building,0.7209
161,a person nearly hit by litter thrown from a high-rise building,0.6744
162,a man holding a hoe,0.6382
163,a hoe on a shelf,0.6601
164,a painting of a hoe,0.7422
165,an old hoe,0.5625
166,a new hoe,0.4631
167,a hoe leaning on a wall,0.5483
168,a spicy stir-fried crab on a table,0.8498
169,a family enjoying spicy stir-fried crab,0.8959
170,two plates of spicy stir-fried crab,0.7941
171,a large spicy stir-fried crab with rice,0.9183
172,a waiter serving spicy stir-fried crab,0.8006
173,a chef making spicy stir-fried crab,0.8548
174,my uncle,0.7347
175,an uncle in blue,0.8685
176,a uncle talking,0.894
177,an uncle buying fruit,0.7941
178,an uncle drinking coffee,0.9415
179,an uncle reading a newspaper,0.9558
180,a plate of Fujianese fresh spring roll,0.8763
181,one Fujianese fresh spring roll,0.737
182,a painting of Fujianese fresh spring roll,0.9047
183,a person eating a Fujianese fresh spring roll,0.7856
184,Fujianese fresh spring roll on a table,0.8464
185,Fujianese fresh spring roll in a bowl,0.7949
186,a plate of Indian flatbread,0.9516
187,a painting of Indian flat bread,0.9057
188,a table with Indian flatbread,0.9236
189,a person eating Indian flatbread,0.8456
190,Indian flatbread on a counter,0.9011
191,Indian flatbread on a table,0.8761
192,a person eating Chinese pork jerky,0.9488
193,Chinese pork jerky in a bag,0.8836
194,a painting of Chinese pork jerky,0.9108
195,a shop with Chinese pork jerky,0.9368
196,one piece of Chinese pork jerky,0.5005
197,a person holding Chinese pork jerky,0.908
198,two buddies chatting,0.8352
199,buddies playing soccer,0.904
200,buddies having coffee,0.9375
201,buddies laughing together,0.965
202,a group of buddies outdoors,0.972
203,buddies watching a movie,0.7804
