Prompt_Index,SAE_Prompt,Score
0,a red semitruck driving down the street,0.2968
1,a delivery semitruck loaded with packages,0.3008
2,a semitruck parked by the curb,0.2992
3,a semitruck parked at a stop sign,0.2878
4,a semitruck hauling timber,0.3304
5,a semitruck with a flat tire,0.2984
6,a cozy sweater hanging in a closet,0.3284
7,a man wearing a purple sweater,0.3615
8,a woman knitting a brown sweater,0.3347
9,a sweater with reindeer patterns,0.3521
10,a sweater on a hanger,0.3107
11,a sweater folded neatly,0.3024
12,a girl knocking on the bathroom door,0.3133
13,a set of fresh towels in the bathroom,0.3053
14,a line of people waiting outside the bathroom,0.2991
15,a bathroom with a leaky faucet,0.2689
16,a tidy bathroom with shiny blue wall tiles,0.3462
17,a bathroom with a shower curtain,0.3206
18,a pack of sausages at the grocery store,0.3193
19,a plate of sausages and eggs with toast,0.3404
20,a man cutting a sausage in half,0.3197
21,sausages on a grill,0.3182
22,sausages and mashed potatoes on a plate,0.3585
23,my sausages sizzling in a pan,0.314
24,a woman throwing away the trash,0.3248
25,a bin overflowing with trash,0.2662
26,a raccoon going through trash,0.3284
27,a trash can near a park bench,0.2984
28,a trash pile in an alley,0.3069
29,a trash dumpster in a construction site,0.3038
30,a top-floor apartment with a view of the city,0.3201
31,a college student's apartment,0.2917
32,a cozy apartment in the city,0.3065
33,an apartment with a balcony overlooking the city,0.2926
34,an apartment with a rooftop garden,0.3353
35,my apartment with an open-plan kitchen,0.2991
36,a man loading luggage into the car trunk,0.3172
37,a spare tire in the car trunk,0.2746
38,a woman putting groceries in the car trunk,0.2988
39,a car trunk filled with groceries,0.3225
40,a car trunk packed for a road trip,0.2962
41,my car trunk after a shopping spree,0.2954
42,a boy waiting in the line at a grocery store,0.3185
43,a line for the rollercoaster,0.29
44,a line of cars at a drive-through,0.2817
45,a line at the ticket counter,0.3018
46,a line for the morning bus,0.3146
47,a line at the post office,0.3184
48,a man ironing creases in his pants,0.3216
49,a pair of purple pants folded on a chair,0.3444
50,a kid wearing a pair of blue pants,0.3312
51,a pants display in a store,0.3026
52,pants with a matching blazer,0.2932
53,my pants hanging in the closet,0.2633
54,a woman enjoying a cup of tea with a cookie,0.3168
55,a tin of assorted cookies,0.3065
56,a man baking homemade cookies,0.2959
57,a cookie with chocolate chips,0.3063
58,a cookie on a baking tray,0.3097
59,a cookie with a bite taken out,0.2901
60,a beam of light from the flashlight,0.2874
61,a man searching in the dark with a flashlight,0.3093
62,a rechargeable LED flashlight,0.3326
63,my flashlight in a toolbox,0.2948
64,a flashlight with low battery,0.3187
65,a policeman shining a flashlight at the suspect,0.321
66,a mother changing her baby's diaper,0.2867
67,a pack of cloth diapers,0.3602
68,a happy baby wearing pink diapers,0.3194
69,a diaper on a changing table,0.3002
70,diapers with cute patterns,0.3459
71,a diaper on a clothesline,0.3445
72,a gasoline station at night,0.3261
73,a man filling up his car with gasoline,0.2874
74,a sign showing gasoline prices,0.3274
75,a gasoline pump at a station,0.3025
76,a gasoline tanker on the road,0.314
77,a brightly lit gasoline station sign at night,0.3253
78,a group of kids kicking a soccer ball,0.2974
79,a soccer player in the stadium,0.2746
80,a soccer player celebrating a win,0.2865
81,my soccer cleats on the field,0.2879
82,a soccer goalie in the field,0.2971
83,a goalkeeper trying to catch a soccer ball,0.3008
84,a woman picking up a precription at the pharmacy,0.2932
85,a wide range of products at the pharmacy,0.3047
86,a group of people waiting at the pharmacy,0.3172
87,a pharmacy counter with vitamins,0.3052
88,my pharmacy where I get prescriptions,0.3218
89,a pharmacy with a neon sign,0.3482
90,a bowl of french fries at a restaurant,0.3005
91,a boy eating french fries,0.324
92,a plate with a burger and french fries,0.3033
93,french fries with ketchup and mayo,0.3202
94,my french fries from the local fry shop,0.3147
95,a french fries portion next to a burger,0.2904
96,an office belonging to an attorney,0.2984
