Prompt_Index,SAE_Prompt,Score
0,a medieval monastery,0.3048
1,a monastery on a hill,0.3162
2,a small monastery,0.295
3,a painting of a monastery,0.3373
4,a crowded monastery,0.2835
5,a monastery in a dark forest,0.3256
6,champagne on a wooden table,0.293
7,champagne in a cabinet,0.3284
8,champagne on a table outside,0.2961
9,a painting of some champagne,0.3432
10,champagne on the beach,0.3347
11,champagne on top of a piano,0.3303
12,an old midwife,0.305
13,a midwife with a woman,0.337
14,a painting of a midwife,0.3453
15,a young midwife,0.3097
16,a midwife sitting down,0.2926
17,a photograph of a midwife with a cat,0.3734
18,a medical practitioner at a table,0.2946
19,an old medical practitioner,0.2882
20,a medical practitioner at a park,0.3057
21,a medical practitioner with a woman,0.2968
22,a medical practitioner with a notepad,0.3049
23,a painting of a medical practitioner,0.3258
24,a window covered with bamboo blinds,0.3394
25,a doorway with bamboo blinds,0.3536
26,hand-crafted bamboo blinds,0.333
27,sun-faded bamboo blinds,0.3324
28,bamboo blinds with decorative trim,0.3236
29,tattered bamboo blinds,0.323
30,a dark mountain pass,0.3144
31,a mountain pass covered in snow,0.3051
32,a crowded mountain pass,0.2888
33,a mountain pass with a nearby lake,0.286
34,a painting of a beautiful mountain pass,0.326
35,an abandoned mountain pass,0.294
36,an old convenience store,0.3323
37,a modern convenience store,0.3218
38,a busy convenience store,0.3202
39,a convenience store on fire,0.3217
40,an empty convenience store,0.3291
41,a painting of a convenience store,0.3771
42,an old temple,0.3029
43,a temple on a hill,0.3145
44,a painting of a temple,0.3585
45,a temple in a dark forest,0.3403
46,a temple in a city,0.301
47,an abandoned temple,0.3193
48,a barber in red,0.3458
49,an old barber,0.334
50,a small barber shop,0.3213
51,a busy barber shop,0.3227
52,a barber by the chair,0.3341
53,a barber working,0.3199
54,a police station in a city,0.2791
55,a busy police station,0.2705
56,a police station in a small town,0.2915
57,a person walking into a police station,0.3092
58,a painting of a police station,0.3411
59,a photograph of a modern police station,0.2738
60,a father in front of a house,0.2918
61,a girl standing with her father,0.3222
62,a crying father,0.2968
63,a father on a bed,0.2964
64,an old father with a dog,0.3132
65,an old father in the kitchen,0.3179
66,a beautiful veranda,0.3162
67,an expensive looking veranda,0.2922
68,a modern looking veranda,0.3056
69,a green veranda,0.328
70,a dimly lit veranda,0.3074
71,a painting of a veranda,0.3451
72,a dry riverbed,0.3024
73,a beautiful riverbed in a painting,0.3374
74,a riverbed in a forest,0.2948
75,a narrow riverbed,0.2894
76,a small riverbed,0.2942
77,a wet riverbed,0.303
78,a beautiful queen,0.2727
79,a queen in a garden,0.3183
80,a painting of an old queen,0.3308
81,a queen covered in snow,0.3239
82,a queen in a large hall,0.3245
83,an old queen on a bed,0.2873
84,a sliced eggplant,0.3305
85,an eggplant on a table,0.3437
86,eggplant in a basket,0.3463
87,a painting of a eggplant,0.4011
88,a moldy eggplant,0.3257
89,a dish with eggplant,0.3202
90,a table of food,0.3002
91,a basket with food,0.3246
92,healthy food,0.2751
93,food in a cabinet,0.3335
